K,url_core,gini,N_url
20,dietagespresse,0.357455621042131,39
20,awblog,0.486887758001972,13
20,ots,0.255972865647822,246
20,openpetition,0.722077003273924,10
20,spiegel,0.331352263867535,39
20,kurier,0.197362877040228,315
20,derstandard,0.358033874868466,606
20,orf,0.196387891161734,429
20,profil,0.283255341852321,50
20,queer,0.949931513415032,1
20,morgenpost,0.773798836362677,1
20,kleinezeitung,0.233955186171136,75
20,claudia-roth,0.667778494599908,1
20,sueddeutsche,0.310520938802856,36
20,heute,0.322664068580107,75
20,kontrast,0.365718077256073,41
20,ft,0.994118017229465,2
20,nachrichten,0.267533527085296,65
20,thomasrammerstorfer,0.803605981020147,1
20,republik,0.632079000774528,2
20,krone,0.154755646054795,195
20,wienerzeitung,0.24258235376464,35
20,diepresse,0.227979867589648,274
20,w24,0.69091109298988,2
20,heise,0.701411494331322,1
20,facebook,0.275144248537106,89
20,news,0.310306640401885,15
20,sn,0.253239631838156,34
20,oe24,0.265092711298494,91
20,trend,0.528476639746585,6
20,tips,0.507425356930045,4
20,theguardian,1,6
20,fr,0.75653071436445,1
20,bild,0.42403759138075,11
20,anschlaege,0.738647296002269,1
20,nw,0.836944316543505,1
20,vol,0.358244920900577,13
20,meinbezirk,0.313229730841469,29
20,fpoefails,0.66805648922107,3
20,welt,0.313449929425989,37
20,vienna,0.479554747472448,6
20,tt,0.505542188082217,35
20,vrt,0.729922778283586,1
20,leadersnet,0.585178647851975,3
20,bvz,0.544053030173548,5
20,taz,0.428913771281126,5
20,mosaik-blog,0.402808759984273,4
20,noen,0.564102990978346,5
20,austrianaviation,0.794956762040645,1
20,industriemagazin,0.677764477168905,1
20,dasbiber,0.8341115696544,1
20,aufstehn,0.480070084580735,16
20,schlaglichter,0.677927604353179,1
20,polsatnews,0.897868697997923,1
20,nytimes,0.971766633164795,7
20,reflektive,0.829329856034399,4
20,fpoe,0.464347699392644,10
20,unhcr,0.944291449172637,4
20,stern,0.689638780264989,2
20,futurezone,0.29055345688884,12
20,5min,0.72161292977424,1
20,handelsblatt,0.28905040928621,10
20,3druck,0.766042205922033,1
20,datum,0.606282234896568,3
20,3d-grenzenlos,0.892337627970935,1
20,kathpress,0.86342358196973,4
20,parlament,0.427380476812122,37
20,niittyvirta,1,1
20,sabineschatz,0.432484649396037,17
20,weidenholzer,0.758038462407768,1
20,arbeiterkammerwahl2019,0.703689997490433,1
20,diesubstanz,0.559806317717634,15
20,falter,0.360932348660384,22
20,michaelbernhard,0.882995134062681,2
20,meineabgeordneten,0.769376887287418,1
20,bmk,0.534520852196227,4
20,ard-wien,0.571223742197787,2
20,arminwolf,0.723233644424008,1
20,arbeiterkammer,0.791016222196999,1
20,n-tv,0.551062973921098,4
20,tagesanzeiger,0.720150896282743,2
20,luzernerzeitung,0.705907360857894,2
20,addendum,0.654949479084957,1
20,epicenter,0.619361827123818,2
20,foreignpolicy,0.89551042872224,1
20,neos,0.796435945902301,4
20,tagesspiegel,0.218512655967895,7
20,app,0.641227533076383,2
20,dossier,0.483000571080523,7
20,brandrede,0.753187602977781,5
20,unzensuriert,0.395711995044601,7
20,beatemeinl,0.557859374544584,22
20,tagesschau,0.413530331237413,6
20,global2000,0.828290882820954,1
20,pinknews,1,1
20,klimareporter,0.476124564116079,3
20,agenda-austria,0.618903024687206,3
20,bizeps,0.467692166476008,4
20,gehoertgebloggt,0.491409271836149,6
20,informationsfreiheit,0.685783509462158,1
20,spoe,0.558052941284582,5
20,europa,1,2
20,fob,0.55558622072613,6
20,wiwo,0.804985699259495,1
20,zoom,0.618368365677,1
20,pagesix,1,1
20,junos,0.731029454679159,1
20,rechnungshof,0.768209511122929,1
20,bazonline,0.706504063343834,3
20,prometheusinstitut,0.831239397122437,1
20,dgb,0.442938375116339,2
20,zurueckzudengruenen,0.607027330869704,4
20,der-postillon,0.618339086623022,3
20,linkedin,0.843594276207522,1
20,stopptdierechten,0.815756167639716,1
20,mymonk,0.713788562032971,1
20,beigewum,0.791328989957028,1
20,metacommunication,0.671931577848359,1
20,energypeace,0.591042379171455,1
20,ichvermeideplastik,0.72103307082583,1
20,jetzt,0.656895785935948,1
20,wikipedia,0.607206953495287,4
20,gruene,0.438333774204221,6
20,idealismprevails,0.733722660328802,1
20,msn,0.708800584570854,3
20,medico,0.802691175724328,1
20,anfdeutsch,0.736391013613544,1
20,reuters,0.953539338212577,1
20,amnesty,1,1
20,fairlassen,0.780968151689609,1
20,tvn,0.94769630320301,1
20,steiermark,0.818329961586365,1
20,fastcompany,0.982225921610399,1
20,trendingtopics,0.786241961145864,1
20,linz-gegen-rechts,0.715035968420514,1
20,armutskonferenz,0.737927451850733,2
20,ga,0.797665495988084,1
20,doew,0.686961871990818,1
20,ams,0.778130960497313,2
20,oegb,0.606282466010666,3
20,zackzack,0.574550983734118,2
20,epochtimes,0.571998752650596,4
20,ggg,0.730433271933581,1
20,boku,0.546519696044127,1
20,jungefreiheit,0.596045415336322,2
20,andreaskollross,0.582857094188968,4
20,wienerin,0.614030214549841,3
20,monatsrevue,0.586648096261052,2
20,brandstaetter-tv,0.533926763407533,4
20,vfgh,0.742067786738893,1
20,spooe,0.881830287347224,2
20,ilmanifesto,1,1
20,bka,0.642921764164433,1
20,s3.amazonaws.com,1,1
20,change,0.888674840818997,4
20,juedische,1,1
20,kinderfreunde,0.573366629190476,4
20,cnn,0.950475779606993,1
20,esiweb,0.947928036017075,1
20,focus,0.514154104416507,7
20,transatlantic-takes,0.711458754605689,1
20,rp-online,0.724025357664565,2
20,verfassungsblog,0.679184041302332,1
20,zdf,0.795245986067355,2
20,noizz,0.670968877725111,1
20,t-online,0.814916232596781,1
20,mittellaendische,0.723914368633194,1
20,dw,0.669314779164362,1
20,moment,0.621221311457685,2
20,finanzen,0.845022395499472,2
20,aidshilfe,0.710362824971741,1
20,biorama,0.833676481512195,2
20,maenner,0.657723362352654,1
20,irishtimes,1,1
20,wordpress,0.460156944966006,8
20,attac,0.570479796345861,1
20,elperiodico,0.887444580873968,3
20,vogue,0.895176495540515,1
20,ortneronline,0.896171135291903,1
20,newsletter2go,0.789841097963991,1
20,lgbtqnation,0.969162349253904,1
20,martinhaunschmid,0.843453008878185,2
20,wri,0.998739331934151,1
20,tz,0.837477568852086,1
20,srf,0.816910925171727,2
20,laola1,0.925662604931563,1
20,puls24,0.848093007261818,1
20,wien,0.73092238274435,2
20,today,1,1
20,eu2020,0.995162077126963,1
20,thehill,1,1
20,forbes,1,1
20,mannschaft,0.710835734079901,1
