party_short,topic,Score
GRÜNE,T1.daten,0.511709148802308
SPÖ,T1.daten,0.508221524058612
NEOS,T1.daten,0.592843740084482
FPÖ,T1.daten,0.378266757000334
ÖVP,T1.daten,0.170635591218061
GRÜNE,T2.werbung,0.549166921959231
SPÖ,T2.werbung,0.314954646262423
NEOS,T2.werbung,0.545288593607919
FPÖ,T2.werbung,0.509834606826723
ÖVP,T2.werbung,0.267884864162083
GRÜNE,T3.wurde,0.513533992631174
SPÖ,T3.wurde,0.523300291169631
NEOS,T3.wurde,0.444216752461123
FPÖ,T3.wurde,0.54148789502738
ÖVP,T3.wurde,0.242494532226136
GRÜNE,T4.europa,0.388585505868559
SPÖ,T4.europa,0.3277688367433
NEOS,T4.europa,0.391261637428168
FPÖ,T4.europa,0.510738842683077
ÖVP,T4.europa,0.587357162306916
GRÜNE,T5.bzw,0.521979659252755
SPÖ,T5.bzw,0.290903996493728
NEOS,T5.bzw,0.637203796975575
FPÖ,T5.bzw,0.398699287761201
ÖVP,T5.bzw,0.173662890831753
GRÜNE,T6.klimaschutz,0.553800102843313
SPÖ,T6.klimaschutz,0.457277337261512
NEOS,T6.klimaschutz,0.51899547334902
FPÖ,T6.klimaschutz,0.255606247714227
ÖVP,T6.klimaschutz,0.495934110254931
GRÜNE,T7.sei,0.516089443052351
SPÖ,T7.sei,0.564074374981443
NEOS,T7.sei,0.533409119464968
FPÖ,T7.sei,0.436485077522887
ÖVP,T7.sei,0.109223172482063
GRÜNE,T8.kurz,0.267082019258342
SPÖ,T8.kurz,0.491316799498442
NEOS,T8.kurz,0.543204194681252
FPÖ,T8.kurz,0.342133217948403
ÖVP,T8.kurz,0.556662796142452
GRÜNE,T9.strache,0.552573413343646
SPÖ,T9.strache,0.531916533802263
NEOS,T9.strache,0.539967754648587
FPÖ,T9.strache,0.457982765796646
ÖVP,T9.strache,0.044186427025373
GRÜNE,T10.hofer,0.323756596025333
SPÖ,T10.hofer,0.237377242753948
NEOS,T10.hofer,0.203309128889305
FPÖ,T10.hofer,0.732640343232165
ÖVP,T10.hofer,0.304995659402755
GRÜNE,T11.the,0.515986570182645
