"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","4.1437","1.0774","4.447","4.0673","2.2243","2.7486","4.161","4.1295","1.953","3.0703","2.9474","4.2079","4.2966","1.1721","2.7543","1.7628","3.3434","1.6726","12.4835","4.029","2.0664","4.0328","3.1319","2.862","1.8535","3.0702","3.171","2.4372","4.4056","2.2778"
"1","daten","werbung","wurde","europa","bzw","klimaschutz","sei","kurz","strache","hofer","the","frauen","hofer","cookies","fluechtlinge","silberstein","news","wien","menschen","euro","gemeinden","oevp","fpoe","polizei","kinder","fpoe","deutschland","kickl","prozent","verantwortung"
"2","entscheidung","hundstorfer","schon","europaeischen","wann","massnahmen","massnahmen","sebastian","fpoe","norbert","and","menschen","fpoe","website","tuerkei","lehre","anmelden","wiener","schon","millionen","kollross","wksta","identitaeren","wurde","schulen","spoe","islam","bvt","studie","inhaltlicher"
"3","vfgh","unserer","sagt","unsere","app","energie","sagte","oevp","gudenus","verkehrsminister","that","unternehmen","kogler","datenschutzerklaerung","migranten","asylwerber","analysen","stadt","immer","kosten","bluemel","sei","medien","mann","eltern","partei","deutschen","innenminister","deutschland","ausschliesslicher"
"4","wurde","moser","wien","europaeische","abs","klimakrise","tirol","kanzler","heinzchristian","verkehr","for","arbeit","norbert","zustimmung","menschen","gruenen","postfach","strolz","gibt","milliarden","spoe","justiz","rechtsextremen","frau","schule","oevp","muslime","innenministerium","mehr","rueckfragen"
"5","neos","jahre","beim","demokratie","wwwparlamentgvat","klima","seien","bundeskanzler","video","oebb","with","oesterreich","sei","widerrufen","europa","tal","zusammengefasst","neos","geht","geld","budget","novomatic","facebook","worden","schueler","parteien","juden","krisper","jahren","aussenders"
"6","gesetz","arbeit","seit","staaten","anfrage","umwelt","coronavirus","kern","glock","innovation","are","massnahmen","oevp","informationen","griechenland","loacker","erhalten","mindestsicherung","ganz","jahr","finanzminister","casinos","orf","wurden","kindern","gruenen","geschichte","verfassungsschutz","zahl","otsoriginaltext"
"7","stellungnahme","cookies","uhr","union","original","wirtschaft","maerz","regierung","partei","oesterreich","have","kurzarbeit","gruenen","stimme","fluechtlingen","bundesrat","wissen","lopatka","viele","mio","leichtfried","kritik","journalisten","jaehrige","kind","rendiwagner","antisemitismus","herbert","personen","presseaussendung"
"8","seien","rudolf","zwei","zukunft","wurde","investitionen","ischgl","oevpchef","ibiza","technologie","this","pflege","spoe","nutze","deutschland","stoegmueller","tages","kmm","sagen","pro","euro","causa","bewegung","uhr","schuelerinnen","wahl","sei","polizei","weniger","kontakt"
"9","jedoch","waehlen","mal","politik","warum","steuern","regierung","spoe","straches","unternehmen","from","arbeiten","sagte","einwilligung","italien","anschober","breaking","bzw","politik","oevp","buergermeister","sobotka","polizeichef","wegen","bildung","strache","heute","staatsanwaltschaft","zahlen","ots"
"10","verfassungsgerichtshof","zustimmung","jahren","muessen","nein","klimawandel","virus","oesterreich","johann","kmh","they","arbeitslosigkeit","burgenland","digitaler","kinder","ausbildung","wichtigste","matthias","einfach","spenden","investitionen","krisper","burschenschaft","laut","lehrer","waehler","frauen","bundesamt","jahr","wien"
"11","sei","oegb","wiener","krise","art","emissionen","kritik","parlament","fpoechef","wien","has","regierung","van","webanalyse","erdogan","asylwerbern","wichtigsten","beitraege","sagt","prozent","milliarden","austria","polizeinotruf","opfer","sexualpaedagogik","liste","afd","stephanie","laut","herr"
"12","grundsaetzlich","van","drei","ungarn","wurden","muessen","wochen","volkspartei","russischen","tempo","its","muessen","gruene","werbemassnahmen","syrien","abschiebung","neben","meinlreisinger","warum","rechnungshof","ceta","vorwuerfe","wolf","angaben","unterricht","stimmen","gesellschaft","ermittlungen","liegt","schatz"
"13","wurden","bellen","spaeter","welt","personen","etwa","corona","neos","treffen","autobahnen","were","stunden","bellen","verwendung","tuerkischen","auva","themen","wiens","gar","mehr","gewerkschaft","aussendung","gaisch","zwei","fassmann","regierung","trump","anfrage","vergleich","jugend"
"14","buerger","loggen","fast","freiheit","jeweils","landwirtschaft","tiroler","bluemel","spiegel","bahn","who","arbeitsmarkt","wahl","finde","mittelmeer","silvan","tagesnewsletter","shetty","mehr","spoe","staedte","staatsanwaltschaft","linz","sagte","jugendlichen","pamela","russland","wurden","deutlich","fordert"
"15","darf","sehen","haette","europas","betreffend","europaeischen","krise","partei","frau","projekt","but","familien","werner","zwecke","hilfe","neos","muessen","niederoesterreich","macht","fpoe","coronakrise","sidlo","kurier","taeter","kindergaerten","blauen","usa","polizisten","jahre","yilmaz"
"16","pruefung","gefallen","wochen","menschenrechte","xxvii","ziel","anschober","mitterlehner","offenbar","graz","more","viele","koalition","weitere","griechischen","gesetz","wegen","flughafen","wer","jaehrlich","schuldenbremse","ermittlungen","oberoesterreich","leben","omv","koalition","islamischen","informationen","zehn","endlich"
"17","sollen","bierlein","ging","unserer","gescanntes","costeuer","worden","sobotka","videos","fahren","you","einkommen","doskozil","gilt","tuerkische","sagt","allerdings","krone","zeit","oegk","kommunen","neos","berichterstattung","mutter","lehrerinnen","kurz","rassismus","innenministeriums","viele","schluss"
"18","duerfen","fortzufahren","lang","macron","bvg","milliarden","china","interview","russin","linz","said","braucht","kritik","unserer","grenze","wirtschaftskammer","eukommission","sechs","waere","hoehe","oevp","korruptionsstaatsanwaltschaft","montag","jaehrigen","gibt","pilz","gewalt","wien","oesterreich","abschliessend"
"19","kuenftig","sozialminister","vier","parlament","siehe","wasserstoff","koenne","fpoe","zeitung","bmvit","people","arbeitnehmerinnen","que","verwendet","afrika","gruene","regierung","gruene","muessen","neos","andreas","spoe","linzer","gab","seele","stelzer","europa","terrorismusbekaempfung","zwei","gruenen"
"20","beim","gefunden","gab","oesterreich","ressort","euro","derzeit","opposition","vizekanzler","minister","not","krise","griss","daten","migration","sei","presse","gruenen","gut","leistungen","laudamotion","peter","standard","beiden","sollen","wahlkampf","mauthausen","beamten","fuenf","sabine"
