party_short,party_full,party_grouping
SVP,Die Schweizerische Volkspartei,V
SP,Die Sozialdemokratische Partei der Schweiz,S
GPS,Die Grüne Partei der Schweiz,G
CVP,Christlichdemokratische Volkspartei,M-CEB
FDP,FDP.Die Liberalen,RL
GLP,Die Grünliberale Partei Schweiz,GL
FDP.ALT,FDP.DieLiberalenALT,RL
EVP,Die Evangelische Volkspartei der Schweiz,M-CEB
BDP,Die Bürgerlich-Demokratische Partei Schweiz,M-CEB
BastA,Basels starke Alternative,G
UDC,L'Union démocratique du centre,V
PDA,Partei der Arbeit der Schweiz,G
LDP,Die Liberal-Demokratische Partei,RL
EDU,Eidgenössisch-Demokratische Union,V
solidaritéS,solidaritéS,G
Lega,Ligue des Tessinois,V
ALG,Die Alternative – die Grünen Zug,G
