stat,party_short,N,rel
seats,Misc.,8,0.04
seats,BDP,3,0.015
seats,CVP,24,0.12
seats,EVP,3,0.015
seats,FDP,29,0.145
seats,GLP,16,0.08
seats,GPS,26,0.13
seats,SP,39,0.195
seats,SVP,52,0.26
accounts,Misc.,4,0.0272108843537415
accounts,BDP,3,0.0204081632653061
accounts,CVP,19,0.129251700680272
accounts,EVP,2,0.0136054421768707
accounts,FDP,20,0.136054421768708
accounts,GLP,14,0.0952380952380952
accounts,GPS,23,0.156462585034014
accounts,SP,32,0.217687074829932
accounts,SVP,30,0.204081632653061
tweets,SVP,18969,0.10836270572576
tweets,SP,49895,0.285031219473182
tweets,GLP,23188,0.13246425327476
tweets,CVP,25192,0.143912345545013
tweets,GPS,27123,0.154943416490051
tweets,FDP,20215,0.115480631358861
tweets,BDP,4017,0.0229475981285454
tweets,EVP,908,0.00518705977115241
tweets,Misc.,5544,0.031670770232675
URLs,SVP,8791,0.136024633285882
URLs,SP,16806,0.260042087021105
URLs,GLP,8034,0.12431144395618
URLs,CVP,9050,0.14003218419261
URLs,GPS,9200,0.142353159621217
URLs,FDP,5789,0.0895741783746983
URLs,BDP,2100,0.0324936560004951
URLs,EVP,362,0.0056012873677044
URLs,Misc.,4496,0.0695673701801077
texts,GLP,1018,0.151962979549186
texts,FDP,414,0.0618002686968204
texts,SP,1820,0.271682340647858
texts,SVP,1329,0.198387819077474
texts,GPS,1018,0.151962979549186
texts,CVP,789,0.117778772951187
texts,BDP,263,0.0392595909837289
texts,EVP,48,0.00716524854455889
