"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","4.3245","3.3118","1.4968","1.9591","4.3015","1.947","1.5551","2.2878","3.6672","1.0549","3.1865","4.1985","3.2297","3.6864","2.0133","6.3199","3.1092","2.7153","5.423","2.6594","4.2903","2.0835","5.62","2.8308","9.7295","2.7227","3.1841","2.8715","1.6758","2.5448"
"1","prozent","klimaschutz","daten","redaktionssystem","prozent","bundesrat","initiative","the","bundesrat","les","schweiz","koeppel","sozialhilfe","partei","srg","politik","deutschland","ahv","franken","initiative","sei","strom","fdp","bundesrat","immer","kinder","coronavirus","frauen","fu¨r","usa"
"2","bauern","klima","werbung","importiert","svp","armee","evoting","and","massnahmen","pour","rahmenabkommen","zuerich","personen","glp","radio","unsere","deutschen","reform","millionen","schweizer","urteil","energie","svp","kommission","schon","eltern","krise","maenner","strassen","trump"
"3","landwirtschaft","klimawandel","app","bitten","cvp","schweiz","svp","that","art","que","abkommen","uhr","bircher","nationalrat","medien","schweiz","menschen","vorlage","milliarden","gesetz","wurde","energiestrategie","bundesrat","parlament","gibt","sagt","coronakrise","frau","bundesrat","europa"
"4","studie","schweiz","informationen","stossen","gruenen","waffen","wohnungen","for","sowie","une","bilateralen","sagt","kanton","gewaehlt","service","menschen","fluechtlinge","altersvorsorge","prozent","schweiz","fall","energien","nationalrat","motion","mehr","mutter","bundesrat","mann","verkehr","welt"
"5","jahr","emissionen","inhalte","darstellungsfehler","fdp","schweizer","recht","are","insbesondere","dans","bundesrat","wurde","gemeinden","gruenliberalen","public","politischen","migranten","rentenalter","geld","netzsperren","worden","beznau","sagt","initiative","warum","sei","virus","vaterschaftsurlaub","gruenliberalen","staaten"
"6","schweizer","klimapolitik","webseite","alten","partei","schneiderammann","post","with","unternehmen","pas","schweizer","zuercher","fluechtlinge","cvp","billag","demokratie","deutsche","franken","kosten","svp","bundesgericht","erneuerbaren","sei","nationalrat","sagen","schule","massnahmen","familie","mobility","regierung"
"7","mehr","massnahmen","website","unserem","parteien","eda","vertraege","this","digitalisierung","qui","personenfreizuegigkeit","schweizer","prozent","wahl","fernsehen","gesellschaft","sagte","erhoehung","bund","referendum","wegen","akw","keystone","staenderat","einfach","kind","personen","gewalt","pricing","europaeischen"
"8","sagt","umwelt","internet","hinweis","wahlen","saudiarabien","badran","have","sollen","sur","europaeischen","sei","schweiz","sagt","sda","immer","europa","saeule","unternehmen","abo","gericht","ensi","staenderat","ehe","mal","familie","corona","gleichstellung","nationalrat","china"
"9","konsumenten","mobilitaet","nutzung","communityfeedbacktamediach","bdp","laender","schweiz","from","wirtschaft","est","bruessel","roger","franken","amt","initiative","land","italien","iii","jahr","lesen","polizei","energiewende","cvp","gruenen","viele","schueler","bag","maennern","gruene","donald"
"10","pro","gruenen","swisscom","automatisch","glp","ruestungsindustrie","selbstbestimmungsinitiative","has","bundesamt","nous","verhandlungen","blick","kosten","politik","waere","politische","grenze","renten","zahlen","unterschriften","opfer","axpo","goessi","gegenvorschlag","leute","kesb","gesundheit","muetter","luftfahrt","grossbritannien"
"11","schweiz","verkehr","verwendet","website","aargau","seco","svpinitiative","more","cvp","par","lohnschutz","aktion","gemeinde","staenderat","gebuehren","parteien","merkel","unternehmenssteuerreform","rund","geldspielgesetz","behoerden","netz","sagte","session","gut","jungen","pandemie","beruf","franken","macron"
"12","grad","autos","jederzeit","verstaendnis","sitze","waffenexporte","demokratie","not","schweiz","suisse","vertraege","medien","aarburg","kanton","privaten","freiheit","afd","steuern","firmen","benoetigen","richter","erneuerbare","parlament","entscheid","wer","gemeinde","menschen","kinder","neue","laender"
"13","produktion","mehr","datenschutzerklaerung","falls","kanton","zivildienst","stimmabgabe","but","bern","son","cassis","blocher","aargau","kandidatur","mehr","partei","euro","frauen","mehr","nein","staatsanwaltschaft","energiegesetz","rytz","haette","ganz","vater","kurzarbeit","prozent","autos","frankreich"
"14","laendern","technologien","zustimmung","artikel","gruene","syrien","voelkerrecht","said","aufgrund","avec","beziehungen","sagte","vorlaeufig","kandidaten","muesste","braucht","land","widmerschlumpf","pro","vollstaendig","seien","anlagen","aeschi","gesetz","gar","junge","wirtschaft","wochen","sagt","brexit"
"15","umwelt","investitionen","cookies","unsere","stimmen","vbs","mieter","they","kantone","aux","europa","svp","zahlen","nationalraetin","nobillaginitiative","unserer","regierung","rente","steuern","abstimmung","mann","sonne","petra","antrag","nie","jugendliche","april","arbeit","sollen","europaeische"
"16","jahren","pariser","angebot","neue","sitz","ruag","mieten","its","bund","che","union","bern","sagt","wermuth","qualitaet","muessen","grenzen","mehr","einkommen","artikel","verurteilt","schweiz","partei","rat","vielleicht","schulen","hause","mutter","velo","dollar"
"17","tonnen","energie","technologien","wurde","waehler","buergerkriegslaender","jacqueline","their","rahmen","plus","wirtschaft","zeitung","jahr","fdp","versteigerung","staat","berlin","prozent","jaehrlich","auslaendische","recht","anlage","buergerlichen","parlamentarische","tun","arbeiten","muessen","geschlecht","abgabe","johnson"
"18","wasser","ziel","klicken","sagte","stadt","cassis","bundeskanzlei","people","artikel","cette","zuwanderung","juso","leistungen","gruenen","private","politiker","griechenland","rentner","euro","gegner","taeter","wind","pfister","paare","leben","kindern","bleiben","diskriminierung","flugverkehr","russland"
"19","tiere","fliegen","datenbearbeitungen","dagegen","zuerich","kriegsmaterial","transparenz","about","uebersicht","mais","flankierenden","mal","auslaender","moser","werbung","linken","oesterreich","usr","banken","casinos","schweiz","wasserkraft","nein","mehrheit","genau","kaelin","covid","sexuelle","gramm","york"
"20","daten","auto","anzuzeigen","mehr","regierungsrat","konflikt","mehr","climate","forschung","été","gewerkschaften","facebook","martina","galladé","tamedia","zukunft","cdu","kantone","bezahlen","durchsetzungsinitiative","bekannt","solarstrom","levrat","vorstoesse","natuerlich","jugendlichen","wochen","kinderbetreuung","millionen","new"
"21","vergleich","coemissionen","redaktionelle","seien","umfrage","amherd","menschenrechte","our","gemaess","non","europaeische","politiker","pro","wahlen","nzz","mehr","spd","rentenalters","snb","abstimmungskampf","beschwerde","leibstadt","maurer","motionen","waere","ausbildung","situation","vater","zuerich","laendern"
"22","produkte","treibhausgasemissionen","auszuwerten","waere","evp","brief","artikel","which","bericht","conseil","eukommission","keystone","menschen","bern","koennten","rechts","tuerkei","steuervorlage","weniger","anbieter","laut","kernenergie","christian","auftrag","weiss","lehrer","husten","vereinbarkeit","aline","praesident"
"23","fleisch","oel","widerrufen","swissinfoch","mehrheit","kampfjets","richter","new","rueckfragen","cest","massnahmen","christoph","eritrea","frau","sendungen","leben","europaeischen","vorsorge","swiss","unternehmen","verfahren","deutschland","parlamentarier","parlamentarischen","wissen","maedchen","quarantaene","islam","schweizer","britischen"
"24","seit","sbb","nutzungsbasiert","gesetz","kantonsrat","kommission","schweizer","been","zudem","université","zugang","brunner","mehr","wahlkampf","werbeeinnahmen","zeit","fluechtlingen","kompromiss","staat","vorlage","haetten","foerderung","stimmen","vorlage","macht","verein","maerz","vaeter","flugticketabgabe","geschichte"
"25","entwicklung","wirtschaft","privatsphaereeinstellungen","abstimmung","mitte","johann","internationale","you","herausgeber","del","abkommens","rede","leben","sitz","franken","heute","mittelmeer","steuerreform","vermoegen","initianten","entscheid","atomkraftwerke","cassis","nationalrats","wohl","basel","masken","mehr","massnahmen","isch"
"26","weniger","erreichen","seitennutzung","woche","buergerlichen","soldaten","buendnis","would","bereich","sont","rahmenabkommens","twitter","sem","bertschy","maerz","links","europaeische","erhoehen","ubs","komitee","lauber","betrieb","mueller","bdp","kommt","aargau","halten","arbeitgeber","trede","regierungen"
"27","klimawandel","stadt","stimmen","beim","abstimmungen","dittli","emrk","who","gemeinden","comme","mai","stiftung","kinder","operation","initianten","recht","islam","referendum","familien","ausland","mitteilung","jahr","mehrheit","anliegen","geht","jaehrige","wegen","lohngleichheit","motion","britische"
