party_short,topic,Score
S,T1.landbrug,0.522296538144714
RV,T1.landbrug,0.253382054540979
KF,T1.landbrug,0.233757726342905
V,T1.landbrug,0.279719691194032
EL,T1.landbrug,0.561325788780886
SF,T1.landbrug,0.511917305813247
DF,T1.landbrug,0.281177875635465
UFG,T1.landbrug,0.601132194922271
LA,T1.landbrug,0.181916203336556
S,T2.coronakrisen,0.285968104941911
RV,T2.coronakrisen,0.550784912549635
KF,T2.coronakrisen,0.518850193763166
V,T2.coronakrisen,0.516047672657595
EL,T2.coronakrisen,0.24031018454964
SF,T2.coronakrisen,0.452522361332065
DF,T2.coronakrisen,0.5030563879374
UFG,T2.coronakrisen,0.50218947641488
LA,T2.coronakrisen,0.522537951030255
S,T3.danmark,0.239927772700689
RV,T3.danmark,0.551254274622736
KF,T3.danmark,0.539214314531635
V,T3.danmark,0.401110500658289
EL,T3.danmark,0.500952651541119
SF,T3.danmark,0.216099665258932
DF,T3.danmark,0.580069663450741
UFG,T3.danmark,0.50082739412052
LA,T3.danmark,0.0919973769813399
S,T4.københavn,0.516694731864658
RV,T4.københavn,0.399440984688042
KF,T4.københavn,0.531084072831528
V,T4.københavn,0.484039128901922
EL,T4.københavn,0.505191356755545
SF,T4.københavn,0.505114903053566
DF,T4.københavn,0.460245538064826
UFG,T4.københavn,0.52625705074504
LA,T4.københavn,0.397195311092183
S,T5.børn,0.457419791332525
RV,T5.børn,0.514846718512643
KF,T5.børn,0.533440570098182
V,T5.børn,0.350122926746949
EL,T5.børn,0.473614289846441
SF,T5.børn,0.531830245829249
DF,T5.børn,0.410116672370371
UFG,T5.børn,0.406626324282165
LA,T5.børn,0.520115798384543
S,T6.cookies,0.397264687981067
RV,T6.cookies,0.501000121245065
KF,T6.cookies,0.506893393029956
V,T6.cookies,0.529350486656449
EL,T6.cookies,0.366251107650444
SF,T6.cookies,0.234168888352398
DF,T6.cookies,0.154933850470377
UFG,T6.cookies,0.203325554347362
LA,T6.cookies,0.645428878090569
S,T7.kommunerne,0.518673960587444
RV,T7.kommunerne,0.506116876986589
KF,T7.kommunerne,0.505860755319896
V,T7.kommunerne,0.502474623038228
EL,T7.kommunerne,0.513270797967349
SF,T7.kommunerne,0.541393097967304
DF,T7.kommunerne,0.514519003422262
UFG,T7.kommunerne,0.281417750875449
LA,T7.kommunerne,0.2978002115229
S,T8.mere,0.455681715946803
RV,T8.mere,0.50999628577949
KF,T8.mere,0.408842275661443
V,T8.mere,0.473634936427846
EL,T8.mere,0.50404109075003
SF,T8.mere,0.501570227052537
DF,T8.mere,0.50256923972742
UFG,T8.mere,0.56254897682086
LA,T8.mere,0.435308690790878
S,T9.the,0.361699692850517
RV,T9.the,0.416406180863053
KF,T9.the,0.110277365614814
V,T9.the,0.397666689278307
EL,T9.the,0.385955643795842
SF,T9.the,0.157150592369578
DF,T9.the,0.562115420003544
UFG,T9.the,0.674752918772972
LA,T9.the,0.0390287862392447
S,T10.regeringen,0.501393137188856
RV,T10.regeringen,0.530128031201384
KF,T10.regeringen,0.312453109913705
V,T10.regeringen,0.535529761974161
EL,T10.regeringen,0.502956752315673
SF,T10.regeringen,0.479210371782898
DF,T10.regeringen,0.545805310868213
UFG,T10.regeringen,0.252843034379576
LA,T10.regeringen,0.413176541989236
S,T11.tal,0.573330488423437
RV,T11.tal,0.259031876322965
KF,T11.tal,0.274297751334873
V,T11.tal,0.565671955555186
EL,T11.tal,0.505005279852985
SF,T11.tal,0.347821534391494
DF,T11.tal,0.217825995776154
UFG,T11.tal,0.266157159025987
LA,T11.tal,0.537644018740451
S,T12.politiet,0.373319331894654
RV,T12.politiet,0.532384888055212
KF,T12.politiet,0.593271155613782
V,T12.politiet,0.448297344944036
EL,T12.politiet,0.500766301085996
SF,T12.politiet,0.290430863247719
DF,T12.politiet,0.454441134372622
UFG,T12.politiet,0.438343313064846
LA,T12.politiet,0.357366909681218
S,T13.benny,0.520656211652455
RV,T13.benny,0.502308705917399
KF,T13.benny,0.521219680992236
V,T13.benny,0.451938832321186
EL,T13.benny,0.425654558788109
SF,T13.benny,0.5296278050188
DF,T13.benny,0.502121366851834
UFG,T13.benny,0.517480896847982
LA,T13.benny,0.281674603364358
S,T14.indbakke,0.633049274459817
RV,T14.indbakke,0.320071766302259
KF,T14.indbakke,0.246630279306214
V,T14.indbakke,0.512663006050279
EL,T14.indbakke,0.333714004158422
SF,T14.indbakke,0.548674035857655
DF,T14.indbakke,0.51410380239478
UFG,T14.indbakke,0.201314455193513
LA,T14.indbakke,0.021858426176818
S,T15.ministeren,0.531119784986861
RV,T15.ministeren,0.509492316671814
KF,T15.ministeren,0.465033106475953
V,T15.ministeren,0.482884163233387
EL,T15.ministeren,0.541828113668044
SF,T15.ministeren,0.516021591243414
DF,T15.ministeren,0.289434952482177
UFG,T15.ministeren,0.454616820430015
LA,T15.ministeren,0.421874698247274
S,T16.politiet,0.503321860256366
RV,T16.politiet,0.517659514856308
KF,T16.politiet,0.533129714242739
V,T16.politiet,0.375667722451861
EL,T16.politiet,0.51185545680606
SF,T16.politiet,0.5254809142916
DF,T16.politiet,0.260303165206304
UFG,T16.politiet,0.529893034271358
LA,T16.politiet,0.271964659821963
S,T17.lande,0.468018643274123
RV,T17.lande,0.5193964239195
KF,T17.lande,0.340673353493129
V,T17.lande,0.510820936239625
EL,T17.lande,0.439218477450148
SF,T17.lande,0.230257062925277
DF,T17.lande,0.604277239098055
UFG,T17.lande,0.512870664049359
LA,T17.lande,0.195545093098474
S,T18.ældre,0.522671332428187
RV,T18.ældre,0.424460142866006
KF,T18.ældre,0.40759534475583
V,T18.ældre,0.534153043772035
EL,T18.ældre,0.250687021720237
SF,T18.ældre,0.629380333127353
DF,T18.ældre,0.425577558385886
UFG,T18.ældre,0.192815949553532
LA,T18.ældre,0.123021598770338
S,T19.danmark,0.521224767036738
RV,T19.danmark,0.508127740997956
KF,T19.danmark,0.433817465523793
V,T19.danmark,0.571931384109754
EL,T19.danmark,0.473468044185729
SF,T19.danmark,0.385174796453308
DF,T19.danmark,0.384674788739429
UFG,T19.danmark,0.520162894278155
LA,T19.danmark,0.229843827294315
S,T20.arbejdsmarkedet,0.520715024610617
RV,T20.arbejdsmarkedet,0.370085306982991
KF,T20.arbejdsmarkedet,0.230133958196886
V,T20.arbejdsmarkedet,0.542998113727302
EL,T20.arbejdsmarkedet,0.544256051958572
SF,T20.arbejdsmarkedet,0.531248290264187
DF,T20.arbejdsmarkedet,0.32320714971994
UFG,T20.arbejdsmarkedet,0.151340546622827
LA,T20.arbejdsmarkedet,0.519141745936807
S,T21.løkke,0.547634765181934
RV,T21.løkke,0.349045136927911
KF,T21.løkke,0.344654875069126
V,T21.løkke,0.536225214559744
EL,T21.løkke,0.413447019754421
SF,T21.løkke,0.491859830685002
DF,T21.løkke,0.438855075481138
UFG,T21.løkke,0.300186279147679
LA,T21.løkke,0.545245773917736
S,T22.grønne,0.526984609965174
RV,T22.grønne,0.544278346354492
KF,T22.grønne,0.141505340600491
V,T22.grønne,0.502465204152144
EL,T22.grønne,0.522608558904984
SF,T22.grønne,0.524245857070162
DF,T22.grønne,0.124214150712915
UFG,T22.grønne,0.547761039642668
LA,T22.grønne,0.219187963879984
S,T23.skattely,0.501334639375379
RV,T23.skattely,0.461650741306482
KF,T23.skattely,0.35412085067003
V,T23.skattely,0.462177038966837
EL,T23.skattely,0.555673496303851
SF,T23.skattely,0.500962189006587
DF,T23.skattely,0.508596432137261
UFG,T23.skattely,0.231515032754524
LA,T23.skattely,0.543492836099381
S,T24.vores,0.406483408241332
RV,T24.vores,0.428935631390158
KF,T24.vores,0.506678047517963
V,T24.vores,0.299737944539802
EL,T24.vores,0.411215598226103
SF,T24.vores,0.504572672350509
DF,T24.vores,0.510699067394627
UFG,T24.vores,0.539098707160026
LA,T24.vores,0.544910107532721
S,T25.sagen,0.505405978432318
RV,T25.sagen,0.505559207815122
KF,T25.sagen,0.509070456126219
V,T25.sagen,0.509515980513764
EL,T25.sagen,0.503762167114174
SF,T25.sagen,0.506583971858619
DF,T25.sagen,0.524106507672549
UFG,T25.sagen,0.505576110819145
LA,T25.sagen,0.373776576832821
S,T26.ansatte,0.510039234552984
RV,T26.ansatte,0.325069802636112
KF,T26.ansatte,0.221726477915744
V,T26.ansatte,0.534635013917187
EL,T26.ansatte,0.559920360324657
SF,T26.ansatte,0.536750455629102
DF,T26.ansatte,0.310136008690037
UFG,T26.ansatte,0.353514081913417
LA,T26.ansatte,0.50193867211437
S,T27.kroner,0.525596822912406
RV,T27.kroner,0.435481296969597
KF,T27.kroner,0.52849462043763
V,T27.kroner,0.522829482643234
EL,T27.kroner,0.524545377565773
SF,T27.kroner,0.504052781261101
DF,T27.kroner,0.292144230109707
UFG,T27.kroner,0.266189223469511
LA,T27.kroner,0.506279276229988
S,T28.elever,0.501045017792471
RV,T28.elever,0.515669343647001
KF,T28.elever,0.522913801056597
V,T28.elever,0.392301162318757
EL,T28.elever,0.56850047945793
SF,T28.elever,0.504351567724072
DF,T28.elever,0.239563686043334
UFG,T28.elever,0.161342179272321
LA,T28.elever,0.52160789836255
S,T29.folkeparti,0.366398953375723
RV,T29.folkeparti,0.410836505390237
KF,T29.folkeparti,0.505006151929752
V,T29.folkeparti,0.29627248747907
EL,T29.folkeparti,0.475058610045068
SF,T29.folkeparti,0.510908666155292
DF,T29.folkeparti,0.55219836272096
UFG,T29.folkeparti,0.451883486130448
LA,T29.folkeparti,0.542947925591713
S,T30.kvinder,0.348494730357209
RV,T30.kvinder,0.500722844802262
KF,T30.kvinder,0.53915164272198
V,T30.kvinder,0.330515893660951
EL,T30.kvinder,0.256046210013523
SF,T30.kvinder,0.272673683004685
DF,T30.kvinder,0.562703972817821
UFG,T30.kvinder,0.521825713790553
LA,T30.kvinder,0.519181323974454
