stat,party_short,N,rel
seats,Misc.,9,0.05
seats,DF,16,0.0888888888888889
seats,EL,13,0.0722222222222222
seats,KF,13,0.0722222222222222
seats,LA,3,0.0166666666666667
seats,RV,16,0.0888888888888889
seats,S,49,0.272222222222222
seats,SF,14,0.0777777777777778
seats,UFG,5,0.0277777777777778
seats,V,42,0.233333333333333
accounts,Misc.,8,0.0484848484848485
accounts,DF,16,0.096969696969697
accounts,EL,11,0.0666666666666667
accounts,KF,13,0.0787878787878788
accounts,LA,2,0.0121212121212121
accounts,RV,16,0.096969696969697
accounts,S,42,0.254545454545455
accounts,SF,13,0.0787878787878788
accounts,UFG,5,0.0303030303030303
accounts,V,39,0.236363636363636
tweets,Misc.,5070,0.0283664928496296
tweets,DF,14759,0.0825761475281427
tweets,LA,2767,0.015481279233713
tweets,KF,4211,0.0235604144753038
tweets,S,48445,0.271048273392565
tweets,V,40833,0.228459369335094
tweets,SF,20785,0.116291430745474
tweets,EL,12267,0.0686334847704944
tweets,RV,19192,0.107378645122306
tweets,UFG,10403,0.0582044625472775
URLs,Misc.,2528,0.0542955326460481
URLs,DF,5463,0.117332474226804
URLs,LA,423,0.00908505154639175
URLs,KF,1580,0.0339347079037801
URLs,S,10417,0.223732817869416
URLs,V,8227,0.176696735395189
URLs,SF,4201,0.0902276632302405
URLs,EL,5496,0.118041237113402
URLs,RV,4724,0.101460481099656
URLs,UFG,3501,0.0751932989690722
texts,S,2131,0.204962970087525
texts,RV,1241,0.119361354236799
texts,KF,412,0.0396268154275272
texts,V,1931,0.185726651918823
texts,EL,1519,0.146099836491296
texts,SF,1305,0.125516976050784
texts,DF,1052,0.101183033567375
texts,UFG,741,0.0712705588150428
texts,LA,65,0.00625180340482832
