"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","3.2123","2.8317","3.5236","3.0524","5.3487","0.8578","2.7919","2.988","2.213","5.014","2.7559","3.4097","2.0144","1.0332","3.7545","1.1985","2.6854","3.9655","3.5603","3.1353","4.0244","4.4389","1.7929","7.4468","3.8991","2.7747","5.5326","2.9803","4.0241","3.74"
"1","landbrug","coronakrisen","danmark","københavn","børn","cookies","kommunerne","mere","the","regeringen","tal","politiet","benny","indbakke","ministeren","politiet","lande","ældre","danmark","arbejdsmarkedet","løkke","grønne","skattely","vores","sagen","ansatte","kroner","elever","folkeparti","kvinder"
"2","landbruget","danmark","flygtninge","boliger","unge","samtykke","kommuner","prøv","and","mette","økonomi","kriminalitet","engelbrecht","afmelde","sagen","mand","europa","patienter","energi","arbejde","venstre","omstilling","studerende","danmark","bladet","offentlige","penge","folkeskolen","dansk","mænd"
"3","natur","coronavirus","udlændinge","kommune","forældre","persondata","udsatte","sekunder","that","frederiksen","viser","rigspolitiet","transportminister","nyheder","folketinget","politi","danmark","sygeplejersker","grønne","pension","lars","grøn","danske","samfund","lars","sektor","regeringen","eleverne","søren","vold"
"4","miljø","covid","danske","biler","børnene","media","kommune","hurtigste","with","radikale","finansministeriet","justitsminister","transport","dagens","esben","døde","europæiske","læger","virksomheder","nedslidte","mette","regeringen","bank","mennesker","fik","private","milliarder","skoler","folketinget","muslimske"
"5","fødevarer","åbne","syrien","siger","kan","berlingske","kommunen","apps","are","socialdemokratiet","procent","sager","brian","vigtigste","oplysninger","betjente","tyskland","behandling","mio","job","rasmussen","dan","kroner","verden","fortæller","kroner","millioner","skolen","pia","muslimer"
"6","naturen","kan","dansk","almene","barn","dine","borgere","politikendk","was","folkeparti","offentlige","siger","mikkelsen","direkte","ministeriet","anholdt","sverige","regionerne","danske","arbejdskraft","frederiksen","jørgensen","skat","kan","ekstra","virksomheder","skat","lærere","konservative","kvinde"
"7","skov","genåbning","statsborgerskab","bil","mor","indhold","hjælp","podcast","from","aftale","milliarder","regeringen","aftale","hver","lunde","biden","eus","flere","grøn","tidlig","statsminister","olie","selskaber","politiske","støjberg","medarbejdere","pengene","uddannelser","siger","islam"
"8","landmænd","sundhedsstyrelsen","støjberg","bor","barnet","dit","astrid","fulde","has","siger","venstre","pape","gratis","igen","samråd","dræbt","danske","sundhedsvæsen","nye","folkepension","regering","energi","kontanthjælpsloftet","politikere","skriver","løn","betale","skolerne","partiet","siger"
"9","hektar","smittet","asylansøgere","køre","familier","ændre","handicap","overblik","said","kristian","tallene","virksomheder","joy","tid","larsen","manden","kina","sundhedsvæsenet","verdens","pensionsalderen","partiet","siger","uddannelse","land","inger","offentligt","socialdemokratiet","skole","synes","unge"
"10","dyr","lukket","inger","kører","komme","annoncer","krag","læs","this","thulesen","regeringen","søren","radiosyv","produkter","eva","kriminelle","storbritannien","patienterne","forskning","ret","socialdemokratiet","mål","fattigdom","mere","facebook","staten","venstre","undervisning","liberal","ligestilling"
"11","siger","personer","opholdstilladelse","københavns","forældrene","tilpasse","børn","gang","but","dahl","antallet","loven","siger","tilmelding","minister","drab","grænsekontrol","regioner","lande","førtidspension","politik","klima","banken","politik","jensen","penge","forslag","uddannelse","mener","piger"
"12","landbrugspakken","genåbningen","personer","byer","får","klikke","social","adgang","not","dansk","løkke","retsordfører","transportordfører","avisens","rapporten","anholdte","tyske","plejehjem","udvikling","pensionsalder","politiske","klimarådet","penge","danskerne","medier","milliarder","siger","lærerne","parti","køn"
"13","pesticider","afstand","ophold","kommuner","bare","nederst","unge","store","will","forhandlinger","økonomiske","kriminelle","tog","tilmeld","poulsen","årig","svenske","sygehusene","omstilling","beskæftigelsesminister","valg","lilleholt","fattige","mest","møde","kommunerne","regeringens","børn","borgerlige","udsat"
"14","universitet","regeringen","integrationsminister","beboere","liv","anvender","hjemløse","usa","its","forhandlingerne","siger","nick","mogensen","accepterer","sag","george","eukommissionen","siger","verden","arbejdsmiljø","venstres","klimaet","milliarder","bare","tidligere","løhde","udspil","unge","kjærsgaard","voldtægt"
"15","danske","holde","statsborgere","bilen","godt","såsom","tilbud","trump","they","morten","regeringens","hækkerup","aarhus","læse","kjer","fængslet","kinesiske","kommunerne","mål","ledige","parti","nordsøen","universitet","måske","klokken","sophie","skattelettelser","klasse","enhedslisten","mand"
