party_short,party_full,party_grouping
PSOE,El Partido Socialista Obrero Español,Socialista
PP,El Partido Popular,Popular
VOX,VOX,VOX
UP,Unidas Podemos,Confed
PSC-PSOE,El Partido de los Socialistas de Cataluña,Socialista
ERC-S,Esquerra Republicana de Catalunya-Sobiranistes,Republicano
Cs,Ciudadanos ,Cs
PsdeG-PSOE,El Partido dos Socialistas de Galicia-PSOE,Socialista
EAJ-PNV,El Partido Nacionalista Vasco,Vasco
JxCat-JUNTS,Junts per Catalunya,Plural
ERC-CATSÍ,Die Esquerra Republicana de Catalunya,Republicano
EH Bildu,Euskal Herria Bildu,Misc
ECP-GUAYEM EL CANVI,En Comú Podem,Confed
PSE-EE-PSOE,Partido Socialista de Euskadi – Euskadiko Ezkerra,Socialista
IU,Izquierda Unida,Confed
ECP,En Comú Podem,Confed
MÁS PAÍS-EQUO,Más País,Misc
EM-P-A-EU,Partido Andalucista,Misc
CUP-PR,Candidatura d'Unitat Popular,Misc
CDC,Convergència Democràtica de Catalunya,Misc
UPN,Unión del Pueblo Navarro,Misc
PSdG-PSOE,Partido dos Socialistas de Galicia,Socialista
PRC,Partido Regionalista de Cantabria,Misc
PP-FORO,Foro de Ciudadanos,Popular
NC,Acuerdo de Unidad Nacionalista,Misc
NA+,Navarra Suma,Misc
Independent,Independent,Misc
FORO,Foro de Ciudadanos,Misc
CCa-PNC,Acuerdo de Unidad Nacionalista,Misc
C-P-EUPV,Compromís–Podemos–EUPV: A la valenciana,Misc
BNG,Bloque Nacionalista Galego,Misc
AMAIUR,Amaiur,Misc
¡Teruel Existe!,Teruel Existe,Misc
