K,url_core,gini,N_url
20,abc,0.219733175914775,2634
20,cadenaser,0.197322624620741,926
20,libremercado,0.44611918874769,324
20,elperiodico,0.197028060374725,516
20,publico,0.170123135332861,843
20,libertaddigital,0.363119714781627,1012
20,lavozdegalicia,0.186902685157128,242
20,vozpopuli,0.291838519541533,465
20,elperiodicoextremadura,0.317790384265191,41
20,eleconomista,0.332974632251331,175
20,halabedi,0.745926935988185,2
20,elespanol,0.209484418099844,888
20,elmundo,0.229503684178261,2522
20,elconfidencial,0.252371388101318,844
20,valenciaextra,0.838380687938014,1
20,actuall,0.381523095438553,104
20,expansion,0.342311519700409,234
20,laregion,0.316788172718109,44
20,eldiario,0.209475388586462,666
20,ondacero,0.327944128749973,64
20,lasexta,0.2698153942223,156
20,elplural,0.201801491047388,269
20,economiadigital,0.298507602342301,21
20,europapress,0.221565416550825,906
20,facebook,0.216040115969859,132
20,hacienda,0.835414497292711,4
20,laopiniondemalaga,0.340643029991116,54
20,ara,0.595919442806222,8
20,elindependiente,0.251072838705995,260
20,levante-emv,0.185798319930286,116
20,ticbeat,0.684464742486222,1
20,ppbalears,0.601364656077752,5
20,cort,0.219129046133464,50
20,elbierzodigital,0.591466188621134,3
20,larazon,0.253906895386508,504
20,psoemadrid,0.42774453744392,5
20,elpais,0.183297124312183,2852
20,diariodesevilla,0.252461259319663,76
20,eldiadigital,0.520821736187603,7
20,okdiario,0.265397246174381,1241
20,gppopular,0.389265815519315,24
20,elsaltodiario,0.250551425925807,128
20,diariodeibiza,0.315449538700404,32
20,cordopolis,0.303080587609309,14
20,psoe,0.323250282104328,359
20,unosapuntesalmargen,0.566038878350546,20
20,elcuadernodeguillermo,0.79088856695599,1
20,marca,0.392309271273566,47
20,pp,0.311317855721414,246
20,lavanguardia,0.167104560535768,805
20,cope,0.236405389138742,210
20,celsodelgado,0.561480552339385,46
20,lamoncloa,0.386425324048166,23
20,ow,0.569268342325359,6
20,antena3,0.223576159392865,79
20,valenciaplaza,0.321290263469774,44
20,ccoo,0.364856386777177,6
20,lne,0.277459560478484,27
20,lapoderosa,0.789622586511234,1
20,20minutos,0.165950104930465,291
20,wordpress,0.226747924889623,80
20,diariodenavarra,0.298061619472144,50
20,rtve,0.259633971205274,145
20,telecinco,0.285493244041292,52
20,vilaweb,0.916137764179722,4
20,huffingtonpost,0.212928359101591,299
20,murcia,0.595962380641518,5
20,ideal,0.575020178099919,6
20,periodicodeibiza,0.437641752257375,12
20,elcorreogallego,0.226113486595335,28
20,ppcantabria,0.393264029038078,41
20,ppmalaga,0.473334499692297,27
20,digitalfarocanarias,0.54854077278643,3
20,laopiniondemurcia,0.231581064565775,117
20,filco,0.769322113316116,1
20,electomania,0.66650095715281,3
20,psoetenerife,0.789799890144532,1
20,outono,0.307103172435071,78
20,diaridegirona,0.972608974747152,6
20,diaridetarragona,0.509952063936244,7
20,sdhuesca,0.894988650453439,1
20,cuartopoder,0.276427993516843,88
20,psoemalaga,0.364058106906261,24
20,servimedia,0.425344782056958,36
20,congreso,0.449598745961068,43
20,farodevigo,0.211780246336065,69
20,mpr,0.529031340260378,16
20,politico,0.973038768140322,9
20,jse,0.404974329537098,6
20,diarioinformacion,0.208571363734385,79
20,melillahoy,0.327506434026265,7
20,lasvocesdelpueblo,0.398744422629265,10
20,elcatalan,0.455613677272571,18
20,nuevatribuna,0.319966387727125,84
20,diariodelaltoaragon,0.590012761955796,2
20,diariocordoba,0.280242100316238,33
20,boe,0.499915259529566,38
20,lacronicademurcia,0.547955990770891,4
20,lapaseata,0.473269410960506,6
20,heraldo,0.246847839008939,71
20,juntadeandalucia,0.545961005929632,16
20,sindic,0.842524396939432,1
20,diario16,0.282632314876682,109
20,elcorreoweb,0.42962682476763,15
20,psoecanarias,0.363955030826864,17
20,milenio,0.658578112873086,1
20,nomecuentescuentos,0.690996262909282,1
20,idealista,0.491919910295295,3
20,podemos,0.332385131672003,40
20,diariojaen,0.403110272770361,8
20,elcorreodeespana,0.412157293137491,12
20,ecoinventos,0.947425714489412,1
20,republica,0.400773191321317,8
20,realmadrid,0.879260097239483,1
20,joaquingarciadiez,0.459465695548321,43
20,dipucadiz,0.696983884085041,1
20,ctxt,0.310664058517739,92
20,lavozdelsur,0.257650035793146,11
20,psoecaceres,0.584085860486701,4
20,diariodeleon,0.32603233545702,49
20,clm24,0.331055516420065,25
20,lacircular,0.62063222036788,2
20,diariodecadiz,0.27153290139361,38
20,canalsur,0.371461553745926,8
20,diariodealmeria,0.403211045749272,13
20,lavozdealmeria,0.290288378439093,15
20,emilioruiz,0.744915210624421,1
20,aleteia,0.732561116985575,5
20,kioskoymas,0.308000260174127,18
20,elconfidencialdigital,0.241859487272339,45
20,infolibre,0.256436529549879,167
20,theluxonomist,0.605593276409462,29
20,catalunyaplural,0.738169535149626,1
20,elperiodicodearagon,0.267925064925464,39
20,bit,0.30201932588058,15
20,efeverde,0.500653325142156,56
20,elelectoral,0.728197341932625,20
20,dircomfidencial,0.664654512570481,2
20,eldigitalcastillalamancha,0.37407241862576,46
20,carmenalvarezvela,0.665555388503683,5
20,cuatro,0.357662344478305,16
20,pikaramagazine,0.545005520545433,6
20,gacetadeltaxi,0.52988580663561,3
20,efe,0.219518116430347,92
20,elnacional,0.327468256879348,67
20,europasur,0.515725076432458,12
20,elprogreso,0.380256415980567,9
20,madridiario,0.354610336070052,11
20,calpdigital,0.554475903781265,4
20,badminton,0.805670138400353,1
20,esdiario,0.257816156539249,113
20,andaluciainformacion,0.259088498466285,37
20,mediterraneodigital,0.462019143377238,5
20,kaosenlared,0.433393819169428,6
20,horasur,0.737045247709141,1
20,as,0.547939563824953,15
20,ugt,0.440397160962531,4
20,traveler,0.74155390398512,3
20,zeleb,0.784298074162479,1
20,nytimes,0.577362732899107,33
20,elotroblogdeveronicadelcarpio,0.779225219816055,1
20,elboletin,0.364198365775476,54
20,ayuntamientoboadilladelmonte,0.469520810737335,51
20,diariodelanzarote,0.912633584947213,1
20,vice,0.625426292827294,4
20,tinyurl,0.737106491363757,1
20,google,0.473918067893253,7
20,edutopia,1,1
20,educacionabierta,0.884151281103037,2
20,elnuevoherald,0.831744823697323,1
20,eljueves,0.353140818352025,17
20,sinpermiso,0.572124754469715,3
20,sorianoticias,0.555692459061771,6
20,psoecuenca,0.628778139003696,6
20,elmundotoday,0.360197471436671,11
20,elcultural,0.781514391291822,2
20,ultimahora,0.337227144449408,16
20,ccma,0.858154503612648,4
20,psoecyl,0.533808391680019,7
20,educaweb,0.795629882206379,1
20,generaldavila,0.518809088283002,4
20,diariodeteruel,0.757276962662278,2
20,ppnavarra,0.563997598022059,3
20,la-actualidad,0.677127872685784,1
20,jokinbildarratzsorron,0.532961516843928,4
20,casoaislado,0.600514021854589,5
20,elmon,0.836784360549321,3
20,universia,0.847814069322079,1
20,periodicoclm,0.293652589896418,87
20,tribunavalladolid,0.371662743751844,37
20,pagina12,0.479168151790776,3
20,periodistadigital,0.328072353523234,67
20,elperiodicomediterraneo,0.263349135712998,52
20,rac1,0.934978040237846,3
20,huelvainformacion,0.617770653188383,2
20,moncloa,0.336969152440953,14
20,soloboadilla,0.567462118993324,3
20,fundacionemprendedores,0.806541189025218,8
20,periodistas-es,0.863471443131967,1
20,lamarea,0.308648435558282,42
20,encastillalamancha,0.294274555009023,66
20,un,0.508181509606514,16
20,laprovincia,0.292577785817913,8
20,radiocable,0.384979967733954,11
20,ppextremadura,0.735272677367467,2
20,fecaza,0.527690537134611,2
20,thefederalist,1,1
20,diariosur,0.448026207613154,10
20,freedamedia,0.671246895359208,1
20,canarias7,0.293867277718109,20
20,diariodemallorca,0.264471888574044,21
20,lavozdeasturias,0.265231614605456,37
20,ubeda28,0.894925963750396,1
20,elordenmundial,0.555367176936927,11
20,libropatas,0.842281306323139,1
20,lahoradigital,0.328388835950811,89
20,granadahoy,0.320329059343331,27
20,leroymerlin,0.921231289520291,1
20,elperiodicodelaenergia,0.655671815845571,70
20,educatioservanda,0.790089387222407,1
20,poderpopular,0.731398201765088,1
20,nosolocine,0.843373093758942,1
20,osoigo,0.597333121997667,5
20,revistavanityfair,0.441305472729527,6
20,elpuntavui,0.908838771687739,5
20,clublibertaddigital,0.562931260216185,3
