party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
Cs,0.941455512754148,0.798693588825994,0.698925164716048,84,0.43298969072165,460632
EAJ-PNV,0.945387601419456,0.904943321903741,0.85292511490414,38,0.195876288659794,14363
ECP-GUAYEM EL CANVI,0.948649778194031,0.866766649305719,0.798369099931587,51,0.262886597938144,66597
EH Bildu,0.97690053051144,0.922681210778748,0.871654520186397,38,0.195876288659794,41634
ERC-CATSÍ,0.939706903716447,0.833748891643259,0.748405091061856,70,0.360824742268041,68468
ERC-S,0.945678058172783,0.860663916174023,0.7738092652653,70,0.360824742268041,89241
JxCat-JUNTS,0.957454611121143,0.892194807289492,0.816650869777987,59,0.304123711340206,19781
PP,0.867914238898695,0.698807483655401,0.47276383671702,159,0.819587628865979,2597031
PSC-PSOE,0.913896215478009,0.765633370241635,0.616274876581441,115,0.592783505154639,503353
PSOE,0.854694402693118,0.700847198089896,0.480164020951408,159,0.819587628865979,2196479
PsdeG-PSOE,0.948855679187951,0.891058911784722,0.791801550434454,63,0.324742268041237,127629
UP,0.918905414747332,0.74405116445712,0.580270995338632,119,0.61340206185567,995326
VOX,0.946275972638631,0.792607006171029,0.63430286275685,127,0.654639175257732,1639813
