party_short,topic,Score
VOX,T1.vox,0.544517029756467
UP,T1.vox,0.4288045233496
PSOE,T1.vox,0.306011827786139
Cs,T1.vox,0.402595090983399
PP,T1.vox,0.398782209878863
PSC-PSOE,T1.vox,0.445431236301679
ERC-S,T1.vox,0.460902788512352
PsdeG-PSOE,T1.vox,0.215409139879822
JxCat-JUNTS,T1.vox,0.390459982255408
ECP-GUAYEM EL CANVI,T1.vox,0.494673763066689
EAJ-PNV,T1.vox,0.52424882227984
ERC-CATSÍ,T1.vox,0.508853081198535
EH Bildu,T1.vox,0.534452561994854
VOX,T2.policía,0.519204988581484
UP,T2.policía,0.508154257458865
PSOE,T2.policía,0.501856332678582
Cs,T2.policía,0.510365135929008
PP,T2.policía,0.51000494592822
PSC-PSOE,T2.policía,0.521100019579173
ERC-S,T2.policía,0.5251036440718
PsdeG-PSOE,T2.policía,0.313616689095802
JxCat-JUNTS,T2.policía,0.400554689118627
ECP-GUAYEM EL CANVI,T2.policía,0.487441412606218
EAJ-PNV,T2.policía,0.168370581811505
ERC-CATSÍ,T2.policía,0.503308047260947
EH Bildu,T2.policía,0.341750798022819
VOX,T3.venezuela,0.533533668150281
UP,T3.venezuela,0.502354320363588
PSOE,T3.venezuela,0.500582022299369
Cs,T3.venezuela,0.447896434783152
PP,T3.venezuela,0.504974003624639
PSC-PSOE,T3.venezuela,0.290280492231878
ERC-S,T3.venezuela,0.605303322575507
PsdeG-PSOE,T3.venezuela,0.200403950840903
JxCat-JUNTS,T3.venezuela,0.196350235389201
ECP-GUAYEM EL CANVI,T3.venezuela,0.491080955695789
EAJ-PNV,T3.venezuela,0.176972683453117
ERC-CATSÍ,T3.venezuela,0.505483247484442
EH Bildu,T3.venezuela,0.218017649134243
VOX,T4.coronavirus,0.516722351579531
UP,T4.coronavirus,0.390341487138078
PSOE,T4.coronavirus,0.475933924003564
Cs,T4.coronavirus,0.505615139929261
PP,T4.coronavirus,0.512396852303532
PSC-PSOE,T4.coronavirus,0.500757567205953
ERC-S,T4.coronavirus,0.503853489308508
