"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","2.4768","2.648","2.0144","3.9101","5.219","3.7642","3.1602","3.706","4.808","4.6724","1.1596","3.2988","4.2275","3.4297","2.191","3.3588","10.3632","2.8092","1.4813","3.7818","2.364","4.698","2.0889","5.761","2.4386","3.6876","1.017","1.6096","2.0641","1.7914"
"1","vox","policía","venezuela","coronavirus","social","medidas","empleo","gobierno","partido","ley","galicia","sanidad","años","euros","europea","ciudad","gente","tribunal","cataluña","vox","climático","millones","educación","psoe","mujeres","psoe","the","libertad","izquierda","guardia"
"2","eta","mujer","españa","sanidad","políticas","alarma","año","sánchez","psoe","decreto","xunta","mascarillas","vida","empresa","países","zona","creo","sentencia","generalitat","gobierno","cambio","euros","universidad","gobierno","violencia","partido","and","esradio","libertad","civil"
"3","acto","años","trump","casos","sociedad","crisis","datos","presidente","vox","derecho","feijóo","material","familia","dinero","europeo","ayuntamiento","puede","supremo","barcelona","iglesias","emisiones","gasto","alumnos","sánchez","género","socialista","that","quieras","guerra","policía"
"4","vasco","ábalos","unidos","virus","derechos","autónomos","laboral","pensiones","elecciones","medidas","non","sanitarios","historia","millones","europa","agua","hacer","justicia","catalunya","sánchez","climática","pib","centros","congreso","mujer","andalucía","for","publicidad","democracia","interior"
"5","víctimas","fuentes","internacional","pandemia","españa","pandemia","mes","pedro","ciudadanos","artículo","energía","salud","padre","investigación","españa","obras","cosas","delito","catalán","pablo","especies","déficit","padres","podemos","igualdad","junta","with","aviso","libro","agentes"
"6","abascal","según","país","covid","política","coronavirus","paro","rajoy","sánchez","comisión","unha","test","casa","caso","unión","provincia","ahora","prisión","torra","abascal","ambiente","año","curso","acuerdo","hombres","popular","are","digital","derecha","ministro"
"7","manifestación","víctima","maduro","datos","sociales","gobierno","trabajadores","psoe","rivera","texto","vigo","sanitario","mundo","según","italia","canarias","cómo","judicial","catalana","redes","animales","deuda","niños","investidura","sexual","presidente","from","necesitamos","comunista","pérez"
"8","policía","horas","presidente","salud","sistema","trabajadores","personas","presupuestos","voto","derechos","gallego","hospital","cultura","contratos","comisión","euros","ser","penal","govern","medios","global","impuestos","educativo","bildu","víctimas","secretario","this","emergencia","historia","seguridad"
"9","terrorismo","hombre","países","fallecidos","país","empresas","trimestre","ejecutivo","votos","gobierno","máis","profesionales","después","contrato","europeos","zonas","bien","fiscalía","per","podemos","países","economía","universidades","diputados","ley","provincia","have","coronavirus","gitanos","cobos"
"10","plaza","aeropuerto","militar","marzo","igualdad","sector","años","reforma","electoral","congreso","caballero","pacientes","premio","fiscalía","alemania","puerto","siempre","electoral","catalanes","twitter","contaminación","impuesto","estudiantes","mesa","menores","congreso","was","nunca","república","judicial"
"11","personas","avión","guaidó","españa","bienestar","covid","trabajo","casado","casado","consejo","ourense","coronavirus","rey","corrupción","francia","proyecto","usted","delitos","psc","pedro","mundial","fiscal","escolar","erc","machista","alcalde","not","apoyo","gitana","general"
"12","españa","guardia","defensa","simón","modelo","actividad","euros","ministra","derecha","proposición","renovables","hospitales","año","cuentas","bruselas","vecinos","ver","junta","puigdemont","montero","salud","empresas","formación","ciudadanos","feminismo","portavoz","more","cada","pueblo","ministerio"
