party_short,party_full,party_grouping
LREM,La République En Marche!,LREM
LR,Les Républicains,LR
MoDem,Mouvement démocrate,MoDem
PS,Parti socialiste,SOC
UDI,Union des démocrates et indépendants,UDI
FI,La France Insoumise,LFI
DVG,Divers Gauche,DVG
Agir,"Agir, la droite constructive",AE
PCF,Parti communiste français,GDR
RN,Rassemblement national,RN
MR,Mouvement Radical,LT
Cap21,"Citoyenneté, action, participation pour le xxie siècle",Misc
DVD,Divers Droite,LT
LC,Les Centristes,MoDem
AC,Alliance centriste,LREM
Ensemble!,"Ensemble – Mouvement pour une Alternative de Gauche, Ecologique et Solidaire",LFI
PaCs,Pacte civil de solidarité,Misc
DLF,Debout la France,Misc
Génération.s,Génération.s,SOC
Independent,Independent,Misc
JSFee,Je suis français et européen,Misc
LP,Les Patriotes,Misc
LS,Ligue du Sud,Misc
MdP,Mouvement des progressistes,EDS
MIM,Mouvement Indépendantiste Martiniquais,GDR
MRC,Mouvement républicain et citoyen,SOC
PE,Parti écologiste,LREM
Picardie Debout,Picardie Debout,Misc
PP,Parti pirate,Misc
PPM,Parti progressiste martiniquais,Misc
PSG,Parti socialiste guyanais,GDR
Résistons!,Parti de la Résistance,Misc
SE,Valeur Absolue,Misc
Tavini,Tavini Huiraatira,Misc
MDC,Mouvement des citoyens,Misc
CSL,Cap sur l'avenir,Misc
