K,url_core,gini,N_url
20,europe1,0.245029573676033,645
20,nouvelobs,0.200149412140566,527
20,virginiedubymuller,0.349581418667888,394
20,elpais,0.902926118899232,5
20,assemblee-nationale,0.256582225665382,936
20,causeur,0.387622638549009,26
20,lefigaro,0.215468969328212,2697
20,actuel-rh,0.494883811621942,13
20,ouest-france,0.184341699907035,1174
20,lepoint,0.262866500449519,857
20,lemonde,0.222503880731977,3634
20,agriculture,0.450338620793657,69
20,pdf,0.499093553419115,18
20,liberation,0.160785502542447,1215
20,francetvinfo,0.186495742057407,1934
20,bfmtv,0.280715798366098,1064
20,facebook,0.162890091361896,1093
20,lejdd,0.261820739141324,1411
20,leparisien,0.216629792772188,2228
20,lesechos,0.349441127807838,1334
20,yaelbraunpivet,0.371288048427306,91
20,sante,0.702154146448291,28
20,lexpress,0.213989217301145,346
20,francesoir,0.388683408534853,22
20,larep,0.230210517076415,41
20,huffingtonpost,0.210802894646245,847
20,magazine-decideurs,0.372053944121792,16
20,lebohec-gael,0.355251789238452,75
20,ladepeche,0.251173746450458,315
20,gouvernement,0.358813002922914,214
20,jrcazeneuve,0.512598231443693,3
20,lavoixdunord,0.256395074905494,123
20,20minutes,0.22446267368578,368
20,letelegramme,0.194561488924355,256
20,ecologique-solidaire,0.591688391011475,83
20,nicematin,0.33842869976262,126
20,fedom,0.739664654162728,1
20,rtl,0.278233306899897,352
20,andrechassaigne,0.355485036643674,320
20,change,0.241219559360901,284
20,insee,0.652591814406214,54
20,solidarites-sante,0.53925495083999,77
20,lamontagne,0.285329955450737,82
20,leberry,0.429579100203187,13
20,lafranceinsoumise,0.270705602502955,772
20,actu,0.268233154001634,215
20,francebleu,0.254091010887147,496
20,jeanmicheljacques,0.306356673370432,35
20,ericpauget,0.400687576051156,75
20,melenchon,0.371292164031113,262
20,bienpublic,0.311025356522879,28
20,benedictetaurine,0.300000591401829,9
20,rt,0.313625511772855,20
20,mickaelnogal,0.320998285883687,18
20,lepopulaire,0.433700079727712,18
20,laviedesidees,0.403917274906068,6
20,lejsd,0.684983288940566,2
20,jmarilossian,0.318510668306296,40
20,afriactuel,0.693044823998767,1
20,lindependant,0.331023282767567,119
20,topito,0.82806999346219,2
20,marianne,0.271831924971334,278
20,lemagautoprestige,0.873898112905486,1
20,corsenetinfos,0.343818591268818,81
20,orange,0.373192478900339,22
20,richardferrand,0.344388098591633,31
20,claudegoasguen,0.324937346665455,326
20,rfi,0.319632094783013,98
20,alternatives-economiques,0.46836928028551,16
20,jamaissanselles,0.806010168614756,35
20,multinationales,0.704579443971873,1
20,franceinter,0.20996676503849,317
20,eure,0.854341873934552,1
20,lepetitjournal,0.226526764475339,24
20,google,0.330967330437962,21
20,la-croix,0.23519269835538,274
20,midilibre,0.259160224756226,143
20,vanityfair,0.552945000462116,6
20,radiolac,0.65384679714352,1
20,gomet,0.405930869697093,13
20,leprogres,0.327298979825323,62
20,lci,0.232662327520366,186
20,rassemblementnational,0.270158930341163,178
20,radiototem,0.796740381723148,1
20,lequipe,0.434329521375692,71
20,transportinfo,0.736988656703025,1
20,loicprudhomme,0.978061543104469,19
20,enseignementsup-recherche,0.799312046619966,2
20,franceculture,0.251587650024644,104
20,lopinion,0.316581492443157,238
20,lisbob,0.648471641345493,1
20,regards,0.405226597969012,34
20,typeform,1,87
20,jeanfrancois-mbaye,0.383902846124434,24
20,contexte,0.456478192275884,11
20,acteurspublics,0.42330208849592,16
20,magasineteuropa,0.838433729172962,1
20,mailchi,0.184175703540625,97
20,sachahoulie,0.330920649693254,32
20,sudouest,0.224379733905887,219
20,agoravox,0.763595610232088,5
20,lnkd,0.750954439805015,1
20,challenges,0.316768719295264,88
20,en-marche,0.311313759591965,359
20,travail-emploi,0.581574774880914,81
20,lanouvellerepublique,0.267946601114704,127
20,outremers360,0.221162234726724,93
20,villeintelligente-mag,0.789614828802559,1
20,mayottehebdo,0.639920845481275,1
20,theconversation,0.327323575530778,29
20,sabinerubin,0.273853082694647,78
20,ffbridge,0.77681996681993,1
20,conseil-constitutionnel,0.638072058452967,19
20,telerama,0.277401045248114,19
20,mediapart,0.196179741226329,208
20,cohesion-territoires,0.685507133340839,14
20,linkedin,0.308246465309239,48
20,wedemain,0.656644296823764,2
20,numerama,0.432993027811631,12
20,telos-eu,0.463606565653437,8
20,cybermalveillance,0.711604278160178,3
20,epinalinfos,0.760563979190857,1
20,mesopinions,0.295228239871941,18
20,sylvainwaserman,0.361995947056201,22
20,medium,0.226329106476115,123
20,christinecloarec,0.37116724909673,82
20,sciencesetavenir,0.284744919950936,36
20,latribune,0.271723601582038,230
20,forteza,0.430478794606291,11
20,france,0.326795322833865,25
20,toul,0.824467648453818,1
20,gouffier-cha,0.313662757080913,68
20,marclefur,0.486882140248576,82
