party_short,topic,Score
MoDem,T1.politique,0.389728274428618
LREM,T1.politique,0.312211588697112
LR,T1.politique,0.520838974524464
PS,T1.politique,0.500391672507693
PCF,T1.politique,0.501020655615494
RN,T1.politique,0.516780350946538
Agir,T1.politique,0.265376886545512
FI,T1.politique,0.526298304738623
DVG,T1.politique,0.542902840474803
UDI,T1.politique,0.450355262252605
MoDem,T2.jai,0.495880337802616
LREM,T2.jai,0.489264496872736
LR,T2.jai,0.509447815300736
PS,T2.jai,0.50291670076596
PCF,T2.jai,0.515953838439844
RN,T2.jai,0.517259531907213
Agir,T2.jai,0.524261828830892
FI,T2.jai,0.443962469469044
DVG,T2.jai,0.24142071451359
UDI,T2.jai,0.513107482889557
MoDem,T3.femmes,0.50702030072142
LREM,T3.femmes,0.520352781194908
LR,T3.femmes,0.48310338779197
PS,T3.femmes,0.44687198174648
PCF,T3.femmes,0.322422600161671
RN,T3.femmes,0.242204615547148
Agir,T3.femmes,0.513571111548473
FI,T3.femmes,0.488143902006943
DVG,T3.femmes,0.528461312006954
UDI,T3.femmes,0.532319845802825
MoDem,T4.leurope,0.532283289569785
LREM,T4.leurope,0.524216199254593
LR,T4.leurope,0.331942667861826
PS,T4.leurope,0.336921485034989
PCF,T4.leurope,0.158625984717593
RN,T4.leurope,0.373782465914768
Agir,T4.leurope,0.28132755067545
FI,T4.leurope,0.480803998830129
DVG,T4.leurope,0.531178340138853
UDI,T4.leurope,0.565981755733293
MoDem,T5.cest,0.513194268142464
LREM,T5.cest,0.51111546069643
LR,T5.cest,0.511747091136503
PS,T5.cest,0.509619578885092
PCF,T5.cest,0.509360407301904
RN,T5.cest,0.444603100240081
Agir,T5.cest,0.523666941020931
FI,T5.cest,0.407532905445524
DVG,T5.cest,0.215755405266793
UDI,T5.cest,0.514507111721437
MoDem,T6.écologique,0.509640539947818
LREM,T6.écologique,0.525186510342843
LR,T6.écologique,0.372879227190979
PS,T6.écologique,0.520591701622976
PCF,T6.écologique,0.423101720546252
RN,T6.écologique,0.176940643473074
Agir,T6.écologique,0.502706316274145
FI,T6.écologique,0.529607842465536
DVG,T6.écologique,0.35110167228066
UDI,T6.écologique,0.529864762997585
MoDem,T7.the,0.523806300434045
LREM,T7.the,0.553743207313044
LR,T7.the,0.540344965261861
PS,T7.the,0.398421305468075
PCF,T7.the,0.291883917440529
RN,T7.the,0.174492263271659
Agir,T7.the,0.501250500320238
FI,T7.the,0.486903512748517
DVG,T7.the,0.104204403041109
UDI,T7.the,0.535264486473824
MoDem,T8.taxe,0.513109951975407
LREM,T8.taxe,0.524112071175184
LR,T8.taxe,0.514690167698157
PS,T8.taxe,0.532053381717106
PCF,T8.taxe,0.536416931887465
RN,T8.taxe,0.357523561186681
Agir,T8.taxe,0.328180928526569
FI,T8.taxe,0.313207184635319
DVG,T8.taxe,0.453643931060382
UDI,T8.taxe,0.343619350057857
MoDem,T9.deuros,0.443988181396159
LREM,T9.deuros,0.466184950564721
LR,T9.deuros,0.376624419206535
PS,T9.deuros,0.508987884537473
PCF,T9.deuros,0.547501025291117
RN,T9.deuros,0.39168256918549
Agir,T9.deuros,0.322446485063562
FI,T9.deuros,0.502979969820975
DVG,T9.deuros,0.554838722285646
UDI,T9.deuros,0.355997375231415
MoDem,T10.européenne,0.509951302185098
LREM,T10.européenne,0.511023563771885
LR,T10.européenne,0.429169966000174
PS,T10.européenne,0.38770584696186
PCF,T10.européenne,0.512289488530614
RN,T10.européenne,0.524302396393028
Agir,T10.européenne,0.495605297446075
FI,T10.européenne,0.502279314769512
DVG,T10.européenne,0.358973583902626
UDI,T10.européenne,0.52300846491879
MoDem,T11.paris,0.513373453461317
LREM,T11.paris,0.506849315813129
LR,T11.paris,0.508262631605451
PS,T11.paris,0.513346551327464
PCF,T11.paris,0.502015211798037
RN,T11.paris,0.345998157905451
Agir,T11.paris,0.555634341977172
FI,T11.paris,0.432100082865391
DVG,T11.paris,0.155852167027078
UDI,T11.paris,0.507123453237638
MoDem,T12.numérique,0.543734063243683
LREM,T12.numérique,0.550424561060355
LR,T12.numérique,0.402373513839199
PS,T12.numérique,0.502063017174771
PCF,T12.numérique,0.304879408219155
RN,T12.numérique,0.215438641541227
Agir,T12.numérique,0.51719932806163
FI,T12.numérique,0.42340394525939
DVG,T12.numérique,0.502220742238187
UDI,T12.numérique,0.49748737335478
MoDem,T13.armées,0.50491063708349
LREM,T13.armées,0.491747189553486
LR,T13.armées,0.510301147438133
PS,T13.armées,0.504149256963034
PCF,T13.armées,0.337970356766791
RN,T13.armées,0.522134264955572
Agir,T13.armées,0.426035207934211
FI,T13.armées,0.518106083139755
DVG,T13.armées,0.353190132143863
UDI,T13.armées,0.52950432178018
MoDem,T14.police,0.300663018178235
LREM,T14.police,0.394114952442196
LR,T14.police,0.516154456178139
PS,T14.police,0.29469872289372
PCF,T14.police,0.505818887444002
RN,T14.police,0.586665200902259
Agir,T14.police,0.384175073313783
FI,T14.police,0.525405287872738
DVG,T14.police,0.179907683556648
UDI,T14.police,0.510600222564403
MoDem,T15.réforme,0.435284915221757
LREM,T15.réforme,0.45783687724633
LR,T15.réforme,0.41079492032024
PS,T15.réforme,0.529669200255526
PCF,T15.réforme,0.530879448931985
RN,T15.réforme,0.311370793830585
Agir,T15.réforme,0.459157933774384
