"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","5.3193","5.7785","2.4008","2.1491","6.2492","2.7812","1.1394","3.3289","3.5027","3.1626","2.7099","5.1599","2.4755","4.4453","2.091","2.6958","5.0527","2.6762","3.9988","1.3254","2.1588","3.3475","2.6379","2.8404","4.2528","4.1411","1.2047","2.7775","4.2489","3.9484"
"1","politique","jai","femmes","leurope","cest","écologique","the","taxe","deuros","européenne","paris","numérique","armées","police","réforme","élèves","droite","santé","covid","débat","député","ville","députée","taux","députés","loi","données","produits","politique","macron"
"2","nest","cest","violences","européenne","faut","climatique","and","milliards","entreprises","pays","sport","développement","militaires","policiers","retraites","enfants","candidat","travail","crise","dasile","députée","paris","député","chômage","lassemblée","larticle","cookies","agriculteurs","république","ministre"
"3","cest","ans","hommes","européen","jai","transition","for","euros","millions","européen","culture","acteurs","militaire","lordre","retraite","jeunes","parti","salariés","coronavirus","migrants","maire","transports","lrem","trimestre","loi","code","site","lagriculture","devons","président"
"4","macron","quand","enfants","lunion","quil","climat","that","hausse","milliards","france","ville","projets","guerre","forces","système","lécole","macron","entreprises","confinement","grand","sénateur","logement","mme","plus","groupe","conseil","informations","agricole","quartiers","emmanuel"
"5","pouvoir","quil","victimes","européens","quon","énergétique","from","mesures","fonds","trump","jeux","mission","forces","violences","euros","scolaire","tour","soins","masques","limmigration","républicains","communes","rhône","baisse","commission","droit","contenu","glyphosate","cest","philippe"
"6","peuple","comme","pma","europe","faire","biodiversité","with","dachat","salariés","etatsunis","ans","travail","larmée","lintérieur","gouvernement","handicap","pen","personnes","sanitaire","pays","sénatrice","région","stéphane","selon","député","article","technologies","agricoles","tous","chef"
"7","bien","fait","légalité","européennes","nest","gaz","are","deuros","euros","royaumeuni","sciences","entreprises","soldats","selon","régime","léducation","gauche","médecins","santé","citoyens","république","habitants","bouchesdurhône","point","nationale","justice","contenus","animaux","doit","atil"
"8","démocratie","bien","femme","frontières","bien","émissions","this","baisse","finances","lunion","léquipe","formation","syrie","gilets","universel","parents","marche","professionnels","virus","comment","michel","logements","députés","moins","parlementaire","proposition","personnelles","plastique","pays","république"
"9","politiques","tout","droits","pays","beaucoup","carbone","more","gouvernement","fiscale","lallemagne","patrimoine","recherche","pays","samedi","grève","étudiants","politique","charge","lépidémie","plus","conseiller","maire","modem","personnes","texte","cour","pouvez","pesticides","plus","premier"
