K,url_core,gini,N_url
20,vice,0.339372369773533,48
20,facebook,0.188712615568104,1325
20,rnz,0.26213491902351,43
20,rene-springer,0.222856047451915,28
20,faz,0.198655041876455,2591
20,philosophia-perennis,0.459758174132445,238
20,berliner-zeitung,0.226003914938568,370
20,freitag,0.311991754604684,94
20,tichyseinblick,0.306169259518718,562
20,heise,0.328620579960316,244
20,bild,0.208602446917347,2569
20,spiegel,0.210868857314998,9755.99999999999
20,jungle,0.667435773387552,5
20,neues-deutschland,0.199820560978726,555
20,sueddeutsche,0.183457430537762,3500
20,dietz-verlag,0.851906445155612,1
20,oxiblog,0.400709262728552,5
20,welt,0.148224173175415,7517
20,katja-kipping,0.354881990416786,116
20,zdf,0.208331063691794,851
20,express,0.357775077248269,32
20,ulla-jelpke,0.412517426491448,595
20,rp-online,0.161199268487161,443
20,fr,0.184167398365692,391
20,lobbycontrol,0.4588453634037,21
20,shz,0.410426429862363,33
20,tagesspiegel,0.174699946826462,2882
20,gruene-bundestag,0.335729128460195,379
20,erwin-rueddel,0.602161384437698,5
20,jungefreiheit,0.265933018074909,1071
20,noz,0.247595877849567,139
20,dw,0.258961587318928,136
20,wn,0.31891088814915,21
20,handelsblatt,0.231563136539019,1565
20,n-tv,0.19643809997713,1416
20,achgut,0.358480457153709,81
20,falter,0.709014124960728,2
20,taz,0.215405548070847,1482
20,andreas-steier,0.382424745227882,18
20,fdp-lsa,0.488442286898301,10
20,auswaertiges-amt,0.452891573159376,264
20,netzpolitik,0.369482025215357,175
20,ipg-journal,0.599750534591803,28
20,goettinger-tageblatt,0.209328116739149,48
20,norn,1,1
20,andrej-hunko,0.442372893990576,92
20,thueringer-allgemeine,0.360710365200747,73
20,cornelia-moehring,0.520196906701858,4
20,spdfraktion,0.363255267205808,293
20,dewezet,0.729475309385467,2
20,fdpbt,0.476857823208837,381
20,focus,0.204337856696478,1762
20,deutschlandfunk,0.379548365840623,942
20,deutsche-apotheker-zeitung,0.459755540525435,7
20,drk,0.814865729331871,1
20,bundestag,0.435715256495536,1544
20,mz-web,0.408903438048391,76
20,manager-magazin,0.575731920345825,43
20,freiewelt,0.618135974343762,30
20,bz-berlin,0.326560410969118,382
20,martinarenner,0.70169614316349,15
20,morgenpost,0.247189335061235,552
20,merkur,0.259936006521972,303
20,lto,0.304950231602132,53
20,hubertus-zdebel,0.395269855970399,176
20,gfbv,0.894940346267784,1
20,freiepresse,0.515215615826112,807
20,liberale,0.26466539819873,73
20,derstandard,0.409657476331762,59
20,platznehmen,0.632558805144823,2
20,radioeins,0.698126584749078,10
20,alice-weidel,0.512656692511346,5
20,golem,0.410693285563962,23
20,derneuekaemmerer,0.694307515619426,2
20,stuttgarter-nachrichten,0.238715681181624,142
20,no-polizeigesetz-nrw,0.7625645775262,1
20,caren-lay,0.423914956249281,68
20,maz-online,0.186216020802046,99
20,deutschland-kurier,0.372385019573474,77
20,swr,0.263341710296351,74
20,o-ton-arbeitsmarkt,0.84801681209162,1
20,yahoo,0.999419054685461,12
20,compact-online,0.303702131704938,9
20,deutschlandfunkkultur,0.288655708894645,62
20,waz-online,0.502106155430768,6
20,cducsu,0.347771206520302,1105
20,theatlantic,0.967815673115303,4
20,netzwerkberlin,0.699916154673529,1
20,openpetition,0.386534193641086,130
20,kicker,0.401530656136266,9
20,bazonline,0.412533029226519,17
20,tag24,0.527260155795852,86
20,mallorcazeitung,0.583604596000923,2
20,lvz,0.207387500872946,155
20,tagesschau,0.224951290009794,2889
20,transportenvironment,1,1
20,anfdeutsch,0.608898075117314,32
20,grundeinkommen,0.537280541006244,5
20,europa,0.690899580390951,39
20,vorwaerts,0.337960170387081,65
20,stern,0.249544747832853,262
20,nordkurier,0.267767561619446,104
20,stuttgarter-zeitung,0.216723011386306,199
20,diether-dehm,0.446726494847727,64
20,indiskretionehrensache,0.703473036021916,5
20,nrz,0.484317230434452,11
20,bewegungslinke,0.88134886177527,5
20,superillu,0.46151642881513,19
20,afdbundestag,0.283888648077211,211
20,agnieszka-brugger,0.548738438568055,17
20,bruno-hollnagel,0.457680780895515,11
20,ostsee-zeitung,0.207802507524184,70
20,filiz-polat,0.390933935550882,42
20,ausgestrahlt,0.84237344902736,2
20,die-linke,0.326070483323913,47
20,boell,0.278662430202791,22
20,weser-kurier,0.227204942523214,108
20,suedkurier,0.440583195250583,17
20,krone,0.364823551698233,31
20,haz,0.277887153243611,218
20,bento,0.298469121696839,43
20,phoenix,0.347255881368913,47
20,wallstreet-online,0.286620817750648,40
20,linksfraktion,0.297503960696096,341
20,nachdenkseiten,0.433140304427525,19
20,verfassungsblog,0.409165174573693,54
20,nrwspd-landesgruppe,0.615061955731466,12
20,evangelisch,0.286132273396705,29
20,makronom,0.54563297207577,13
20,bund,0.468241363289821,11
