party_short,party_full,party_grouping
M5S,Movimento 5 Stelle,M5S
LN,Lega Nord,LN
FI,Forza Italia,FI
PD,Partito Democratico,PD
FdI,Fratelli d'Italia,FdI
IV,Italia Viva,IV
Indipendente,Indipendente,Misc
Cambiamo!,Cambiamo!,Misc
Art. 1,Articolo Uno,LeU
SV,Südtiroler Volkspartei,Misc
SI,Sinistra Italiana,LeU
RI,Radicali Italiani,Misc
AN,Alleanza Nazionale,Misc
CD,Centro Democratico,Misc
PP,Partito Pensionati,Misc
PDR-SF,Patto dei Democratici per le Riforme - Sicilia Futura,Misc
PATT,Partito Autonomista Trentino Tirolese,Misc
USEI,Unione Sudamericana Emigrati Italiani,Misc
PSI,Partito Socialista Italiano,Misc
Moderati,Moderati,Misc
PLI,Partito Liberale Italiano,Misc
Eco,Eco,Misc
ÉViva,ÉViva,Misc
PdL,Popolo della Libertà,Misc
MAIE,Movimento Associativo Italiani all'Estero,Misc
MA,Movimento Animalista,Misc
AR,Autonomia Responsabile,Misc
PlusEU,Plus Europa,Misc
GI,Verdi Europei Green Italia,Misc
PeC,Patria e Costituzione,Misc
