K,party_short,gini
20,IV,0.123964505796221
20,PD,0.10894453747774
20,M5S,0.170365704275399
20,FI,0.107961893142036
20,FdI,0.0878692762396117
20,LN,0.176481101104994
25,IV,0.124574513452889
25,PD,0.112894425871154
25,M5S,0.200187923677258
25,FI,0.114318873054942
25,FdI,0.118788192323407
25,LN,0.173163663924918
30,IV,0.156541875690413
30,PD,0.129797318868944
30,M5S,0.184643115826135
30,FI,0.120171080328541
30,FdI,0.131715947792736
30,LN,0.181855707417624
35,IV,0.149395727074442
35,PD,0.135332328926289
35,M5S,0.174240367464602
35,FI,0.130831795547089
35,FdI,0.133466587871022
35,LN,0.181100111601875
40,IV,0.134396954540671
40,PD,0.129682202758592
40,M5S,0.187156964515913
40,FI,0.12241137325267
40,FdI,0.134670125601315
40,LN,0.176681279644767
45,IV,0.135699050818619
45,PD,0.116798242103241
45,M5S,0.179789472012638
45,FI,0.126630145795371
45,FdI,0.129722779798091
45,LN,0.19093656018845
50,IV,0.144182033273826
50,PD,0.118604304967379
50,M5S,0.181452723056832
50,FI,0.118140921865833
50,FdI,0.134140476215232
50,LN,0.188277025576665
55,IV,0.1506790537838
55,PD,0.122159709147325
55,M5S,0.161269053771643
55,FI,0.13238025445257
55,FdI,0.156640538271567
55,LN,0.193703284931065
60,IV,0.144362457513386
60,PD,0.131915992782892
60,M5S,0.173783903302928
60,FI,0.124645241716893
60,FdI,0.155261322774673
60,LN,0.182108622443037
65,IV,0.133403891699572
65,PD,0.120358377426512
65,M5S,0.184980873563776
65,FI,0.13409219031282
65,FdI,0.152744557659952
65,LN,0.187728781371154
70,IV,0.137153647596564
70,PD,0.128218711430363
70,M5S,0.196686984618765
70,FI,0.127241639736537
70,FdI,0.13775655862631
70,LN,0.190885324531509
75,IV,0.153201155907378
75,PD,0.116642233672116
75,M5S,0.169964994479997
75,FI,0.110678159081122
75,FdI,0.150420425488712
75,LN,0.197484093084214
