stat,party_short,N,rel
seats,Misc.,43,0.0682539682539683
seats,FI,95,0.150793650793651
seats,FdI,33,0.0523809523809524
seats,IV,28,0.0444444444444444
seats,LN,124,0.196825396825397
seats,M5S,216,0.342857142857143
seats,PD,91,0.144444444444444
accounts,Misc.,32,0.0650406504065041
accounts,FI,79,0.160569105691057
accounts,FdI,25,0.0508130081300813
accounts,IV,26,0.0528455284552846
accounts,LN,83,0.16869918699187
accounts,M5S,170,0.345528455284553
accounts,PD,77,0.15650406504065
tweets,M5S,171469,0.263717723343161
tweets,LN,78024,0.120000184558881
tweets,FdI,37021,0.0569379528421299
tweets,FI,113215,0.174123614462649
tweets,Misc.,51399,0.0790511827917299
tweets,PD,139470,0.214503559679421
tweets,IV,59601,0.0916657823220276
URLs,M5S,91558,0.403855145339861
URLs,LN,28596,0.126134709540823
URLs,FdI,13298,0.0586564333289224
URLs,FI,28691,0.126553747077765
URLs,Misc.,14268,0.0629350271271669
URLs,PD,33034,0.145710378898152
URLs,IV,17265,0.0761545586873098
texts,IV,2842,0.126003103524717
texts,PD,3941,0.174728441587231
texts,M5S,9562,0.423941476391044
texts,FI,2550,0.113056971846597
texts,FdI,1206,0.0534692972733319
texts,LN,2454,0.108800709377078
