party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
50PLUS,0.926129141947859,0.713657141422392,0.588546320941659,77,0.557971014492754,107753
CDA,0.858840382458136,0.644130040221797,0.405091575312323,124,0.898550724637681,431639
CU,0.912501421525476,0.687043202287348,0.537590792197383,91,0.659420289855073,246465
D66,0.894854648376755,0.603230804586791,0.414626551488661,114,0.826086956521739,668987
DENK,0.914721751468972,0.717828708197249,0.60343937590472,69,0.5,68670
FvD,0.952356171512305,0.885321844265619,0.779189629916848,47,0.340579710144928,52461
GL,0.864495287165961,0.650292384238556,0.449802826811893,108,0.782608695652174,636662
PVV,0.919658344585169,0.732483257965222,0.536565963588213,108,0.782608695652174,552198
PvdA,0.871076015718822,0.628394725481509,0.445712574712541,108,0.782608695652174,415627
PvdD,0.905453351881086,0.661603330331225,0.518194207553094,86,0.623188405797102,249724
SGP,0.958578030863313,0.82665575260223,0.69737362832133,70,0.507246376811594,42282
SP,0.876557141590038,0.624604208568194,0.430502355984509,115,0.833333333333333,676022
VVD,0.849234174943161,0.69338881167235,0.434471946548029,121,0.876811594202899,368004
