party_short,topic,Score
D66,T1.dieren,0.465648944629356
GL,T1.dieren,0.465399050947127
VVD,T1.dieren,0.34001729906597
PvdA,T1.dieren,0.263275205633452
PVV,T1.dieren,0.313115376539263
SP,T1.dieren,0.404629346688547
CDA,T1.dieren,0.357926661202975
FvD,T1.dieren,0.307558427515272
CU,T1.dieren,0.252763434864843
PvdD,T1.dieren,0.684884627444263
DENK,T1.dieren,0.274215390193431
50PLUS,T1.dieren,0.214590831997365
SGP,T1.dieren,0.437359873946981
D66,T2.universiteit,0.545377415910937
GL,T2.universiteit,0.519595186054724
VVD,T2.universiteit,0.534862394200103
PvdA,T2.universiteit,0.425319802425623
PVV,T2.universiteit,0.35054804007675
SP,T2.universiteit,0.346426216680074
CDA,T2.universiteit,0.486343389070449
FvD,T2.universiteit,0.426617804583827
CU,T2.universiteit,0.500137845410909
PvdD,T2.universiteit,0.500070951189456
DENK,T2.universiteit,0.35070414854528
50PLUS,T2.universiteit,0.479377253440118
SGP,T2.universiteit,0.334094039218215
D66,T3.bedrijven,0.488977191664755
GL,T3.bedrijven,0.514557145505477
VVD,T3.bedrijven,0.50715861124602
PvdA,T3.bedrijven,0.568871333299264
PVV,T3.bedrijven,0.103900234900242
SP,T3.bedrijven,0.547335907358989
CDA,T3.bedrijven,0.510050669339282
FvD,T3.bedrijven,0.134968736772369
CU,T3.bedrijven,0.428396915203416
PvdD,T3.bedrijven,0.277985376026277
DENK,T3.bedrijven,0.282730866557062
50PLUS,T3.bedrijven,0.507476028617803
SGP,T3.bedrijven,0.262194639107034
D66,T4.antwoord,0.383986684478656
GL,T4.antwoord,0.270200606140192
VVD,T4.antwoord,0.513956564523337
PvdA,T4.antwoord,0.291295134372411
PVV,T4.antwoord,0.506725038998905
SP,T4.antwoord,0.330808623680416
CDA,T4.antwoord,0.525536281021816
FvD,T4.antwoord,0.277455295041207
CU,T4.antwoord,0.445364360425771
PvdD,T4.antwoord,0.576272363020505
DENK,T4.antwoord,0.357021623888505
50PLUS,T4.antwoord,0.498771383389957
SGP,T4.antwoord,0.504055620787967
D66,T5.amerikaanse,0.481457908916254
GL,T5.amerikaanse,0.230786740341943
VVD,T5.amerikaanse,0.505660878991869
PvdA,T5.amerikaanse,0.252645852967198
PVV,T5.amerikaanse,0.502846854392001
SP,T5.amerikaanse,0.522638214632642
CDA,T5.amerikaanse,0.320441999458301
FvD,T5.amerikaanse,0.370995350162564
CU,T5.amerikaanse,0.55399212578035
PvdD,T5.amerikaanse,0.218387228165623
DENK,T5.amerikaanse,0.527396490194851
50PLUS,T5.amerikaanse,0.205596467548433
SGP,T5.amerikaanse,0.535133778503648
D66,T6.onderwijs,0.521619505214759
GL,T6.onderwijs,0.516247589459079
VVD,T6.onderwijs,0.420198363365641
PvdA,T6.onderwijs,0.552269344516094
PVV,T6.onderwijs,0.510573499332444
SP,T6.onderwijs,0.366154685784443
CDA,T6.onderwijs,0.544023449187158
FvD,T6.onderwijs,0.0533660153631909
CU,T6.onderwijs,0.512420521012052
PvdD,T6.onderwijs,0.0902374199495
DENK,T6.onderwijs,0.183660378394167
50PLUS,T6.onderwijs,0.0747265117144221
SGP,T6.onderwijs,0.520665831696002
D66,T7.europese,0.512151859299223
GL,T7.europese,0.504792405997004
VVD,T7.europese,0.500931352506775
PvdA,T7.europese,0.321445027694533
PVV,T7.europese,0.297293780464723
SP,T7.europese,0.306259800728865
CDA,T7.europese,0.471762687223741
FvD,T7.europese,0.547061333908778
CU,T7.europese,0.38970975852773
PvdD,T7.europese,0.528882825993267
DENK,T7.europese,0.208294852867579
50PLUS,T7.europese,0.349941550316917
SGP,T7.europese,0.533510417846946
D66,T8.kinderen,0.512418493477777
GL,T8.kinderen,0.364178224880811
VVD,T8.kinderen,0.537989141692097
PvdA,T8.kinderen,0.287008597091512
PVV,T8.kinderen,0.522613837510242
SP,T8.kinderen,0.429062911656862
CDA,T8.kinderen,0.439613500919823
FvD,T8.kinderen,0.299115571010276
CU,T8.kinderen,0.549394730594469
PvdD,T8.kinderen,0.121228395633179
DENK,T8.kinderen,0.508696019212044
50PLUS,T8.kinderen,0.27187311970863
SGP,T8.kinderen,0.50642006052098
D66,T9.the,0.515438741659702
GL,T9.the,0.51397005113733
VVD,T9.the,0.390975586420867
PvdA,T9.the,0.330290274338261
PVV,T9.the,0.51915516223622
SP,T9.the,0.498846784051854
CDA,T9.the,0.519189746648493
FvD,T9.the,0.515118996508339
CU,T9.the,0.522915076127165
PvdD,T9.the,0.478111753147124
DENK,T9.the,0.43450901998036
50PLUS,T9.the,0.0644582323453408
SGP,T9.the,0.427567283591953
D66,T10.uur,0.508945011193097
GL,T10.uur,0.406177089590388
VVD,T10.uur,0.534585189692563
PvdA,T10.uur,0.49579165146637
PVV,T10.uur,0.509253444045466
SP,T10.uur,0.504641863193122
CDA,T10.uur,0.461161849716093
FvD,T10.uur,0.27915915247069
CU,T10.uur,0.396202911467875
PvdD,T10.uur,0.466366628525421
DENK,T10.uur,0.501500499610439
50PLUS,T10.uur,0.503372438795215
SGP,T10.uur,0.514250839374957
D66,T11.groningen,0.503033402551842
GL,T11.groningen,0.429689632254166
VVD,T11.groningen,0.521044028250052
PvdA,T11.groningen,0.545289751232482
PVV,T11.groningen,0.303449343989457
SP,T11.groningen,0.523539789519077
CDA,T11.groningen,0.531134559022336
FvD,T11.groningen,0.145280484157512
CU,T11.groningen,0.507997590717229
PvdD,T11.groningen,0.50267510949227
DENK,T11.groningen,0.117233275585566
50PLUS,T11.groningen,0.344102814167282
SGP,T11.groningen,0.408959449637275
D66,T12.partij,0.484634081934384
GL,T12.partij,0.434977285882595
VVD,T12.partij,0.32006301850711
PvdA,T12.partij,0.409088880422439
PVV,T12.partij,0.506986382829348
SP,T12.partij,0.360451572258838
CDA,T12.partij,0.507567925382124
FvD,T12.partij,0.552355059806434
CU,T12.partij,0.264650428893476
PvdD,T12.partij,0.297938315686042
DENK,T12.partij,0.542465610643592
50PLUS,T12.partij,0.505596456988719
SGP,T12.partij,0.433567752962312
D66,T13.mensen,0.467382562429263
GL,T13.mensen,0.449300550775238
VVD,T13.mensen,0.475452050082794
PvdA,T13.mensen,0.503747055817875
PVV,T13.mensen,0.308323220912489
SP,T13.mensen,0.492131705490261
CDA,T13.mensen,0.508173682042445
FvD,T13.mensen,0.509404604376926
CU,T13.mensen,0.538904369239099
PvdD,T13.mensen,0.348151809946631
DENK,T13.mensen,0.505987256152591
50PLUS,T13.mensen,0.508273939449192
SGP,T13.mensen,0.49087630834765
D66,T14.coronavirus,0.399279094163623
GL,T14.coronavirus,0.504232971763671
VVD,T14.coronavirus,0.332163584740249
PvdA,T14.coronavirus,0.4558473896784
PVV,T14.coronavirus,0.475420075780313
SP,T14.coronavirus,0.529058996552079
CDA,T14.coronavirus,0.380332469022916
FvD,T14.coronavirus,0.570795574966741
CU,T14.coronavirus,0.342224878235602
PvdD,T14.coronavirus,0.486288035028951
DENK,T14.coronavirus,0.175090460136895
50PLUS,T14.coronavirus,0.520043790995588
SGP,T14.coronavirus,0.339646667598026
D66,T15.woningen,0.384860452528851
GL,T15.woningen,0.508938088300896
VVD,T15.woningen,0.546641670422603
PvdA,T15.woningen,0.606300073863265
PVV,T15.woningen,0.426470651011555
SP,T15.woningen,0.492982944734214
CDA,T15.woningen,0.531742686456411
FvD,T15.woningen,0.129908823966926
CU,T15.woningen,0.432679659429476
PvdD,T15.woningen,0.123915020582886
DENK,T15.woningen,0.128302460693402
50PLUS,T15.woningen,0.274042959579469
SGP,T15.woningen,0.0897442799119562
D66,T16.heel,0.469119331248925
GL,T16.heel,0.459291520049847
VVD,T16.heel,0.503504089554087
PvdA,T16.heel,0.505411830769051
PVV,T16.heel,0.503888686130246
SP,T16.heel,0.44368913075042
CDA,T16.heel,0.494601866055215
FvD,T16.heel,0.507129179292948
CU,T16.heel,0.504390829039925
PvdD,T16.heel,0.378906733417354
DENK,T16.heel,0.507449169982426
50PLUS,T16.heel,0.520876521982026
SGP,T16.heel,0.505379802363002
D66,T17.schiphol,0.530006570282598
GL,T17.schiphol,0.549208433305147
VVD,T17.schiphol,0.273080933918803
PvdA,T17.schiphol,0.184505329173459
PVV,T17.schiphol,0.0982986320828829
SP,T17.schiphol,0.514327241177998
CDA,T17.schiphol,0.201085177859674
FvD,T17.schiphol,0.11042083178789
CU,T17.schiphol,0.515317174269578
PvdD,T17.schiphol,0.633771485501607
DENK,T17.schiphol,0.0835350843872194
50PLUS,T17.schiphol,0.239800230294886
SGP,T17.schiphol,0.155072021515109
D66,T18.the,0.43261147670884
GL,T18.the,0.614057558514622
VVD,T18.the,0.213337015811772
PvdA,T18.the,0.198117002973098
PVV,T18.the,0.506176278322458
SP,T18.the,0.239792943586812
CDA,T18.the,0.227713805282718
FvD,T18.the,0.579215418536147
CU,T18.the,0.247987831254068
PvdD,T18.the,0.531346011778623
DENK,T18.the,0.233907484292164
50PLUS,T18.the,0.12389244913252
SGP,T18.the,0.0823015179839654
D66,T19.politie,0.395731182050684
GL,T19.politie,0.249437948415869
VVD,T19.politie,0.51333099534114
PvdA,T19.politie,0.408454386543824
PVV,T19.politie,0.571772678909911
SP,T19.politie,0.232119649881552
CDA,T19.politie,0.383237642469554
FvD,T19.politie,0.242224083518574
CU,T19.politie,0.429559669911663
PvdD,T19.politie,0.287834275048429
DENK,T19.politie,0.54105063878861
50PLUS,T19.politie,0.50365197760411
SGP,T19.politie,0.514147644906987
D66,T20.wet,0.528902064629888
GL,T20.wet,0.484489122407707
VVD,T20.wet,0.504754966201982
PvdA,T20.wet,0.439104939259627
PVV,T20.wet,0.37993153984885
SP,T20.wet,0.50670626256801
CDA,T20.wet,0.500609078272223
FvD,T20.wet,0.401667713586037
CU,T20.wet,0.378452403161694
PvdD,T20.wet,0.502173134498622
DENK,T20.wet,0.518001411298556
50PLUS,T20.wet,0.381576398657315
SGP,T20.wet,0.518451381229086
D66,T21.procent,0.502473250662518
GL,T21.procent,0.502263080455744
VVD,T21.procent,0.548101719493282
PvdA,T21.procent,0.513462218544239
PVV,T21.procent,0.372597797621332
SP,T21.procent,0.506777919495484
CDA,T21.procent,0.411747901021129
FvD,T21.procent,0.332901890747295
CU,T21.procent,0.389566483616199
PvdD,T21.procent,0.343244542206003
DENK,T21.procent,0.368182677346672
50PLUS,T21.procent,0.516135806371073
SGP,T21.procent,0.509382828626997
D66,T22.euro,0.273689103192649
GL,T22.euro,0.435918248594612
VVD,T22.euro,0.381682141225278
PvdA,T22.euro,0.532344962867246
PVV,T22.euro,0.158338323626431
SP,T22.euro,0.544927704458672
CDA,T22.euro,0.31115945233708
FvD,T22.euro,0.112033350669181
CU,T22.euro,0.49241155528345
PvdD,T22.euro,0.108528649117383
DENK,T22.euro,0.147627199977062
50PLUS,T22.euro,0.622153741357408
SGP,T22.euro,0.486068663093633
D66,T23.boeren,0.505294853204161
GL,T23.boeren,0.481626050811857
VVD,T23.boeren,0.50256740408916
PvdA,T23.boeren,0.0916880515038006
PVV,T23.boeren,0.544516402392656
SP,T23.boeren,0.279810250996725
CDA,T23.boeren,0.509042942652969
FvD,T23.boeren,0.376461703762756
CU,T23.boeren,0.487559473759271
PvdD,T23.boeren,0.557656526423889
DENK,T23.boeren,0.23677681579201
50PLUS,T23.boeren,0.384076505132692
SGP,T23.boeren,0.508768113409541
D66,T24.energie,0.55055188999992
GL,T24.energie,0.554663019293555
VVD,T24.energie,0.320152797528225
PvdA,T24.energie,0.400224772136046
PVV,T24.energie,0.259515981819189
SP,T24.energie,0.300433453854071
CDA,T24.energie,0.24847095650333
FvD,T24.energie,0.423928984259415
CU,T24.energie,0.515233654901012
PvdD,T24.energie,0.555408318075954
DENK,T24.energie,0.101400381991905
50PLUS,T24.energie,0.134949070742108
SGP,T24.energie,0.501906471665383
D66,T25.wilders,0.349199113836132
GL,T25.wilders,0.236688354771261
VVD,T25.wilders,0.289478119187749
PvdA,T25.wilders,0.254736296075249
PVV,T25.wilders,0.700051013905744
SP,T25.wilders,0.327861842958131
CDA,T25.wilders,0.309618608309629
FvD,T25.wilders,0.488708939571405
CU,T25.wilders,0.24193956629144
PvdD,T25.wilders,0.280950460816485
DENK,T25.wilders,0.26073333133846
50PLUS,T25.wilders,0.319694556874663
SGP,T25.wilders,0.503055971476518
D66,T26.kamer,0.506321499363941
GL,T26.kamer,0.44915503726046
VVD,T26.kamer,0.500037488446907
PvdA,T26.kamer,0.507680838454677
PVV,T26.kamer,0.369677348453652
SP,T26.kamer,0.448321670866783
CDA,T26.kamer,0.517903822250322
FvD,T26.kamer,0.347726969198852
CU,T26.kamer,0.485721607049403
PvdD,T26.kamer,0.351663321239554
DENK,T26.kamer,0.513528398348749
50PLUS,T26.kamer,0.526175848424842
SGP,T26.kamer,0.50894703132066
D66,T27.belastingdienst,0.19675474766069
GL,T27.belastingdienst,0.274351151374681
VVD,T27.belastingdienst,0.511008014993909
PvdA,T27.belastingdienst,0.259347375192732
PVV,T27.belastingdienst,0.317404689821145
SP,T27.belastingdienst,0.522092184006497
CDA,T27.belastingdienst,0.587204919612592
FvD,T27.belastingdienst,0.325700207865339
CU,T27.belastingdienst,0.32218479308594
PvdD,T27.belastingdienst,0.0928299493430312
DENK,T27.belastingdienst,0.54749464086587
50PLUS,T27.belastingdienst,0.501788017724904
SGP,T27.belastingdienst,0.500521998615955
D66,T28.vrouwen,0.359864192821221
GL,T28.vrouwen,0.269846514014666
VVD,T28.vrouwen,0.321712776015409
PvdA,T28.vrouwen,0.358882643868734
PVV,T28.vrouwen,0.524545516888042
SP,T28.vrouwen,0.195637560698524
CDA,T28.vrouwen,0.251789535912294
FvD,T28.vrouwen,0.565533139608713
CU,T28.vrouwen,0.410555431263231
PvdD,T28.vrouwen,0.230578716202757
DENK,T28.vrouwen,0.580480896753179
50PLUS,T28.vrouwen,0.299244836116821
SGP,T28.vrouwen,0.506508738525939
D66,T29.zorg,0.406246819533115
GL,T29.zorg,0.523619665024334
VVD,T29.zorg,0.380680780986005
PvdA,T29.zorg,0.508429699207119
PVV,T29.zorg,0.315824400962147
SP,T29.zorg,0.581776294313435
CDA,T29.zorg,0.522365133943319
FvD,T29.zorg,0.0405217703073613
CU,T29.zorg,0.48139308549346
PvdD,T29.zorg,0.0888285765729431
DENK,T29.zorg,0.169651040823471
50PLUS,T29.zorg,0.52770989461543
SGP,T29.zorg,0.486144592974221
D66,T30.cookies,0.504027340096851
GL,T30.cookies,0.527068112835671
VVD,T30.cookies,0.42944842594875
PvdA,T30.cookies,0.44886282522609
PVV,T30.cookies,0.446095894842672
SP,T30.cookies,0.507618271016648
CDA,T30.cookies,0.510342897322522
FvD,T30.cookies,0.34543171084353
CU,T30.cookies,0.520404971140295
PvdD,T30.cookies,0.467850808669935
DENK,T30.cookies,0.505436288511607
50PLUS,T30.cookies,0.478891226937294
SGP,T30.cookies,0.409746655525012
