"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"Proportion (%)","2.1573","2.3144","3.6957","4.0721","3.4394","3.3102","3.1157","2.2025","3.2226","2.7628","2.2401","3.7982","7.276","3.4693","2.9112","6.4409","2.044","3.8939","2.9353","4.4037","3.2162","3.7768","2.0834","3.4715","1.9212","4.6326","1.2801","4.8466","3.8206","1.2457"
"1","dieren","universiteit","bedrijven","antwoord","amerikaanse","onderwijs","europese","kinderen","the","uur","groningen","partij","mensen","coronavirus","woningen","heel","schiphol","the","politie","wet","procent","euro","boeren","energie","wilders","kamer","belastingdienst","vrouwen","zorg","cookies"
"2","nvwa","china","werknemers","vraag","trump","scholen","europa","nederland","and","gemeente","nam","rutte","onze","patiënten","gemeenten","kinderen","luchtvaart","and","geweld","onderzoek","jaar","miljard","natuur","kabinet","ministerie","minister","ouders","vrijheid","gemeenten","media"
"3","beiroet","nederlandse","bedrijf","nee","president","school","landen","asielzoekers","that","den","provincie","vvd","wij","virus","woning","leven","lelystad","that","man","rapport","aantal","geld","tpo","uitstoot","zaak","tweede","toeslagen","islam","zorgverzekeraars","derden"
"4","varkens","nederland","werkgevers","waarom","turkije","leerlingen","nederland","vluchtelingen","for","amsterdam","wiebes","pvda","moeten","ziekenhuis","huurders","weet","klm","for","justitie","commissie","cijfers","kabinet","landbouw","duurzame","minister","motie","omtzigt","moslims","mensen","dpg"
"5","loods","wereld","euro","kamer","buitenlandse","kinderen","commissie","turkse","said","stad","regio","partijen","goed","ziekenhuizen","wonen","leest","vluchten","are","agenten","ministerie","minder","mensen","abonnement","bedrijven","opstelten","cda","staatssecretaris","mannen","hulp","informatie"
"6","geïnspecteerd","chinese","werk","vragen","iran","studenten","europees","migranten","with","burgemeester","gaswinning","cda","wel","mensen","sociale","echt","airport","this","aangifte","gegevens","duizend","betalen","per","klimaatakkoord","justitie","kamerlid","und","onze","geld","advertenties"
"7","opblazen","digitale","ondernemers","welke","syrië","ouders","unie","landen","has","piet","miljoen","pvv","heel","zorg","huur","vader","groei","climate","slachtoffers","informatie","vrouwen","inkomen","voedsel","klimaat","hof","vvd","kinderopvangtoeslag","racisme","ouderen","persoonsgegevens"
"8","coronanieuws","bedrijven","betalen","bent","nederlandse","leraren","hoekstra","turkije","not","haag","minister","verkiezingen","samenleving","corona","euro","even","luchthaven","more","veiligheid","raad","gemiddeld","minimumloon","water","klimaatverandering","rechter","debat","kinderopvang","nederland","jeugdzorg","sites"
"9","persbureau","hoogleraar","uwv","kunt","nederland","slob","boeren","nederlandse","from","zwarte","schade","wilders","waar","rivm","huis","moeder","vliegen","from","onderzoek","inspectie","onderzoek","pensioen","euro","industrie","rechtbank","kabinet","werden","media","euro","sanoma"
