K,party_short,gini
20,GRÜNE,0.0878592512612873
20,SPÖ,0.141340560180217
20,NEOS,0.16627528271045
20,FPÖ,0.17463243526775
20,ÖVP,0.243424914964631
25,GRÜNE,0.07442108814102
25,SPÖ,0.166850920561915
25,NEOS,0.159233118104591
25,FPÖ,0.197045662401126
25,ÖVP,0.235995345137895
30,GRÜNE,0.103041114209179
30,SPÖ,0.184595076177525
30,NEOS,0.150184694607636
30,FPÖ,0.198178633895546
30,ÖVP,0.27685918556324
35,GRÜNE,0.1165310362951
35,SPÖ,0.182911547124479
35,NEOS,0.137138399028866
35,FPÖ,0.201712881747351
35,ÖVP,0.27006899529577
40,GRÜNE,0.111975294711184
40,SPÖ,0.178368968387193
40,NEOS,0.153278979587745
40,FPÖ,0.195476592797775
40,ÖVP,0.305450488617618
45,GRÜNE,0.111652126911598
45,SPÖ,0.165705180063853
45,NEOS,0.154754969232853
45,FPÖ,0.201545058531406
45,ÖVP,0.309552770179865
50,GRÜNE,0.135974999124725
50,SPÖ,0.16056764887222
50,NEOS,0.154674506083766
50,FPÖ,0.178764925598602
50,ÖVP,0.28955416762084
55,GRÜNE,0.139156541323447
55,SPÖ,0.197832492802961
55,NEOS,0.16659136666726
55,FPÖ,0.207652745256479
55,ÖVP,0.307858869657927
60,GRÜNE,0.150452303728558
60,SPÖ,0.182348335997898
60,NEOS,0.168026714758579
60,FPÖ,0.21869492700467
60,ÖVP,0.332343488228601
65,GRÜNE,0.146561290898924
65,SPÖ,0.194375456747723
65,NEOS,0.167504651160427
65,FPÖ,0.216720601511374
65,ÖVP,0.312618489599157
70,GRÜNE,0.158709952054494
70,SPÖ,0.198864175930332
70,NEOS,0.174535286817691
70,FPÖ,0.224628054261096
70,ÖVP,0.315834317869143
75,GRÜNE,0.157397408369129
75,SPÖ,0.186611839042404
75,NEOS,0.168425024812042
75,FPÖ,0.207256684143394
75,ÖVP,0.325710976515844
