K,party_short,gini
20,GLP,0.126831896296409
20,FDP,0.114339581545738
20,SP,0.0914524917907436
20,SVP,0.178637152820579
20,GPS,0.121130387532349
20,CVP,0.0665266361608122
20,BDP,0.196523612129193
20,EVP,0.355799156897569
25,GLP,0.133101817271398
25,FDP,0.142469878346521
25,SP,0.073674911313188
25,SVP,0.193571291036419
25,GPS,0.138189066653491
25,CVP,0.0787994683300328
25,BDP,0.188036522890254
25,EVP,0.406746440433411
30,GLP,0.134915887300426
30,FDP,0.134962987286585
30,SP,0.0704025620771553
30,SVP,0.204249833670931
30,GPS,0.15034224894111
30,CVP,0.0709249549145356
30,BDP,0.176468585555167
30,EVP,0.391453455677894
35,GLP,0.129306154444833
35,FDP,0.133388111321346
35,SP,0.0922777605482605
35,SVP,0.186629928284652
35,GPS,0.153058957500104
35,CVP,0.0759842518927495
35,BDP,0.212553623848733
35,EVP,0.391132264772463
40,GLP,0.12637659444063
40,FDP,0.151588124123899
40,SP,0.0897796341170279
40,SVP,0.211837073668412
40,GPS,0.171259234875304
40,CVP,0.0853002890741284
40,BDP,0.192462474911235
40,EVP,0.403116760053438
45,GLP,0.154825956351753
45,FDP,0.158727499172573
45,SP,0.0890586224739477
45,SVP,0.200414745230399
45,GPS,0.143385219066579
45,CVP,0.107841361952988
45,BDP,0.20036016109802
45,EVP,0.389817757221015
50,GLP,0.140283723060669
50,FDP,0.15944589337361
50,SP,0.104548444494912
50,SVP,0.222623732321559
50,GPS,0.157154647932809
50,CVP,0.0967463295058286
50,BDP,0.213085448313557
50,EVP,0.334700461847314
55,GLP,0.157605317502885
55,FDP,0.152143172349052
55,SP,0.104638589137288
55,SVP,0.204582354280534
55,GPS,0.154522942028525
55,CVP,0.0983635903285593
55,BDP,0.213275381540861
55,EVP,0.408244085526866
60,GLP,0.161101519786026
60,FDP,0.179662924216326
60,SP,0.108652464736244
60,SVP,0.206798604952441
60,GPS,0.154237469357213
60,CVP,0.113974790353121
60,BDP,0.213545636914191
60,EVP,0.372020324844211
65,GLP,0.154405742616676
65,FDP,0.172443513749777
65,SP,0.0860842748167949
65,SVP,0.210034836880733
65,GPS,0.151940708928718
65,CVP,0.118119025929865
65,BDP,0.218002645932877
65,EVP,0.374979550099199
70,GLP,0.140874687289487
70,FDP,0.180774465531887
70,SP,0.106006806606389
70,SVP,0.212552989232415
70,GPS,0.171098280635273
70,CVP,0.111796874334047
70,BDP,0.216024961267633
70,EVP,0.362031141746244
75,GLP,0.146063881037049
75,FDP,0.184742617549083
75,SP,0.114331710115199
75,SVP,0.201084902682156
75,GPS,0.151115651004617
75,CVP,0.110340631866039
75,BDP,0.223333124802291
75,EVP,0.39991992508007
