url_core,party_short,N_url,N,rel_party,rel_core,rel_core_centered
blick,Misc.,2181,32,0.00711743772241993,0.0216845295367835,0.0975803829155256
blick,BDP,2181,167,0.0795238095238095,0.242283313707771,0.573784363960621
blick,EVP,2181,12,0.0331491712707182,0.10099479778734,0.454476590043028
blick,GLP,2181,164,0.0204132437142146,0.0621925478698736,0.279866465414431
blick,CVP,2181,337,0.0372375690607735,0.113450822847778,0.501316087851875
blick,GPS,2181,209,0.0227173913043478,0.0692125399546606,0.311456429795973
blick,FDP,2181,237,0.0409397132492659,0.124730058175952,0.507660657723973
blick,SP,2181,539,0.0320718790908009,0.0977126371269691,0.439706867071361
blick,SVP,2181,484,0.0550563075873052,0.167738752992873,0.531853048558491
tdg,Misc.,111,2,0.000444839857651246,0.0314604864757617,0.141572189140928
tdg,BDP,111,9,0.00428571428571429,0.30309931541791,0.607993364922574
tdg,EVP,111,0,0,0,0
tdg,GLP,111,4,0.000497883993029624,0.0352119360704567,0.158453712317055
tdg,CVP,111,1,0.000110497237569061,0.00781471531464225,0.0351662189158901
tdg,GPS,111,17,0.00184782608695652,0.130684125125838,0.511009820383284
tdg,FDP,111,7,0.00120918984280532,0.0855177431650693,0.384829844242812
tdg,SP,111,43,0.00255861002023087,0.180953020629122,0.539286074103881
tdg,SVP,111,28,0.00318507564554658,0.2252586578012,0.564207995013175
lesobservateurs,Misc.,39,8,0.00177935943060498,0.332508985338911,0.624536304253137
lesobservateurs,BDP,39,0,0,0,0
lesobservateurs,EVP,39,0,0,0,0
lesobservateurs,GLP,39,0,0,0,0
lesobservateurs,CVP,39,1,0.000110497237569061,0.0206486242829246,0.0929188092731608
lesobservateurs,GPS,39,2,0.000217391304347826,0.0406239238609713,0.182807657374371
lesobservateurs,FDP,39,1,0.000172741406115046,0.0322801951564118,0.145260878203853
lesobservateurs,SP,39,0,0,0,0
lesobservateurs,SVP,39,27,0.00307132294391992,0.573938271360782,0.76034027764044
20min,Misc.,938,6,0.00133451957295374,0.0106938903526425,0.0481225065868913
20min,BDP,938,27,0.0128571428571429,0.103027995054602,0.463625977745707
20min,EVP,938,4,0.0110497237569061,0.088544624356318,0.398450809603431
20min,GLP,938,84,0.0104555638536221,0.0837834496336482,0.377025523351417
20min,CVP,938,86,0.00950276243093923,0.0761483769464335,0.342667696258951
20min,GPS,938,120,0.0130434782608696,0.104521154403219,0.470345194814485
20min,FDP,938,98,0.0169286577992745,0.135654218935254,0.51380549815108
20min,SP,938,161,0.00957991193621326,0.0767665981901542,0.345449691855694
