party_short,topic,Score
GLP,T1.prozent,0.566054333638179
FDP,T1.prozent,0.366973619525305
SP,T1.prozent,0.364303153808435
SVP,T1.prozent,0.410098229979291
GPS,T1.prozent,0.619186843097522
CVP,T1.prozent,0.50266468313418
BDP,T1.prozent,0.33245885500226
EVP,T1.prozent,0.0229192627256701
GLP,T2.klimaschutz,0.587264027485412
FDP,T2.klimaschutz,0.507526615367994
SP,T2.klimaschutz,0.427573280073945
SVP,T2.klimaschutz,0.316168733998563
GPS,T2.klimaschutz,0.576645290356435
CVP,T2.klimaschutz,0.376223573312336
BDP,T2.klimaschutz,0.388052618521412
EVP,T2.klimaschutz,0.120494328415019
GLP,T3.daten,0.567754361217299
FDP,T3.daten,0.513232239773068
SP,T3.daten,0.508084670953974
SVP,T3.daten,0.487585618701819
GPS,T3.daten,0.564644649077601
CVP,T3.daten,0.394949249943342
BDP,T3.daten,0.368549399041678
EVP,T3.daten,0.0191883641376299
GLP,T4.redaktionssystem,0.535024858736593
FDP,T4.redaktionssystem,0.501320781568627
SP,T4.redaktionssystem,0.512695373514134
SVP,T4.redaktionssystem,0.516961062016423
GPS,T4.redaktionssystem,0.430183889223125
CVP,T4.redaktionssystem,0.394672583050493
BDP,T4.redaktionssystem,0.55298754125526
EVP,T4.redaktionssystem,0.223226590998085
GLP,T5.prozent,0.503232887801145
FDP,T5.prozent,0.325646470475385
SP,T5.prozent,0.283405254936857
SVP,T5.prozent,0.180391310239621
GPS,T5.prozent,0.413002818733671
CVP,T5.prozent,0.427147790978982
BDP,T5.prozent,0.539376156493911
EVP,T5.prozent,0.628691750034379
GLP,T6.bundesrat,0.50346239619929
FDP,T6.bundesrat,0.239895570147724
SP,T6.bundesrat,0.515525765201199
SVP,T6.bundesrat,0.261249293405854
GPS,T6.bundesrat,0.449154332464221
CVP,T6.bundesrat,0.318394547718935
BDP,T6.bundesrat,0.562246097794469
EVP,T6.bundesrat,0.57267902283795
GLP,T7.initiative,0.390253545954926
FDP,T7.initiative,0.503088941827472
SP,T7.initiative,0.591914993093389
SVP,T7.initiative,0.550932882476442
GPS,T7.initiative,0.507039179695956
CVP,T7.initiative,0.449250829701278
BDP,T7.initiative,0.302360060485813
EVP,T7.initiative,0.134327587111914
GLP,T8.the,0.536999613057969
FDP,T8.the,0.218012745652694
SP,T8.the,0.514288213619565
SVP,T8.the,0.624423405263418
GPS,T8.the,0.535505084929392
CVP,T8.the,0.50721198308996
BDP,T8.the,0.00756272599153744
EVP,T8.the,0.026998128673336
GLP,T9.bundesrat,0.511293285315877
FDP,T9.bundesrat,0.555365558232397
SP,T9.bundesrat,0.446410521868586
SVP,T9.bundesrat,0.339443742220006
GPS,T9.bundesrat,0.408022530343535
CVP,T9.bundesrat,0.514017326178898
BDP,T9.bundesrat,0.50473600573427
EVP,T9.bundesrat,0.515353225234541
GLP,T10.les,0.191220487210842
FDP,T10.les,0.540204889511797
SP,T10.les,0.566827569642888
SVP,T10.les,0.518631164163595
GPS,T10.les,0.577518278071034
CVP,T10.les,0.382868447928032
BDP,T10.les,0.300455853746621
EVP,T10.les,0
GLP,T11.schweiz,0.512072871751031
FDP,T11.schweiz,0.544428946862594
SP,T11.schweiz,0.518214371373998
SVP,T11.schweiz,0.55778233627748
GPS,T11.schweiz,0.267133444212741
CVP,T11.schweiz,0.505057509319658
BDP,T11.schweiz,0.502070594367919
EVP,T11.schweiz,0.115853516165814
GLP,T12.koeppel,0.291155272596598
FDP,T12.koeppel,0.531878379708928
SP,T12.koeppel,0.503449157275523
SVP,T12.koeppel,0.524752277290389
GPS,T12.koeppel,0.420430913291112
CVP,T12.koeppel,0.530666186898819
BDP,T12.koeppel,0.369200048615361
EVP,T12.koeppel,0.524155719513457
GLP,T13.sozialhilfe,0.182274973259575
FDP,T13.sozialhilfe,0.245046261480845
SP,T13.sozialhilfe,0.509331517571944
SVP,T13.sozialhilfe,0.639986427198826
GPS,T13.sozialhilfe,0.206881645059725
CVP,T13.sozialhilfe,0.474386988502203
BDP,T13.sozialhilfe,0.404846177387595
EVP,T13.sozialhilfe,0.536502549517988
GLP,T14.partei,0.531326489851868
FDP,T14.partei,0.504421533339769
SP,T14.partei,0.334588740482414
SVP,T14.partei,0.179797126495069
GPS,T14.partei,0.301380887057791
CVP,T14.partei,0.504265893859376
BDP,T14.partei,0.427605267824967
EVP,T14.partei,0.617064580216458
GLP,T15.srg,0.395221652331337
FDP,T15.srg,0.542523545070372
SP,T15.srg,0.605061713872765
SVP,T15.srg,0.2313357729317
GPS,T15.srg,0.257279626800449
CVP,T15.srg,0.502974924285573
BDP,T15.srg,0.459278644577943
EVP,T15.srg,0.452402837528896
GLP,T16.politik,0.500953150668981
FDP,T16.politik,0.517442494809748
SP,T16.politik,0.503919655925374
SVP,T16.politik,0.428885578165743
GPS,T16.politik,0.3556250856816
CVP,T16.politik,0.420064191261639
BDP,T16.politik,0.57625537804738
EVP,T16.politik,0.500857463659895
GLP,T17.deutschland,0.398448649493999
FDP,T17.deutschland,0.208773324604307
SP,T17.deutschland,0.511387110724193
SVP,T17.deutschland,0.609044333838364
GPS,T17.deutschland,0.501909131715477
CVP,T17.deutschland,0.510889847405173
BDP,T17.deutschland,0.318630807651705
EVP,T17.deutschland,0.501037978598041
GLP,T18.ahv,0.535209546920016
FDP,T18.ahv,0.56618259023735
SP,T18.ahv,0.533388396614745
SVP,T18.ahv,0.187120772513445
GPS,T18.ahv,0.156004779188395
CVP,T18.ahv,0.521310455086241
BDP,T18.ahv,0.544653941044873
EVP,T18.ahv,0.0509150090723575
GLP,T19.franken,0.510008467810121
FDP,T19.franken,0.511929347775672
SP,T19.franken,0.564452981976106
SVP,T19.franken,0.514051648284714
GPS,T19.franken,0.513717706678889
CVP,T19.franken,0.526753301412383
BDP,T19.franken,0.258800736991309
EVP,T19.franken,0.113891631505612
GLP,T20.initiative,0.513593263641491
FDP,T20.initiative,0.539856734031178
SP,T20.initiative,0.485544692878886
SVP,T20.initiative,0.506465554209574
GPS,T20.initiative,0.500705608211255
CVP,T20.initiative,0.360344507981018
BDP,T20.initiative,0.527956632975351
EVP,T20.initiative,0.4454884545893
GLP,T21.sei,0.340471227126647
FDP,T21.sei,0.398216150516684
SP,T21.sei,0.505036215969802
SVP,T21.sei,0.587329135820999
