K,url_core,gini,N_url
20,information,0.225196838792214,402
20,dr,0.127720989868085,1800
20,berlingske,0.167832429458815,1271
20,amtsavisen,0.488705517237181,5
20,politiken,0.229602248364585,1182
20,mfvm,0.581468177461013,29
20,jyllands-posten,0.135251698141908,1016
20,finans,0.281294886057236,96
20,danskfolkeparti,0.398201037268862,67
20,ekstrabladet,0.204293695762536,364
20,tv2,0.130011785931823,888
20,altinget,0.194348068191353,520
20,fyens,0.274681832575065,108
20,facebook,0.301247084438173,49
20,um,0.467413669782148,26
20,fuglede,0.559668127737579,2
20,borsen,0.354308495778225,57
20,piopio,0.245538299360264,41
20,tvmidtvest,0.326216974662967,42
20,avisen,0.277323750141676,153
20,regeringen,0.281967070289933,31
20,arbejderen,0.425571383452389,8
20,jv,0.22193502019042,126
20,dagbladet-holstebro-struer,0.548830633841128,5
20,stiften,0.312023538281671,33
20,kristeligt-dagblad,0.277694606560755,67
20,viborg-folkeblad,0.516782372163234,9
20,sn,0.279183145989614,29
20,fagbladet3f,0.319412800543319,45
20,ritzau,0.242326568649175,28
20,bt,0.184861719316329,322
20,ae,0.643164750595652,13
20,folkeskolen,0.439497504010066,57
20,middleeastmonitor,1,1
20,landbrugsavisen,0.521390276451216,17
20,raeson,0.39968510803914,24
20,radikale,0.489771273213382,20
20,tv2ostjylland,0.412082587550389,27
20,ing,0.365809349858007,32
20,ditoverblik,0.294434231269146,233
20,nb-okonomi,0.619424072494236,10
20,tv2lorry,0.281432305222277,27
20,nytimes,1,5
20,gymnasieskolen,0.729168271513905,5
20,vafo,0.669556035104441,2
20,tv2east,0.447755351702638,8
20,vive,0.784093276086603,4
20,ft,0.297707643668362,42
20,policywatch,0.513325368337351,12
20,svt,0.7504408353345,6
20,reuters,0.960777589043854,2
20,gaffa,0.790566588071862,1
20,brs,0.724447303125227,2
20,danwatch,0.556134193055694,6
20,sermitsiaq,0.467417591063736,14
20,danskindustri,0.684607655632432,2
20,chicagotribune,1,1
20,dst,0.666580319796481,17
20,bm,0.748873322361072,5
20,tv2nord,0.28269593422711,21
20,wsj,1,1
20,fdm,0.848279016211705,1
20,politico,1,2
20,skm,0.588290624170213,5
20,bbc,0.999132472398248,7
20,denkorteavis,0.427982050200286,26
20,itwatch,0.656775609319935,2
20,theguardian,0.988723790065293,47
20,energy-supply,0.768897985461177,1
20,mm,0.389362642861487,19
20,okologi,0.716908042645842,7
20,skoleliv,0.568336026398403,19
20,journalisten,0.729205503463124,5
20,cnbc,1,1
20,energiwatch,0.637282626205688,7
20,danskenergi,0.662746121408842,2
