url_core,gini_centered,max_party,rel_party,N_party,N_url
fecaza,1,VOX,0.000225479143179256,5,5
electomania,0.806300898992137,VOX,0.000450958286358512,10,19
revistajaraysedal,0.910455164981676,VOX,0.000180383314543405,4,10
twitter,0.187621655218267,EH Bildu,0.604485219164118,593,47454
abc,0.809358426802721,PP,0.0814582297364495,2621,3909
antena3,0.681762514307181,PP,0.00233092988562904,75,141
elconfidencial,0.55025075897713,Cs,0.0412103746397695,143,1582
elmundo,0.716744085483543,Cs,0.114409221902017,397,3631
europapress,0.296219408515651,Cs,0.0305475504322767,106,1786
lasexta,0.421468009137228,PSC-PSOE,0.00529512536988008,34,268
youtube,0.25337664289157,VOX,0.0630890642615558,1399,4977
transparentcdn,0.927092801643347,Cs,0.000288184438040346,1,8
feminicido,1,PSOE,5.6478030046312e-05,2,2
lavozdeasturias,0.779877895571354,UP,0.00131632239773188,13,67
amnesty,0.683327212415037,ERC-S,0.000804289544235925,3,40
asuntospendientes,1,PSOE,2.8239015023156e-05,1,1
atresplayer,0.825904484759896,EAJ-PNV,0.00928074245939675,4,142
lavozdegalicia,0.931852422608434,PsdeG-PSOE,0.0641314856590396,199,670
elcomercio,0.799379789619372,PSOE,0.00310629165254716,110,157
eldiario,0.54002618547397,UP,0.111077359254759,1097,4185
informados,0.892356144378404,Misc.,6.58197854274995e-05,1,3
viajesyrutas,1,PSOE,2.8239015023156e-05,1,1
infolibre,0.588232043890018,Misc.,0.00901731060356743,137,381
ow,0.822080341825771,Misc.,0.00348844862765747,53,133
rtve,0.555064806664944,EAJ-PNV,0.0255220417633411,11,575
la,1,PSOE,2.8239015023156e-05,1,1
telemadrid,0.710441119269706,PP,0.000745897563401293,24,53
tributasenasturias,1,PSOE,2.8239015023156e-05,1,1
20minutos,0.544609976805196,PSOE,0.00734214390602056,260,603
encastillalamancha,0.955346337897676,PSOE,0.00559132497458489,198,257
publico,0.587496095386702,UP,0.0632847306601863,625,1542
elmundotoday,0.810408330007126,ECP-GUAYEM EL CANVI,0.00173913043478261,2,17
cadenaser,0.552908809075363,PsdeG-PSOE,0.0315823396712859,98,1729
digitalsevilla,0.863904149632007,Misc.,0.000197459356282499,3,10
elpais,0.567837069066332,PsdeG-PSOE,0.271994843699646,844,6224
fsa-psoe,1,PSOE,0.0007059753755789,25,25
lahoradigital,0.899642242458818,PSC-PSOE,0.00872138296215543,56,137
huffingtonpost,0.55666064555939,PSOE,0.00892352874731729,316,528
nytimes,0.396052120497326,EAJ-PNV,0.00232018561484919,1,90
spotify,0.959824921102555,EAJ-PNV,0.037122969837587,16,106
ps,1,PSOE,2.8239015023156e-05,1,1
teatrokamikaze,1,PSOE,2.8239015023156e-05,1,1
elplural,0.707751111283555,PSC-PSOE,0.0104345117582931,67,471
clarin,0.853945371277459,Misc.,6.58197854274995e-05,1,5
consalud,0.84959755295824,Cs,0.00230547550432277,8,36
diariosur,0.71609512442031,PSOE,0.00208968711171354,74,197
