K,party_short,gini
20,VOX,0.142999659937151
20,UP,0.151539979449483
20,PSOE,0.143508759183269
20,Cs,0.086702084379872
20,PP,0.106839435781576
20,PSC-PSOE,0.129582625481167
20,ERC-S,0.186379780821884
20,PsdeG-PSOE,0.196349035108366
20,JxCat-JUNTS,0.232781522724293
20,ECP-GUAYEM EL CANVI,0.151104427082592
20,EAJ-PNV,0.357287688206366
20,ERC-CATSÍ,0.195991528482947
20,EH Bildu,0.296799528245646
25,VOX,0.142549647186994
25,UP,0.155150678474487
25,PSOE,0.161618747337772
25,Cs,0.109405695690695
25,PP,0.122134558942694
25,PSC-PSOE,0.145863234117965
25,ERC-S,0.184830743167123
25,PsdeG-PSOE,0.219399540472684
25,JxCat-JUNTS,0.247927575356646
25,ECP-GUAYEM EL CANVI,0.178489319133408
25,EAJ-PNV,0.326652478003496
25,ERC-CATSÍ,0.218884290703564
25,EH Bildu,0.282569950530275
30,VOX,0.154014779372948
30,UP,0.142157010678354
30,PSOE,0.146687713663821
30,Cs,0.120398625837734
30,PP,0.126270254618837
30,PSC-PSOE,0.143908280932462
30,ERC-S,0.196887227070034
30,PsdeG-PSOE,0.249895825165163
30,JxCat-JUNTS,0.293927482297625
30,ECP-GUAYEM EL CANVI,0.161174224519192
30,EAJ-PNV,0.400682356386392
30,ERC-CATSÍ,0.22044809944752
30,EH Bildu,0.297108034988448
35,VOX,0.155446410571259
35,UP,0.166074672083799
35,PSOE,0.147400663501874
35,Cs,0.142053946276608
35,PP,0.120030787826861
35,PSC-PSOE,0.146491566690782
35,ERC-S,0.199277178381368
35,PsdeG-PSOE,0.234608095684318
35,JxCat-JUNTS,0.286625655113473
35,ECP-GUAYEM EL CANVI,0.214706894692256
35,EAJ-PNV,0.394272105825721
35,ERC-CATSÍ,0.219902117651025
35,EH Bildu,0.305691839496011
40,VOX,0.159313047461524
40,UP,0.15217794872757
40,PSOE,0.156796249565273
40,Cs,0.145431110029044
40,PP,0.130399126943283
40,PSC-PSOE,0.153650394212615
40,ERC-S,0.187670089997385
40,PsdeG-PSOE,0.245713833386181
40,JxCat-JUNTS,0.296499918360071
40,ECP-GUAYEM EL CANVI,0.182382153455747
40,EAJ-PNV,0.385957339361304
40,ERC-CATSÍ,0.214556751981998
40,EH Bildu,0.304687384296047
45,VOX,0.146717307335229
45,UP,0.144660977020413
45,PSOE,0.145516658987135
45,Cs,0.131118552355698
45,PP,0.121544583766523
45,PSC-PSOE,0.130154376338816
45,ERC-S,0.206737763226378
45,PsdeG-PSOE,0.246002113389694
45,JxCat-JUNTS,0.315625202892223
45,ECP-GUAYEM EL CANVI,0.190642119009779
45,EAJ-PNV,0.415867926622795
45,ERC-CATSÍ,0.198978228466123
45,EH Bildu,0.291602415656231
50,VOX,0.156131101706302
50,UP,0.153262823522734
50,PSOE,0.154281840246063
50,Cs,0.157750375518277
50,PP,0.147029226585252
50,PSC-PSOE,0.15381846703688
50,ERC-S,0.194464717526316
50,PsdeG-PSOE,0.253199801235788
50,JxCat-JUNTS,0.304162956799724
50,ECP-GUAYEM EL CANVI,0.223489101090385
50,EAJ-PNV,0.392891772306225
50,ERC-CATSÍ,0.235947842363236
50,EH Bildu,0.328804195463612
55,VOX,0.154059864163562
55,UP,0.155063696284838
55,PSOE,0.162780602622087
55,Cs,0.142541055628999
55,PP,0.148672180241377
55,PSC-PSOE,0.146265447049812
55,ERC-S,0.199507248619862
55,PsdeG-PSOE,0.274935626374726
55,JxCat-JUNTS,0.296517954891063
55,ECP-GUAYEM EL CANVI,0.194513792979086
55,EAJ-PNV,0.422035433455329
55,ERC-CATSÍ,0.206767794169263
55,EH Bildu,0.312762064426343
60,VOX,0.144150681573367
60,UP,0.147155454334068
60,PSOE,0.151089949455628
60,Cs,0.134246568922599
60,PP,0.136440206055142
60,PSC-PSOE,0.140949949895399
60,ERC-S,0.210036562335947
60,PsdeG-PSOE,0.253658416628699
60,JxCat-JUNTS,0.331004312395833
60,ECP-GUAYEM EL CANVI,0.193761025506355
60,EAJ-PNV,0.439811043385975
60,ERC-CATSÍ,0.22951157817722
60,EH Bildu,0.314711253432931
65,VOX,0.143316136160106
65,UP,0.146282487813921
65,PSOE,0.145421186058527
65,Cs,0.14469122509393
65,PP,0.143714369446976
65,PSC-PSOE,0.14043593099655
65,ERC-S,0.206944526247518
65,PsdeG-PSOE,0.245490130194708
65,JxCat-JUNTS,0.315138874435453
65,ECP-GUAYEM EL CANVI,0.199352343877012
65,EAJ-PNV,0.388429037654924
65,ERC-CATSÍ,0.227277774603919
65,EH Bildu,0.310068617762058
70,VOX,0.160476538688071
70,UP,0.15718360709709
70,PSOE,0.165213404656075
70,Cs,0.14692855162787
70,PP,0.144377423561519
70,PSC-PSOE,0.15787623864928
70,ERC-S,0.218565032212357
70,PsdeG-PSOE,0.267696246336337
70,JxCat-JUNTS,0.30911376249366
70,ECP-GUAYEM EL CANVI,0.216349012627027
70,EAJ-PNV,0.423365474886788
70,ERC-CATSÍ,0.243518618661265
70,EH Bildu,0.304621360878585
75,VOX,0.149178705578708
75,UP,0.153323395333956
75,PSOE,0.139514278807176
75,Cs,0.136318536605604
75,PP,0.136188504827729
75,PSC-PSOE,0.128567969438168
75,ERC-S,0.202995939118062
75,PsdeG-PSOE,0.234498377120444
75,JxCat-JUNTS,0.333160208158595
75,ECP-GUAYEM EL CANVI,0.213130459103756
75,EAJ-PNV,0.417932058478548
75,ERC-CATSÍ,0.239563527822604
75,EH Bildu,0.303647656688083
