stat,party_short,N,rel
seats,Misc.,30,0.0859598853868195
seats,Cs,9,0.0257879656160458
seats,EAJ-PNV,6,0.0171919770773639
seats,ECP-GUAYEM EL CANVI,4,0.0114613180515759
seats,EH Bildu,4,0.0114613180515759
seats,ERC-CATSÍ,4,0.0114613180515759
seats,ERC-S,9,0.0257879656160458
seats,JxCat-JUNTS,5,0.0143266475644699
seats,PP,87,0.249283667621777
seats,PSC-PSOE,12,0.0343839541547278
seats,PSOE,96,0.275071633237822
seats,PsdeG-PSOE,8,0.0229226361031519
seats,UP,23,0.0659025787965616
seats,VOX,52,0.148997134670487
accounts,Misc.,29,0.0920634920634921
accounts,Cs,7,0.0222222222222222
accounts,EAJ-PNV,4,0.0126984126984127
accounts,ECP-GUAYEM EL CANVI,4,0.0126984126984127
accounts,EH Bildu,3,0.00952380952380953
accounts,ERC-CATSÍ,4,0.0126984126984127
accounts,ERC-S,9,0.0285714285714286
accounts,JxCat-JUNTS,5,0.0158730158730159
accounts,PP,76,0.241269841269841
accounts,PSC-PSOE,12,0.0380952380952381
accounts,PSOE,88,0.279365079365079
accounts,PsdeG-PSOE,6,0.0190476190476191
accounts,UP,21,0.0666666666666667
accounts,VOX,47,0.149206349206349
tweets,VOX,119787,0.146191172414466
tweets,PSOE,220832,0.269509120243695
tweets,PP,199471,0.243439599895532
tweets,ECP-GUAYEM EL CANVI,8319,0.0101527241129333
tweets,UP,52891,0.0645495529579466
tweets,Misc.,79926,0.0975437705794339
tweets,PsdeG-PSOE,12692,0.0154896471260188
tweets,Cs,19602,0.0239227909678711
tweets,ERC-S,26906,0.0328367826640924
tweets,JxCat-JUNTS,14845,0.0181172243606798
tweets,EAJ-PNV,5521,0.00673797209129763
tweets,PSC-PSOE,36319,0.0443246528498168
tweets,EH Bildu,9588,0.01170144474033
tweets,ERC-CATSÍ,12687,0.0154835449958872
URLs,VOX,22175,0.160129114253116
URLs,PSOE,35412,0.25571554425846
URLs,PP,32176,0.232347886367903
URLs,ECP-GUAYEM EL CANVI,1150,0.00830432836036452
URLs,UP,9876,0.0713161277277913
URLs,Misc.,15193,0.109711009373059
URLs,PsdeG-PSOE,3103,0.0224072442627923
URLs,Cs,3470,0.025057408183013
URLs,ERC-S,3730,0.0269349085079649
URLs,JxCat-JUNTS,2316,0.0167241952022646
URLs,EAJ-PNV,431,0.0031123178463627
URLs,PSC-PSOE,6421,0.0463670368712179
URLs,EH Bildu,981,0.00708395314914574
URLs,ERC-CATSÍ,2048,0.0147889256365448
texts,VOX,5625,0.190072311955126
texts,UP,2986,0.10089883084409
texts,PSOE,7310,0.247009528958573
texts,Cs,1538,0.051969993917686
texts,PP,8994,0.303912955328783
texts,PSC-PSOE,1631,0.0551125228086774
texts,ERC-S,298,0.0100696087044671
texts,PsdeG-PSOE,459,0.0155099006555383
texts,JxCat-JUNTS,63,0.00212880989389741
texts,ECP-GUAYEM EL CANVI,209,0.00706224234642157
texts,EAJ-PNV,60,0.00202743799418801
texts,ERC-CATSÍ,245,0.00827870514293438
texts,EH Bildu,176,0.00594715144961817
