stat,party_short,N,rel
seats,Misc.,36,0.0623916811091854
seats,Agir,8,0.0138648180242634
seats,DVG,9,0.0155979202772964
seats,FI,12,0.0207972270363952
seats,LR,107,0.185441941074523
seats,LREM,307,0.532062391681109
seats,MoDem,42,0.072790294627383
seats,PCF,9,0.0155979202772964
seats,PS,27,0.0467937608318891
seats,RN,6,0.0103986135181976
seats,UDI,14,0.024263431542461
accounts,Misc.,33,0.0598911070780399
accounts,Agir,8,0.014519056261343
accounts,DVG,8,0.014519056261343
accounts,FI,12,0.0217785843920145
accounts,LR,99,0.17967332123412
accounts,LREM,299,0.542649727767695
accounts,MoDem,42,0.0762250453720508
accounts,PCF,6,0.0108892921960073
accounts,PS,26,0.0471869328493648
accounts,RN,6,0.0108892921960073
accounts,UDI,12,0.0217785843920145
tweets,LREM,662664,0.57879033497771
tweets,FI,33652,0.029392652011683
tweets,UDI,22803,0.0199168145674078
tweets,PS,52548,0.0458969772349316
tweets,DVG,8917,0.00778837150802857
tweets,LR,172707,0.150847401372333
tweets,MoDem,85818,0.0749559791494892
tweets,RN,14212,0.0124131811003815
tweets,Misc.,62728,0.0547884902944506
tweets,PCF,15160,0.0132411923361795
tweets,Agir,13703,0.0119686054474056
URLs,LREM,138695,0.557807780633277
URLs,FI,8726,0.0350944929075019
URLs,UDI,3236,0.0130146434848357
URLs,PS,14809,0.0595592878142558
URLs,DVG,4228,0.0170042993368002
URLs,LR,35873,0.144275125380566
URLs,MoDem,17063,0.0686244937520863
URLs,RN,3160,0.0127089843671449
URLs,Misc.,15980,0.0642688513249921
URLs,PCF,3620,0.0145590263952735
URLs,Agir,3253,0.0130830146032665
texts,MoDem,2045,0.0498950861269702
texts,LREM,22001,0.536793051285805
texts,LR,6487,0.158273556824281
texts,PS,2776,0.0677304445420388
texts,PCF,938,0.0228858634655736
texts,RN,1395,0.0340360122968819
texts,Agir,693,0.0169082125603865
texts,FI,3538,0.0863221587859269
texts,DVG,523,0.0127604547894403
texts,UDI,590,0.0143951593226956
