party_short,topic,Score
LINKE,T1.digitalisierung,0.249439779154389
AfD,T1.digitalisierung,0.138740149280482
GRÜNE,T1.digitalisierung,0.5123508557416
CDU,T1.digitalisierung,0.570835364309495
FDP,T1.digitalisierung,0.510876037882411
SPD,T1.digitalisierung,0.532055154198596
CSU,T1.digitalisierung,0.532714026662917
LINKE,T2.kommentiert,0.524441877650993
AfD,T2.kommentiert,0.0862080994563286
GRÜNE,T2.kommentiert,0.381662496715011
CDU,T2.kommentiert,0.559249773351914
FDP,T2.kommentiert,0.525358556198537
SPD,T2.kommentiert,0.582454593779963
CSU,T2.kommentiert,0.191595796958809
LINKE,T3.klimaschutz,0.123844202200048
AfD,T3.klimaschutz,0.359773091427992
GRÜNE,T3.klimaschutz,0.502008397521092
CDU,T3.klimaschutz,0.357278307282561
FDP,T3.klimaschutz,0.696984333309332
SPD,T3.klimaschutz,0.241818875944278
CSU,T3.klimaschutz,0.50347662961888
LINKE,T4.maassen,0.541991678815846
AfD,T4.maassen,0.534162675924364
GRÜNE,T4.maassen,0.520869310347121
CDU,T4.maassen,0.312703387596405
FDP,T4.maassen,0.234997598937146
SPD,T4.maassen,0.59177175989679
CSU,T4.maassen,0.130731038577606
LINKE,T5.scheuer,0.518057365574906
AfD,T5.scheuer,0.387735630271858
GRÜNE,T5.scheuer,0.556379232463372
CDU,T5.scheuer,0.509955328376389
FDP,T5.scheuer,0.518889156899767
SPD,T5.scheuer,0.520926934365479
CSU,T5.scheuer,0.242808245968758
LINKE,T6.coronavirus,0.458991160376398
AfD,T6.coronavirus,0.347623291608058
GRÜNE,T6.coronavirus,0.505833009032465
CDU,T6.coronavirus,0.510381863205032
FDP,T6.coronavirus,0.519503047485566
SPD,T6.coronavirus,0.530797217906233
CSU,T6.coronavirus,0.532539940658638
LINKE,T7.tuerkei,0.621117141422872
AfD,T7.tuerkei,0.426959417923219
GRÜNE,T7.tuerkei,0.503103883869321
CDU,T7.tuerkei,0.395341778667334
FDP,T7.tuerkei,0.332112849357063
SPD,T7.tuerkei,0.443102654549515
CSU,T7.tuerkei,0.504705160351074
LINKE,T8.prozent,0.545339460548132
AfD,T8.prozent,0.507267006171455
GRÜNE,T8.prozent,0.533194950218209
CDU,T8.prozent,0.383215163262322
FDP,T8.prozent,0.520118793565095
SPD,T8.prozent,0.472483291338427
CSU,T8.prozent,0.402860071879019
LINKE,T9.straftaten,0.523010320839549
AfD,T9.straftaten,0.539812639237817
GRÜNE,T9.straftaten,0.516857624339417
CDU,T9.straftaten,0.521981440302343
FDP,T9.straftaten,0.518325614067761
SPD,T9.straftaten,0.380972862597094
CSU,T9.straftaten,0.27911366589469
LINKE,T10.menschen,0.54404669232174
AfD,T10.menschen,0.523517268860717
GRÜNE,T10.menschen,0.411168109345817
CDU,T10.menschen,0.513886175724077
FDP,T10.menschen,0.390374105712433
SPD,T10.menschen,0.508576708333452
CSU,T10.menschen,0.509752838323122
LINKE,T11.euro,0.507521191578984
AfD,T11.euro,0.42751113798932
GRÜNE,T11.euro,0.522581961097196
CDU,T11.euro,0.419494953776538
FDP,T11.euro,0.569639097865661
SPD,T11.euro,0.509415743207816
CSU,T11.euro,0.388887951986539
LINKE,T12.afd,0.38816435038023
AfD,T12.afd,0.613100792138444
GRÜNE,T12.afd,0.429392583898291
CDU,T12.afd,0.510999075141979
FDP,T12.afd,0.21025748356937
SPD,T12.afd,0.455104052339288
CSU,T12.afd,0.521197494121408
LINKE,T13.daten,0.529344984918406
AfD,T13.daten,0.493628881621291
GRÜNE,T13.daten,0.537059580727668
CDU,T13.daten,0.506123378104707
FDP,T13.daten,0.511854486951839
SPD,T13.daten,0.463259322094001
CSU,T13.daten,0.452434781366367
LINKE,T14.pakt,0.292805730186393
AfD,T14.pakt,0.510715228059215
GRÜNE,T14.pakt,0.540408797310359
CDU,T14.pakt,0.296385011729822
FDP,T14.pakt,0.503294501155086
SPD,T14.pakt,0.536650012844801
CSU,T14.pakt,0.539047068928224
LINKE,T15.cdu,0.302876872938736
AfD,T15.cdu,0.504114905243001
GRÜNE,T15.cdu,0.442329788080727
CDU,T15.cdu,0.516050852308545
FDP,T15.cdu,0.495112097005874
SPD,T15.cdu,0.534044276143831
CSU,T15.cdu,0.55431585801529
LINKE,T16.mal,0.482835805243656
AfD,T16.mal,0.504750297017108
GRÜNE,T16.mal,0.509761636984209
CDU,T16.mal,0.511868903662102
FDP,T16.mal,0.505860782151396
SPD,T16.mal,0.523335672254439
CSU,T16.mal,0.518303307181652
LINKE,T17.drucksache,0.532666911251368
AfD,T17.drucksache,0.213251282367164
GRÜNE,T17.drucksache,0.377163770019141
CDU,T17.drucksache,0.0694278086537264
FDP,T17.drucksache,0.775907879487062
SPD,T17.drucksache,0.0982750387071205
CSU,T17.drucksache,0.0818585650838361
LINKE,T18.fluechtlinge,0.52304778702161
AfD,T18.fluechtlinge,0.57089269229541
GRÜNE,T18.fluechtlinge,0.419924390621053
CDU,T18.fluechtlinge,0.44979747845937
FDP,T18.fluechtlinge,0.288274725091023
SPD,T18.fluechtlinge,0.522902004844597
CSU,T18.fluechtlinge,0.503443716671034
LINKE,T19.medien,0.444538312184494
AfD,T19.medien,0.552572510319242
GRÜNE,T19.medien,0.492487571788346
CDU,T19.medien,0.520348339761237
FDP,T19.medien,0.387326021881237
SPD,T19.medien,0.503412171517424
CSU,T19.medien,0.520188134708658
LINKE,T20.frauen,0.515697572426426
AfD,T20.frauen,0.521810929631339
GRÜNE,T20.frauen,0.523808637000652
CDU,T20.frauen,0.519023477803633
FDP,T20.frauen,0.427497308325892
SPD,T20.frauen,0.506506872447672
CSU,T20.frauen,0.46457026650605
LINKE,T21.taz,0.521566494677479
AfD,T21.taz,0.501378958689489
GRÜNE,T21.taz,0.518218421054025
CDU,T21.taz,0.562064837769263
FDP,T21.taz,0.395689916410312
SPD,T21.taz,0.425918403052543
CSU,T21.taz,0.455790695205356
LINKE,T22.sagte,0.46915578621141
AfD,T22.sagte,0.423556239495403
GRÜNE,T22.sagte,0.519353274819819
CDU,T22.sagte,0.523952383142502
FDP,T22.sagte,0.526851392173641
SPD,T22.sagte,0.506966784672158
CSU,T22.sagte,0.509631590090907
LINKE,T23.prozent,0.301580602892865
AfD,T23.prozent,0.501695508881689
GRÜNE,T23.prozent,0.367120241189985
CDU,T23.prozent,0.565959542845121
FDP,T23.prozent,0.453019174759548
SPD,T23.prozent,0.50148858110591
CSU,T23.prozent,0.556324935904081
LINKE,T24.euro,0.495801506605944
AfD,T24.euro,0.170967283416159
GRÜNE,T24.euro,0.235286324912246
CDU,T24.euro,0.445678442773386
FDP,T24.euro,0.627631465238961
SPD,T24.euro,0.583314707962263
CSU,T24.euro,0.175643229883692
LINKE,T25.trump,0.528630043909005
AfD,T25.trump,0.265828143327445
GRÜNE,T25.trump,0.501256682000493
CDU,T25.trump,0.56604643522535
FDP,T25.trump,0.510968645022229
SPD,T25.trump,0.501323502629476
CSU,T25.trump,0.476594695166686
LINKE,T26.bahn,0.366180474640533
AfD,T26.bahn,0.401885163018214
GRÜNE,T26.bahn,0.558044195658671
CDU,T26.bahn,0.484868140573131
FDP,T26.bahn,0.505564799629248
SPD,T26.bahn,0.393279807377456
CSU,T26.bahn,0.558360492482177
LINKE,T27.polizei,0.505368864724888
AfD,T27.polizei,0.631928854233304
GRÜNE,T27.polizei,0.332076462034909
CDU,T27.polizei,0.416346689663368
FDP,T27.polizei,0.245954330374649
SPD,T27.polizei,0.26714950762543
CSU,T27.polizei,0.539626996799186
LINKE,T28.the,0.516928881810278
AfD,T28.the,0.283588973111959
GRÜNE,T28.the,0.591127091765633
CDU,T28.the,0.291794586596846
FDP,T28.the,0.320224237984108
SPD,T28.the,0.577773416773965
CSU,T28.the,0.303586469857963
LINKE,T29.wohnungen,0.521253864514127
AfD,T29.wohnungen,0.146836330101591
GRÜNE,T29.wohnungen,0.272906116127224
CDU,T29.wohnungen,0.524289349193842
FDP,T29.wohnungen,0.533626396734934
SPD,T29.wohnungen,0.581843065929049
CSU,T29.wohnungen,0.453168819167522
LINKE,T30.ermittlungen,0.577249831765152
AfD,T30.ermittlungen,0.507876624770826
GRÜNE,T30.ermittlungen,0.561476587352205
CDU,T30.ermittlungen,0.385330586948981
FDP,T30.ermittlungen,0.394969098719274
SPD,T30.ermittlungen,0.387112927409016
CSU,T30.ermittlungen,0.306366079705454
