stat,party_short,N,rel
seats,AfD,89,0.125528913963329
seats,CDU,200,0.282087447108604
seats,CSU,46,0.0648801128349788
seats,FDP,80,0.112834978843441
seats,GRÜNE,67,0.0944992947813822
seats,LINKE,69,0.0973201692524683
seats,Misc.,6,0.00846262341325811
seats,SPD,152,0.214386459802539
accounts,AfD,78,0.147169811320755
accounts,CDU,112,0.211320754716981
accounts,CSU,26,0.0490566037735849
accounts,FDP,72,0.135849056603774
accounts,GRÜNE,62,0.116981132075472
accounts,LINKE,60,0.113207547169811
accounts,Misc.,2,0.00377358490566038
accounts,SPD,118,0.222641509433962
tweets,GRÜNE,156616,0.17307758189126
tweets,CDU,165697,0.183113066906549
tweets,SPD,191754,0.21190886396011
tweets,LINKE,148588,0.164205775515008
tweets,AfD,93651,0.103494461751662
tweets,CSU,24198,0.0267414014315568
tweets,FDP,118013,0.130417100881987
tweets,Misc.,6372,0.00704174766186792
URLs,GRÜNE,47829,0.161139692133537
URLs,CDU,50222,0.169201898813073
URLs,SPD,59627,0.200888089294077
URLs,LINKE,55667,0.187546535407339
URLs,AfD,37035,0.124773850554382
URLs,CSU,7340,0.0247290418001664
URLs,FDP,37621,0.126748131003278
URLs,Misc.,1476,0.00497276099414791
texts,LINKE,13936,0.194865484646792
texts,AfD,16145,0.225753677498742
texts,GRÜNE,13664,0.191062139940713
texts,CDU,7253,0.101417864533811
texts,FDP,10512,0.146988086582024
texts,SPD,9246,0.129285754236814
texts,CSU,760,0.0106269925611052
