url_core,gini_centered,max_party,rel_party,N_party,N_url
dpgmedia,0.172167209831941,SP,0.0571615069004103,613,4932
youtube,0.532473012602796,FvD,0.191596638655462,228,2467
cda,0.995949785352332,CDA,0.0427715996578272,700,702
nu,0.228964315951466,CU,0.0263676688023657,107,2085
rijksoverheid,0.466086124929523,VVD,0.0202780130536595,407,1200
rtvoost,0.623596092426165,CDA,0.00659904680435048,108,235
rvo,0.826968677417403,Misc.,0.00236266981689309,4,33
werkenvoornederland,0.936139037871353,CDA,0.000183306855676402,3,4
kvk,0.813380766437089,CU,0.000246426811237063,1,9
dvhn,0.64332822996235,PvdA,0.00845583452582282,65,181
bruna,1,CDA,0.00024440914090187,4,4
facebook,0.492106564133714,DENK,0.0748550342646284,142,1881
tweedekamer,0.395022273774002,CDA,0.0269461077844311,441,1945
ndcmediagroep,0.395340178777403,PvdA,0.0104071809548589,80,456
viceversaonline,0.916646108157108,SGP,0.000360100828231905,1,4
wielerflits,1,CDA,6.11022852254674e-05,1,1
milieudefensie,0.795883041568051,PvdD,0.000620925178515989,2,11
boskalis,1,CDA,6.11022852254674e-05,1,1
duurzaambedrijfsleven,0.962032248944098,Misc.,0.0118133490844654,20,41
cdaprovincieutrecht,1,CDA,0.000366613711352805,6,6
cordaid,0.969432643345687,CU,0.000246426811237063,1,2
countus,1,CDA,6.11022852254674e-05,1,1
dagindaguit,1,CDA,6.11022852254674e-05,1,1
dlvr,0.658921112876742,SGP,0.00144040331292762,4,33
alarabiya,0.898090196607512,PvdA,0.000780538571614414,6,10
estherdelange,1,CDA,0.00048881828180374,8,8
geredgereedschap,1,CDA,0.000122204570450935,2,2
ikspaarhetklimaat,0.974700645247436,PvdD,0.000620925178515989,2,4
limburger,0.568838033903587,CDA,0.00323842111694977,53,147
metaalunie,0.939097594911548,SP,9.32487877657591e-05,1,2
nos,0.249693333481259,PvdA,0.0770131390659555,592,5511
dekredietunie,1,CDA,6.11022852254674e-05,1,1
innovationquarter,0.941521387916479,VVD,9.96462557919386e-05,2,3
klok,1,CDA,6.11022852254674e-05,1,1
knmg,0.814155131575134,PvdA,0.000260179523871471,2,11
nporadio1,0.270619175092413,SP,0.00867213726221559,93,450
rabo,1,CDA,0.000122204570450935,2,2
rtvdrenthe,0.57229234738941,PvdA,0.0018212566671003,14,83
rtvnoord,0.761227517034316,PvdA,0.0287498373877976,221,558
ad,0.666191397319031,VVD,0.00318868018534204,64,132
volkskrant,0.270202598973738,GL,0.0438403701561596,379,2405
thecut,1,CDA,6.11022852254674e-05,1,1
actionaid,1,CDA,6.11022852254674e-05,1,1
acvassen,1,CDA,6.11022852254674e-05,1,1
businessclubnv,1,CDA,6.11022852254674e-05,1,1
businessclubtharde,1,CDA,6.11022852254674e-05,1,1
cdabarneveld,1,CDA,0.000794329707931077,13,13
cobouw,0.778453584970672,CDA,0.00348283025785164,57,114
