stat,party_short,N,rel
seats,50PLUS,4,0.0268456375838926
seats,CDA,19,0.12751677852349
seats,CU,5,0.0335570469798658
seats,D66,19,0.12751677852349
seats,DENK,3,0.0201342281879195
seats,FvD,2,0.0134228187919463
seats,GL,13,0.087248322147651
seats,PVV,20,0.134228187919463
seats,PvdA,9,0.0604026845637584
seats,PvdD,4,0.0268456375838926
seats,SGP,3,0.0201342281879195
seats,SP,14,0.0939597315436242
seats,VVD,32,0.214765100671141
seats,Misc.,2,0.0134228187919463
accounts,50PLUS,4,0.027972027972028
accounts,CDA,19,0.132867132867133
accounts,CU,4,0.027972027972028
accounts,D66,19,0.132867132867133
accounts,DENK,3,0.020979020979021
accounts,FvD,2,0.013986013986014
accounts,GL,11,0.0769230769230769
accounts,PVV,18,0.125874125874126
accounts,PvdA,9,0.0629370629370629
accounts,PvdD,4,0.027972027972028
accounts,SGP,3,0.020979020979021
accounts,SP,13,0.0909090909090909
accounts,VVD,32,0.223776223776224
accounts,Misc.,2,0.013986013986014
tweets,CDA,52397,0.139409709750458
tweets,D66,53573,0.142538625884331
tweets,VVD,69419,0.184699174402486
tweets,SGP,7959,0.0211760574060327
tweets,GL,30591,0.0813917291252604
tweets,SP,36960,0.0983373642074344
tweets,50PLUS,7617,0.0202661175099575
tweets,PVV,51042,0.13580453852478
tweets,PvdD,9807,0.0260929256164045
tweets,DENK,8096,0.0215405654930571
tweets,Misc.,6354,0.0169057254376093
tweets,CU,12789,0.0340269629558679
tweets,PvdA,25249,0.0671785743742833
tweets,FvD,3996,0.0106319293120375
URLs,CDA,16366,0.146008975010929
URLs,D66,16220,0.144706438633586
URLs,VVD,20071,0.179063065956517
URLs,SGP,2777,0.0247749556156269
URLs,GL,8645,0.0771262122063717
URLs,SP,10724,0.0956739733604546
URLs,50PLUS,2595,0.0231512458849664
URLs,PVV,14945,0.133331549036926
URLs,PvdD,3221,0.0287360936398755
URLs,DENK,1897,0.0169240514234225
URLs,Misc.,1693,0.0151040690879569
URLs,CU,4058,0.0362033741045062
URLs,PvdA,7687,0.0685794324153128
URLs,FvD,1190,0.0106165636235491
texts,D66,3027,0.144756348333413
texts,GL,2542,0.121562813830042
texts,VVD,1815,0.0867964229352972
texts,PvdA,1892,0.0904786954234613
texts,PVV,2984,0.142700014346516
texts,SP,3220,0.153985940414136
texts,CDA,2068,0.0988953182535508
texts,FvD,238,0.0113815695088709
texts,CU,1070,0.0511692410692937
texts,PvdD,1028,0.0491607288030223
texts,DENK,345,0.0164984936158003
texts,50PLUS,483,0.0230978910621204
texts,SGP,199,0.00951652240447611
