party_short,party_full,party_grouping
Conservative,The Conservative and Unionist Party,Conservative
Labour,The Labour Party,Labour
Scottish National,The Scottish National Party,SNP
Labour Co-operative,Labour and Co-operative Party,Labour
Liberal Democrats,The Liberal Democrats,Liberal
Plaid Cymru,Plaid Cymru,Misc
DUP,Democratic Unionist Party,DUP
Green,The Green Party UK,Misc
Sinn Féin,Sinn Féin,Sinn Féin
SDLP,The Social Democratic and Labour Party,Misc
Speaker,Speaker,Misc
Alliance,The Alliance Party of Northern Ireland,Misc
