url_core,insularity_media,N_url,max_party,N_party,rel_party
elisabeth-toutut-picard,1,815,LREM,815,0.00587620317963878
virginiedubymuller,1,776,LR,776,0.0216318679787026
marclefur,1,483,LR,483,0.0134641652496306
ville-feyzin,1,295,LREM,295,0.0021269692490717
frederic-petit,1,282,MoDem,282,0.0165269882201254
cecileuntermaier,1,263,PS,263,0.0177594705922074
christophebouillon,1,247,PS,247,0.0166790465257614
alaintourret,1,244,LREM,244,0.00175925592126609
u-m-p,1,237,LR,237,0.00660664009143367
jmarilossian,1,228,LREM,228,0.00164389487724864
mariefrancelorho,1,221,Misc.,221,0.0138297872340426
yvesblein,1,208,LREM,208,0.00149969357222683
annegenetet,1,203,LREM,203,0.00146364324597138
ps76,1,199,PS,199,0.0134377743264231
jeanmichelmis,1,197,LREM,197,0.00142038285446483
vincentthiebaut,1,184,LREM,184,0.00132665200620066
franckmarlin,1,171,PS,171,0.0115470322101425
leolagrange,1,171,LREM,171,0.00123292115793648
serge-letchimy,1,163,Misc.,163,0.0102002503128911
jacqueline-dubois,1,161,LREM,161,0.00116082050542557
laqhila11,1,152,MoDem,152,0.00890816386333001
fabricebrun,1,149,LR,149,0.00415354166085914
christinecloarec,1,145,LREM,145,0.00104545946140813
ericpauget,1,139,LR,139,0.00387478047556658
charlesdelaverpilliere,1,138,LR,138,0.00384690435703733
florencegranjus,1,137,LREM,137,0.000987778939399401
didierlegac,1,128,LREM,128,0.000922888352139587
typhaniedegois,1,115,LREM,115,0.00082915750387541
cedricvillani,1,110,LREM,110,0.000793107177619958
giselebiemouret,1,110,PS,110,0.0074279154568168
hervepellois,1,101,LREM,101,0.000728216590360143
yaelbraunpivet,1,100,LREM,100,0.000721006525109052
guillaumekasbarian,1,97,LREM,97,0.000699376329355781
gillescarrez,1,95,LR,95,0.00264823126027932
pierre-morel,1,95,LR,95,0.00264823126027932
debout-la-france,1,94,Misc.,94,0.00588235294117647
dimitrihoubron,1,93,LREM,93,0.000670536068351419
philippemichelkleisbauer,1,92,MoDem,92,0.0053917833909629
lan01,1,91,Misc.,91,0.00569461827284105
sophie-errante,1,90,LREM,90,0.000648905872598147
depute975,1,90,Misc.,90,0.00563204005006258
jctaugourdeau,1,88,LR,88,0.00245309843057453
carolegrandjean,1,85,LREM,85,0.000612855546342694
laurentsaintmartin,1,85,LREM,85,0.000612855546342694
bernard-reynes-2012,1,85,LR,85,0.00236947007498676
damienadam,1,84,LREM,84,0.000605645481091604
soniakrimi2017,1,83,LREM,83,0.000598435415840513
pierredharreville,1,83,PCF,83,0.0229281767955801
sabinerubin,1,82,FI,82,0.0093972037588815
arbre-a-vent,1,82,Misc.,82,0.00513141426783479
adrien-morenas,1,81,LREM,81,0.000584015285338332
lauriannerossi,1,80,LREM,80,0.000576805220087242
philippe-michel,1,80,MoDem,80,0.00468850729648948
claireopetit,1,79,LREM,79,0.000569595154836151
favennecactualite,1,79,UDI,79,0.0244128553770087
descrozaille,1,76,LREM,76,0.00054796495908288
region-martinique,1,76,Misc.,76,0.00475594493116395
ledeputequimarche,1,76,Misc.,76,0.00475594493116395
lyon,1,75,LREM,75,0.000540754893831789
didierbaichere,1,75,LREM,75,0.000540754893831789
frontnational,1,75,RN,75,0.0237341772151899
bastienlachaud,1,74,FI,74,0.00848040339216136
didier-paris,1,73,LREM,73,0.000526334763329608
daniellebrulebois,1,72,LREM,72,0.000519124698078518
perrinegoulet,1,70,LREM,70,0.000504704567576337
ericstraumann,1,68,LR,68,0.00189557605998941
joelgirauddepute,1,67,LREM,67,0.000483074371823065
abadiecaroline,1,64,LREM,64,0.000461444176069793
annefrancebrunet,1,62,LREM,62,0.000447024045567612
espritcivique,1,62,PS,62,0.00418664325747856
vincentledoux,1,59,MoDem,59,0.00345777413116099
touscoprod,1,58,Misc.,58,0.00362953692115144
marieangemagne,1,57,LREM,57,0.00041097371931216
agnesthill,1,57,LREM,57,0.00041097371931216
bruno-millienne,1,53,MoDem,53,0.00310613608392428
oliviergaillard,1,53,LREM,53,0.000382133458307798
valerierabault,1,53,PS,53,0.00357890472010264
xavier-paluszkiewicz,1,53,LREM,53,0.000382133458307798
olivierserva,1,53,LREM,53,0.000382133458307798
michel-larive,1,51,FI,51,0.00584460233784094
claudegoasguen,0.999925377321594,1107,PS,1106,0.0746843135930853
antoine-herth,0.999906226618812,51,Agir,50,0.0153704272978789
rassemblementnational,0.999837756542654,219,RN,217,0.0686708860759494
thierry-benoit,0.999747990337812,145,UDI,143,0.0441903584672435
dominiquepotier,0.999738321094542,165,PS,163,0.0110068201769194
sebastiennadot,0.999684834846459,74,Misc.,73,0.00456821026282854
sylvainwaserman,0.999545386302415,55,MoDem,54,0.0031647424251304
philippe-folliot,0.999523061883019,246,Misc.,241,0.015081351689612
ouillade,0.999287759421587,118,RN,102,0.0322784810126582
andrechassaigne,0.998858741115055,707,DVG,703,0.166272469252602
cornut-gentille,0.996417895105628,213,LREM,212,0.00152853383323119
francoisruffin,0.996273598336591,625,Misc.,622,0.0389236545682103
caledonie-ensemble,0.995465090077808,1460,LR,1456,0.0405876285785967
clementine-autain,0.99451960834748,66,Misc.,65,0.00406758448060075
melenchon,0.993374188486086,277,FI,252,0.0288792115516846
gouffier-cha,0.99215133584892,200,LREM,199,0.00143480298496701
dlvr,0.992140473358436,313,PS,304,0.0205280572624755
parti-udi,0.990232628758209,52,UDI,36,0.0111248454882571
lebohec-gael,0.985543561363124,205,LREM,204,0.00147085331122247
canalblog,0.982960199590769,126,PS,116,0.00783307448173408
mouvementdemocrate,0.982952960309427,169,MoDem,158,0.00925980191056672
lafranceinsoumise,0.978438564865538,1014,FI,862,0.0987852395140958
centre-presse,0.971952718973145,55,MoDem,38,0.0022270409658325
actu17,0.968158368814695,78,RN,37,0.0117088607594937
lorientlejour,0.964029425353553,261,LREM,258,0.00186019683478136
florianbachelier,0.956390499892309,58,LREM,57,0.00041097371931216
republicains,0.955468658777155,143,LR,128,0.00356814317174477
eelv,0.954911669602113,198,LREM,193,0.00139154259346047
twipecloud,0.951193045792314,55,LREM,53,0.000382133458307798
lessocialistes,0.945578891874677,69,PS,57,0.00384901073671416
lest-eclair,0.944335878473839,75,LR,54,0.00150531040057982
hugedomains,0.936314371563115,77,LR,63,0.00175619546734313
parti-socialiste,0.932849812807121,79,PS,61,0.00411911675332568
vimeo,0.931887955572715,292,PCF,134,0.0370165745856354
pcf,0.931582824808058,62,PCF,38,0.0104972375690608
samantha-cazebonne,0.931501470426909,58,LREM,56,0.000403763654061069
lemainelibre,0.927977238994298,68,PS,19,0.00128300357890472
regards,0.923709472056188,82,PCF,33,0.00911602209944751
twitch,0.922439269485246,51,FI,17,0.00194820077928031
zoom,0.915328923556845,109,LREM,106,0.000764266916615595
linkis,0.91203313927243,119,MoDem,75,0.00439547559045889
fillon2017,0.911398835484361,56,LR,42,0.00117079697822875
info-chalon,0.910491938508435,55,PS,19,0.00128300357890472
lindependant,0.907026306950261,275,RN,51,0.0161392405063291
ipreunion,0.90610880764997,108,DVG,25,0.00591296121097446
