url_core,insularity_media,N_url,max_party,N_party,rel_party
gianfrancolibrandi,1,1383,IV,1383,0.0801042571676803
calcinaia,1,1249,PD,1249,0.0378095295755888
andreademaria,1,608,PD,608,0.0184052794090937
rogerdemenech,1,557,PD,557,0.0168614155112914
elenacarnevali,1,376,PD,376,0.01138221226615
claudiaporchietto,1,344,FI,344,0.0119898225924506
sindacodicalalzo,1,322,FdI,322,0.0242141675439916
deborahbergamini,1,315,FI,315,0.0109790526645987
marcosilvestroni,1,315,FdI,315,0.0236877725973831
angelotofalo,1,295,M5S,295,0.00322200135433277
francescabusinarolo,1,288,M5S,288,0.00314554708490793
gianlucavacca,1,249,M5S,249,0.00271958758382665
paoloromano,1,230,M5S,230,0.00251206885253064
elvirasavino,1,227,FI,227,0.00791188874559967
riccardofraccaro,1,203,M5S,203,0.00221717381332052
italiaincrisi,1,180,M5S,180,0.00196596692806745
modavi,1,173,FdI,173,0.013009475109039
eposweb,1,171,M5S,171,0.00186766858166408
paolademicheli,1,169,PD,169,0.00511594115154084
generosomaraia,1,163,M5S,163,0.00178029227374997
mariaederaspadoni,1,161,M5S,161,0.00175844819677145
shortswitch,1,159,M5S,159,0.00173660411979292
filippogallinella,1,143,M5S,143,0.0015618515039647
armandocesaro,1,143,FI,143,0.00498414136837336
francescoboccia,1,139,PD,139,0.00420778591753951
federicadaga,1,121,M5S,121,0.0013215666572009
nicolapellicani,1,117,PD,117,0.00354180541260519
federicodinca,1,111,M5S,111,0.00121234627230826
paolorusso,1,111,FI,111,0.00386880903419191
michelebordo,1,110,PD,110,0.00332990252467155
michelarostan,1,104,IV,104,0.00602374746597162
matteomauri,1,102,PD,102,0.00308772779560453
brindisitime,1,99,FI,99,0.00345055940887386
gianmariofragomeli,1,98,PD,98,0.00296664043107102
manliodistefano,1,97,M5S,97,0.00105943773345857
techcrunch,1,96,M5S,96,0.00104851569496931
legaonline,1,95,LN,95,0.00332214295705693
certastampa,1,91,M5S,91,0.000993905502522991
giannitonelli,1,88,LN,88,0.00307735347601063
pierodeluca,1,86,PD,86,0.00260337833747049
ariannalazzarini,1,84,LN,84,0.0029374737725556
mollicone,1,77,FdI,77,0.00579034441269364
emanuelescagliusi,1,76,M5S,76,0.000830074925184036
paolotiramani,1,74,LN,74,0.00258777451391803
martagrande,1,73,M5S,73,0.000797308809716246
m5steramo,1,71,M5S,71,0.000775464732737718
federicadieni,1,70,M5S,70,0.000764542694248455
marinaberlinghieri,1,67,PD,67,0.00202821335593631
forzaitalianews,1,66,FI,66,0.00230037293924924
robertogualtieri,1,65,PD,65,0.00196766967366955
leftwing,1,64,PD,64,0.00193739783253617
lapadania,1,62,LN,62,0.00216813540355294
lnd,1,60,FI,60,0.00209124812659022
brindisioggi,1,58,FI,58,0.00202153985570388
vivicasagiove,1,56,FdI,56,0.0042111595728681
renziacasa,1,55,LN,55,0.00192334592250664
marketingautomatico,1,53,FdI,53,0.00398556173860731
canturino,1,52,LN,52,0.00181843614491537
talentgarden,1,51,M5S,51,0.000557023962952446
gruppopdl-berlusconipresidente,0.998765916551597,271,FI,270,0.00941061656965599
fabianadadone,0.9986206727823,769,M5S,768,0.00838812555975447
radicali,0.998571406257697,193,Misc.,192,0.0134566862910008
brundisium,0.998040740122352,54,FI,53,0.00184726917848803
robertogiachetti,0.997822057451563,139,IV,137,0.00793512887344338
claudiocominardi,0.997555729438219,433,M5S,432,0.00471832062736189
alfredobazoli,0.997201640150272,227,PD,226,0.00684143609614337
ilpopulista,0.996999743400446,321,LN,317,0.011085466498811
brindisireport,0.996895542710877,103,FI,100,0.00348541354431703
renzotondo,0.996862307690447,160,Misc.,157,0.0110036445192038
freenewsonline,0.996394995394433,556,FI,553,0.0192743369000732
possibile,0.995984963215251,125,Misc.,123,0.00862068965517241
cesenatoday,0.994436565051683,52,LN,51,0.00178346621905162
italiaviva,0.993322497138524,515,IV,501,0.029018245004344
mauriziomartina,0.992745316101647,87,PD,86,0.00260337833747049
levantenews,0.992506259688732,117,FI,115,0.00400822557596459
notizienazionali,0.992447040696736,57,IV,56,0.00324355632783087
sap-nazionale,0.991991793904294,514,LN,508,0.0177647223387886
leganord,0.990424296489177,57,LN,56,0.0019583158483704
metamagazine,0.989203116173982,117,FdI,112,0.0084223191457362
lavocedelpatriota,0.988605614421121,82,FdI,79,0.0059407429688675
flaviapiccolinardelli,0.988593358084441,55,PD,54,0.0016346794212024
movimento5stelle,0.987162048188801,968,M5S,956,0.010441468795736
giorgiameloni,0.985298520300159,106,FdI,101,0.00759512708677997
fratelli-italia,0.983732390823042,443,FdI,420,0.0315836967965108
udinetoday,0.982314202305942,58,FI,54,0.0018821233139312
lavocedeltrentino,0.980579482182248,62,LN,58,0.00202825570009792
dalilanesci,0.977459239377964,90,M5S,88,0.0009611393870552
acli,0.974875293004498,105,M5S,102,0.00111404792590489
medium,0.970084926959642,195,Misc.,168,0.0117746005046257
mauriziolupi,0.969821410798935,193,Misc.,181,0.0126857303055789
sicilia5stelle,0.968272021036012,62,M5S,61,0.000666244347845082
forlitoday,0.962950527174468,198,LN,184,0.00643446635893132
padovaoggi,0.961449691078614,85,LN,80,0.00279759406910057
beppegrillo,0.961099983107106,7347,M5S,7123,0.0777976801590249
vicenzapiu,0.958451095767128,158,FI,144,0.00501899550381653
livornopress,0.955321955742196,54,LN,50,0.00174849629318786
