url_core,insularity_media,N_url,max_party,N_party,rel_party
renepetersoss,1,400,CDA,400,0.024440914090187
pvv,1,380,PVV,380,0.0254265640682503
vvddenhaag,1,84,VVD,84,0.00418514274326142
foursquare,1,82,VVD,82,0.00408549648746948
voiceofeurope,1,61,PVV,61,0.00408163265306122
breitbart,1,57,PVV,57,0.00381398461023754
aukjedevries,1,53,VVD,53,0.00264062577848637
sgp,0.999909538612557,292,SGP,291,0.104789341015484
50pluspartij,0.999613305429161,449,50PLUS,444,0.171098265895954
christenunie,0.998890450213604,446,CU,442,0.108920650566782
lockerz,0.997193446303494,67,VVD,66,0.00328832644113397
fvd,0.997077911609229,289,FvD,280,0.235294117647059
sp,0.996716053272514,1080,SP,1071,0.0998694516971279
cda,0.995949785352332,702,CDA,700,0.0427715996578272
linkis,0.993204842594358,108,Misc.,91,0.0537507383343178
d66,0.99305313930007,839,D66,830,0.0511713933415536
groenlinks,0.993032107552933,524,GL,516,0.0596876807403123
tmi,0.986905147771824,161,VVD,155,0.00772258482387524
fllwrs,0.986834464365279,95,CDA,91,0.00556030795551754
ongehoordnederland,0.959482087955237,64,FvD,17,0.0142857142857143
pvda,0.958023917497662,650,PvdA,592,0.0770131390659555
vvd,0.955069527384825,914,VVD,884,0.0440436450600369
partijvoordedieren,0.953651114293577,479,PvdD,390,0.121080409810618
twitlonger,0.949493756154583,206,VVD,165,0.00822081610283494
koninkrijksrelaties,0.925851311252563,76,D66,58,0.00357583230579531
fnv,0.92344631118391,197,PvdA,142,0.0184727461948745
dagelijksestandaard,0.914154570384138,206,FvD,59,0.0495798319327731
energeia,0.899730412454129,73,GL,54,0.00624638519375362
denhaag,0.895073695118096,70,VVD,62,0.0030890339295501
anwb,0.894487481117925,76,CDA,67,0.00409385311010632
weforum,0.89211152482535,97,VVD,83,0.00413531961536545
natuurmonumenten,0.891978616917023,55,GL,35,0.00404858299595142
geenstijl,0.875118585899895,445,PVV,393,0.0262964202074272
verus,0.870307691871162,65,SGP,11,0.00396110911055095
l1,0.866853331051985,84,PvdD,30,0.00931387767773983
eo,0.862515155803085,68,CU,32,0.007885657959586
defensie,0.860478690321326,56,VVD,34,0.00169398634846296
zoomin,0.849840645686949,64,DENK,11,0.00579862941486558
aob,0.838019738714382,57,PvdA,21,0.00273188500065045
com,0.831112794237955,98,VVD,63,0.00313885705744607
bit,0.817814539396739,168,SGP,55,0.0198055455527548
imageshack,0.816247414652473,68,VVD,49,0.0024413332669025
skipr,0.807894992002058,257,SP,170,0.015852293920179
ow,0.804456782660869,127,VVD,102,0.00508195904538887
denhaagfm,0.802413760618663,56,VVD,39,0.0019431019879428
e-pages,0.79499581641052,103,D66,61,0.00376078914919852
rd,0.790263253047669,366,SGP,113,0.0406913935902053
bloomberg,0.789989071535984,91,GL,37,0.00427993059572007
vno-ncw,0.781823101936026,67,Misc.,6,0.00354400472533963
cobouw,0.778453584970672,114,CDA,57,0.00348283025785164
politie,0.778190691278742,81,VVD,43,0.00214239449952668
elsevierweekblad,0.765761350971335,149,Misc.,25,0.0147666863555818
economist,0.762962205167227,135,GL,47,0.00543666859456333
rtvnoord,0.761227517034316,558,PvdA,221,0.0287498373877976
