url_core,insularity_media,N_url,max_party,N_party,rel_party
nuestropuntodevista,1,412,PSOE,412,0.0116344741895403
fllwrs,1,272,PP,272,0.00845350571854799
celsodelgado,1,216,PP,216,0.00671307807061164
patxilopez,1,185,Misc.,185,0.0121766603040874
gppopular,1,173,PP,173,0.00537667826951765
pplavall,1,164,PP,164,0.00509696668324217
ppab,1,126,PP,126,0.00391596220785679
ayuntamientoboadilladelmonte,1,101,PP,101,0.00313898557931377
joaquingarciadiez,1,101,PP,101,0.00313898557931377
ppcastellon,1,63,PP,63,0.00195798110392839
bng,1,62,Misc.,62,0.00408082669650497
xn--logroo-0wa,1,62,PP,62,0.00192690203878667
canadarosal,1,58,PSOE,58,0.00163786287134305
ppcantabria,1,55,PP,55,0.00170934858279463
sumandodesdeasturias,1,51,Misc.,51,0.00335680905680248
laspalmasgc,0.998778525967136,180,Misc.,177,0.0116501020206674
socialistes,0.998625097908418,151,PSC-PSOE,145,0.0225821523127239
rebelionenlagranja,0.99757314213086,132,VOX,129,0.0058173618940248
salamancartvaldia,0.997273475238071,62,PSOE,61,0.00172257991641252
realitat,0.997013488941502,93,ERC-S,92,0.0246648793565684
actuall,0.996680936653535,123,VOX,120,0.00541149943630214
spreaker,0.99640193152642,130,UP,125,0.0126569461320373
juntadeandalucia,0.994725366648981,160,PSOE,155,0.00437704732858918
atlantico,0.99330824679521,57,PsdeG-PSOE,48,0.0154689010634869
hispanidad,0.992254653713164,56,VOX,52,0.00234498308906426
tribunasalamanca,0.989811345855744,67,PSOE,65,0.00183553597650514
psdeg-psoe,0.989523374883685,68,PsdeG-PSOE,50,0.0161134386077989
outono,0.988930185566033,89,VOX,80,0.00360766629086809
pp,0.988120129453002,367,PP,362,0.0112506215813028
eldiadigital,0.987992065241349,70,PSOE,65,0.00183553597650514
energias-renovables,0.987764617105281,170,PSOE,166,0.00468767649384389
escoladeferrado,0.986978260018298,194,Misc.,189,0.0124399394457974
podemos,0.985559896563034,620,UP,581,0.0588294856217092
huelvahoy,0.985552311131806,75,PP,70,0.00217553455992044
cordopolis,0.985053516606339,458,PSOE,444,0.0125381226702813
naiz,0.984641650627557,157,EH Bildu,107,0.109072375127421
galiciaconfidencial,0.982864076729339,71,PsdeG-PSOE,44,0.014179825974863
odonelorza,0.980582136337179,99,Misc.,91,0.00598960047390246
clm24,0.978856118042423,147,PSOE,134,0.0037840280131029
farodevigo,0.976538111491108,326,PsdeG-PSOE,223,0.0718659361907831
desdesoria,0.97482463193501,53,PSOE,45,0.00127075567604202
lacomarcadepuertollano,0.974690626126042,71,PP,66,0.00205121829935356
periodicoclm,0.971902624248122,125,PSOE,120,0.00338868180277872
eldiadecordoba,0.970274642054264,141,PSOE,131,0.00369931096803344
diariodeavila,0.970040103578409,63,PP,54,0.00167826951765291
theluxonomist,0.967242393157457,70,PP,59,0.00183366484336151
elperiodicodelaenergia,0.964669167354177,394,PSOE,384,0.0108437817688919
diariocordoba,0.960644960177092,584,PSOE,529,0.0149384389472495
spotify,0.959824921102555,106,EAJ-PNV,16,0.037122969837587
eldiestro,0.959808095629487,91,PP,81,0.00251740427647936
larioja,0.95951125043778,91,PP,85,0.00264172053704625
shar,0.958382589591757,56,EAJ-PNV,3,0.00696055684454756
encastillalamancha,0.955346337897676,257,PSOE,198,0.00559132497458489
elcorreogallego,0.952080496604883,52,PsdeG-PSOE,18,0.00580083789880761
laprovincia,0.9469079909463,147,Misc.,115,0.00756927532416244
lavozdecordoba,0.94281057128163,75,PP,59,0.00183366484336151
esquerra,0.939588574394002,145,ERC-S,108,0.0289544235924933
diariodenavarra,0.938904971919364,188,Misc.,121,0.00796419403672744
laultimahora,0.935506620665918,74,UP,63,0.00637910085054678
imageshack,0.934968226384766,71,Misc.,51,0.00335680905680248
tarragonaradio,0.934545226615785,56,PSC-PSOE,51,0.00794268805482012
lavozdegalicia,0.931852422608434,670,PsdeG-PSOE,199,0.0641314856590396
efeverde,0.930679058773765,338,PSOE,299,0.00844346549192364
sorianoticias,0.927428498496303,96,PSOE,53,0.00149666779622727
praza,0.926506056185202,52,PsdeG-PSOE,10,0.00322268772155978
canarias7,0.919066809210246,151,Misc.,112,0.00737181596787995
eladelantado,0.918401083254227,67,VOX,30,0.00135287485907554
t,0.913921717480392,69,ECP-GUAYEM EL CANVI,13,0.011304347826087
libertaddigital,0.90918255698885,1193,VOX,670,0.0302142051860203
eitb,0.907963266058329,149,EAJ-PNV,27,0.0626450116009281
rtvc,0.906485652362716,62,Misc.,24,0.00157967485025999
lanzadigital,0.905860268383509,56,PP,37,0.00114992541024366
ebredigital,0.904462341709771,54,JxCat-JUNTS,31,0.0133851468048359
tribunavalladolid,0.903677695114794,53,VOX,25,0.00112739571589628
lahoradigital,0.899642242458818,137,PSC-PSOE,56,0.00872138296215543
eldigitalcastillalamancha,0.896740199378426,197,PP,141,0.0043821481849826
laregion,0.894086509514806,91,PsdeG-PSOE,13,0.00418949403802772
diariodeibiza,0.889464959214332,82,PP,58,0.00180258577821979
twimg,0.887024144757265,128,EAJ-PNV,4,0.00928074245939675
nosdiario,0.885472672249879,112,PsdeG-PSOE,21,0.00676764421527554
