url_core,insularity_media,N_url,max_party,N_party,rel_party
lorenzoquadri,1,1609,Misc.,1609,0.357873665480427
isabellechevalley,1,373,GLP,373,0.0464276823500124
rogernordmann,1,279,SP,279,0.0166012138521956
volleynaefels,1,121,BDP,121,0.0576190476190476
estermann-aktuell,1,121,SVP,121,0.0137640768968263
matthiasaebischer,1,120,SP,120,0.00714030703320243
marcoromano,1,101,CVP,101,0.0111602209944751
mathiasreynard,1,83,SP,83,0.00493871236463168
juso,1,73,SP,73,0.00434368677853148
eric-nussbaumer,1,71,SP,71,0.00422468166131144
auns,1,66,SVP,66,0.0075076783073598
michael-toengi,1,59,GPS,59,0.00641304347826087
glarus24,0.999161691371489,72,BDP,71,0.0338095238095238
bdp,0.998804870422692,288,BDP,284,0.135238095238095
grunliberale,0.998765696881948,177,GLP,176,0.0219068956933035
mattinonline,0.993248806468952,366,Misc.,349,0.0776245551601424
gdp,0.992436980408019,68,CVP,66,0.00729281767955801
spkantonzh,0.991963558184107,56,SP,55,0.00327264072355111
cvp,0.988802426348385,239,CVP,231,0.025524861878453
sp-ps,0.986808685957358,595,SP,589,0.0350470070213019
fdp,0.985813641389759,72,FDP,66,0.011400932803593
paper,0.983094449753311,544,GPS,529,0.0575
balthasar-glaettli,0.963472834195221,73,GPS,68,0.00739130434782609
ticinolive,0.936575340578777,66,Misc.,45,0.010008896797153
pszeitung,0.927816719925781,66,SP,54,0.00321313816494109
gruene,0.918677753292405,247,GPS,227,0.0246739130434783
arcinfo,0.917785191495579,88,GPS,71,0.00771739130434783
argusdatainsights,0.911524929106684,64,FDP,54,0.00932803593021247
1815,0.909558315603601,59,CVP,43,0.00475138121546961
rro,0.901513688400339,92,CVP,70,0.00773480662983426
cdt,0.901006683308658,334,Misc.,180,0.0400355871886121
linkis,0.875014092253767,120,GLP,94,0.0117002738361962
ticinonews,0.874952216239037,1095,Misc.,477,0.106094306049822
tio,0.867468481096389,603,Misc.,256,0.0569395017793594
ticinolibero,0.857530044702144,106,Misc.,44,0.0097864768683274
ecorating,0.857083915570874,59,EVP,4,0.0110497237569061
svp,0.856751414043107,85,SVP,72,0.00819019451711978
lemonde,0.851619441361601,56,GPS,26,0.00282608695652174
weforum,0.830553984102135,52,GLP,35,0.00435648493900921
weltwoche,0.822443401197084,88,SVP,70,0.00796268911386646
liberatv,0.822112418713545,386,Misc.,118,0.0262455516014235
zofingertagblatt,0.821332911003315,55,SVP,41,0.00466386076669321
azmedien,0.819458728362639,82,FDP,52,0.00898255311798238
suedostschweiz,0.81380043486446,154,BDP,45,0.0214285714285714
faz,0.804413406465145,144,SVP,98,0.011147764759413
economist,0.797479107890033,52,CVP,31,0.00342541436464088
zh,0.770516778392195,80,GLP,42,0.00522778192681105
rsi,0.767810183649016,197,CVP,111,0.0122651933701657
laliberte,0.75435400352252,71,CVP,32,0.00353591160220994
change,0.74056137980246,78,GPS,38,0.0041304347826087
ow,0.728229743714187,67,SP,47,0.00279662025467095
telebaern,0.702832627890612,62,EVP,3,0.00828729281767956
woz,0.698269521052413,140,SP,85,0.00505771748185172
aargauerzeitung,0.695927642918647,1600,EVP,123,0.339779005524862
fb,0.692788677639697,64,CVP,29,0.00320441988950276
wemakeit,0.69233232621925,53,GPS,22,0.00239130434782609
wat,0.688067852695438,214,BDP,37,0.0176190476190476
instagram,0.681964750876574,1159,SVP,471,0.0535775224661586
