url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,82526,9262,0.250087754826515,0.396724266066904,0.0855811163560468
facebook,39529,4499,0.121479681382476,0.446995579105574,0.314005098321592
welt,8377,2716,0.0733360334818415,0.608817180721968,0.303526548273153
youtube,8689,2530,0.0683137572566491,0.604016231585114,0.157851399168102
bild,3525,1387,0.0374510598082895,0.626640984715393,0.39640069101882
jungefreiheit,1354,1354,0.036560010800594,1,1
focus,2451,1106,0.0298636425003375,0.656281295900118,0.34781960511969
faz,4313,736,0.0198730930201161,0.524045016544378,0.202292256027856
spiegel,9733,633,0.0170919400567031,0.276036905482708,0.156384595835697
n-tv,2056,537,0.0144997974888619,0.562982302645753,0.210365605151287
tichyseinblick,732,435,0.0117456460105306,0.741405245834745,0.705496706498725
tagesspiegel,3742,371,0.0100175509653031,0.442927116229766,0.161318242800919
afdbundestag,328,328,0.00885648710679087,1,1
tagesschau,4841,323,0.00872147968138248,0.26779537215924,0.145369895089765
bundestag,4178,322,0.0086944781963008,0.340181861874497,0.181073039125336
afd,277,276,0.00745240988254354,0.99840133596255,0.996833049266575
zeit,2997,263,0.00710139057648171,0.362968413916156,0.190488702371159
sebastian-muenzenmaier,255,255,0.00688537869582827,1,1
sueddeutsche,4757,245,0.00661536384501148,0.215988711831601,0.203036080960481
pboehringer,225,225,0.00607533414337789,1,1
t-online,661,192,0.00518428513568246,0.610710347883648,0.256045125241648
journalistenwatch,189,189,0.00510328068043742,1,1
philosophia-perennis,188,188,0.00507627919535575,1,1
pi-news,185,185,0.00499527474011071,1,1
nzz,430,181,0.00488726879978399,0.673052783515452,0.348046304983398
handelsblatt,2873,178,0.00480626434453895,0.26062294080819,0.201200577385249
bz-berlin,451,170,0.00459025246388551,0.60450565292771,0.389245092437206
mz-web,401,169,0.00456325097880383,0.706546637706695,0.448927841735289
morgenpost,1041,156,0.004212231672742,0.531217272993735,0.399333195672162
rene-springer,146,146,0.00394221682192521,1,1
merkur,459,140,0.00378020791143513,0.559343117268239,0.348611886958118
achgut,145,138,0.00372620494127177,0.898132799780095,0.845986505566827
epochtimes,139,125,0.00337518563520994,0.956048732187064,0.846707267861148
schielke-ziesing,115,115,0.00310517078439314,1,1
mdr,789,114,0.00307816929931146,0.525111959217385,0.236500409577243
friesen-im-bundestag,113,113,0.00305116781422978,1,1
deutschlandfunk,1844,112,0.0030241663291481,0.267324900351877,0.14538970859115
zdf,1423,104,0.00280815444849467,0.305058601502355,0.117299917164968
