url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,11681,1064,0.19476478125572,0.444257860843312,0.228159338507212
facebook,4717,813,0.14881933003844,0.515623019624549,0.347355617635171
ditoverblik,378,376,0.0688266520226982,0.998249527766888,0.995023885287285
dr,3535,348,0.0637012630422845,0.4254852204329,0.152069571834944
jyllands-posten,2063,277,0.0507047409848069,0.506842530797004,0.14363408838774
bt,856,248,0.0453963023979499,0.576831783324041,0.244040318910134
tv2,1746,222,0.0406370126304229,0.476285891035199,0.221098027353497
berlingske,2479,199,0.0364268716822259,0.253700544759814,0.273202379138605
youtube,618,162,0.0296540362438221,0.565686254493673,0.258006952141968
danskfolkeparti,166,161,0.0294709866373787,0.986906238803171,0.966698887649269
ekstrabladet,775,121,0.0221490023796449,0.531619070021594,0.155375945833219
altinget,1398,98,0.0179388614314479,0.283438895137408,0.158733997439512
tv2nord,144,98,0.0179388614314479,0.83027102929086,0.631872346892563
ft,423,93,0.0170236133992312,0.548052978597013,0.253017572917917
politiken,2362,85,0.0155592165476844,0.154458793282806,0.200432189622029
instagram,420,57,0.0104338275672707,0.529301144185547,0.320424335751814
kristeligt-dagblad,160,51,0.00933552992861065,0.573512000976217,0.27757859743076
sermitsiaq,275,48,0.00878638110928062,0.45507694159236,0.905828581478512
denkorteavis,47,44,0.00805418268350723,0.977554871607282,0.951169608058547
fb,120,42,0.00768808347062054,0.595842470757166,0.570314076136179
jv,363,27,0.00494233937397035,0.481297520811666,0.398759729824564
fyens,287,22,0.00402709134175362,0.493728053155735,0.365277284689421
finans,201,21,0.00384404173531027,0.480210480848143,0.173395127999664
tvsyd,119,20,0.00366099212886692,0.572019455591578,0.648016415099964
hsfo,24,20,0.00366099212886692,0.930782156022648,0.846958204927626
tvmidtvest,143,19,0.00347794252242358,0.511161692750251,0.359033640058277
avisen,540,16,0.00292879370309354,0.126865478643484,0.515615909640975
borsen,298,12,0.00219659527732015,0.13464839224751,0.399282636848267
knr,123,10,0.00183049606443346,0.200381014402856,0.935994671875555
tv2ostjylland,81,10,0.00183049606443346,0.501847183391676,0.312321928341157
ritzau,67,10,0.00183049606443346,0.522569802775788,0.291960095836224
bit,66,10,0.00183049606443346,0.548045332466756,0.485257850254554
maskinbladet,14,10,0.00183049606443346,0.848694434484905,0.719021540733041
dagens,25,9,0.00164744645799012,0.615286133268715,0.638725596504261
lokalavisen,55,9,0.00164744645799012,0.503412243216464,0.361291926766515
tv2lorry,90,9,0.00164744645799012,0.303607966954102,0.294432221773074
theguardian,168,9,0.00164744645799012,0.194516671150548,0.640024269882008
cnn,30,9,0.00164744645799012,0.639153061252034,0.536203537114233
forcedthegame,9,9,0.00164744645799012,1,1
limfjordupdate,10,9,0.00164744645799012,0.961826780368777,0.941514269747365
vimeo,40,8,0.00146439685154677,0.535699465525386,0.411067392695512
information,811,8,0.00146439685154677,0.0391778940503636,0.285324247142224
medielogin,134,8,0.00146439685154677,0.234226615621072,0.123694975998859
tv2fyn,115,8,0.00146439685154677,0.457319182987988,0.517361050175059
tv2east,29,8,0.00146439685154677,0.556023487199399,0.582350859425864
alzheimer,11,8,0.00146439685154677,0.889240313849523,0.914583979908473
bbc,37,7,0.00128134724510342,0.518009755943526,0.280915382454267
muskelsvindfonden,13,7,0.00128134724510342,0.737494685591924,0.807037088031326
stiften,105,7,0.00128134724510342,0.320842847418233,0.323205061287204
mynewsdesk,34,7,0.00128134724510342,0.506942451847258,0.695982402375426
landbrugsavisen,49,7,0.00128134724510342,0.5446930732345,0.516562604272968
mfvm,59,7,0.00128134724510342,0.528653743790283,0.574489771647936
nordjyske,42,7,0.00128134724510342,0.533300504979242,0.323028647932644
svt,14,7,0.00128134724510342,0.70295069721839,0.630074190999321
mm,59,6,0.00109829763866008,0.500392661087495,0.350109533279922
arnestur,6,6,0.00109829763866008,1,1
jpost,6,6,0.00109829763866008,1,1
vafo,54,5,0.000915248032216731,0.524532731236604,0.755033184397788
blind,6,5,0.000915248032216731,0.907871171417297,0.917450265688131
lauritz,45,5,0.000915248032216731,0.504098707396557,0.466256611112266
forsvaret,9,5,0.000915248032216731,0.803807343359087,0.810277414952621
patientsikkerhed,6,5,0.000915248032216731,0.934868449289669,0.921603693053111
dagensmedicin,23,5,0.000915248032216731,0.568138385534036,0.647204339124079
greve,5,5,0.000915248032216731,1,1
lf,10,5,0.000915248032216731,0.784002689965283,0.837333094695852
ugeavisen,44,4,0.000732198425773385,0.320833673912141,0.470743823829261
sim,60,4,0.000732198425773385,0.321517333823018,0.284424347004527
retsinformation,8,4,0.000732198425773385,0.735275575043911,0.800633117487191
sn,99,4,0.000732198425773385,0.102712914401082,0.489702596614349
skm,26,4,0.000732198425773385,0.515666069856671,0.538716089765711
ugeskriftet,13,4,0.000732198425773385,0.630332263870806,0.589141270685073
ift,10,4,0.000732198425773385,0.749435459033396,0.813073486287954
avisendanmark,6,4,0.000732198425773385,0.781103498016589,0.897947546703406
nypost,5,4,0.000732198425773385,0.920903807563003,0.919455286633624
version2,10,4,0.000732198425773385,0.671830669689759,0.584546008412044
jyskebank,5,4,0.000732198425773385,0.920903807563003,0.919455286633624
folkeskolen,141,3,0.000549148819330038,0.106296963082047,0.563303731842106
ing,109,3,0.000549148819330038,0.116711215493928,0.312671392316726
dknyt,21,3,0.000549148819330038,0.511751270426093,0.526463634259198
fagbladet3f,206,3,0.000549148819330038,0.0778391734634485,0.782643264234392
sundhedspolitisktidsskrift,10,3,0.000549148819330038,0.619341522626714,0.679609127810919
trm,139,3,0.000549148819330038,0.182728793414705,0.582747293233868
denoffentlige,19,3,0.000549148819330038,0.39062055839189,0.455651795518548
a4arbejdsliv,113,3,0.000549148819330038,0.117123577401329,0.401144895782488
sst,24,3,0.000549148819330038,0.439652559458849,0.448795408489247
danskindustri,29,3,0.000549148819330038,0.401019680434776,0.608150845839479
nytimes,67,3,0.000549148819330038,0.189944431586595,0.547464334170794
weekendavisen,20,3,0.000549148819330038,0.518794889505528,0.510350304116034
aeldresagen,9,3,0.000549148819330038,0.649766227330606,0.718844549644591
helsingordagblad,6,3,0.000549148819330038,0.601985946014231,0.841443386242541
lif,5,3,0.000549148819330038,0.829527901817059,0.905397454980402
fla,10,3,0.000549148819330038,0.600399717712061,0.698551394318738
herningfolkeblad,12,3,0.000549148819330038,0.58579388924488,0.758562855524029
valgfyn,3,3,0.000549148819330038,1,1
uriasposten,3,3,0.000549148819330038,1,1
expressen,4,3,0.000549148819330038,0.917333987034919,0.918906083475458
newspeek,3,3,0.000549148819330038,1,1
danmark-i-brand,3,3,0.000549148819330038,1,1
24nyt,3,3,0.000549148819330038,1,1
mio,20,2,0.000366099212886692,0.276794786994208,0.871432227675697
