url_core,N_url,N,rel_party,insularity_party,insularity_media
facebook,3382,991,0.228498962416417,0.60463687541924,0.258871958384301
twitter,8863,660,0.152178925524556,0.269031856833695,0.283933188992261
ots,1255,253,0.0583352547844132,0.529869096159201,0.107033486177232
krone,469,252,0.0581046806548305,0.735655805887478,0.407631268448074
diepresse,853,205,0.0472676965644455,0.5348087871455,0.293258695513482
orf,1406,200,0.0461148259165322,0.451075680013036,0.0295084238279293
oe24,188,131,0.0302052109753286,0.828922834267846,0.530946534679819
fpoe,128,126,0.0290523403274153,0.99388865137139,0.98218652352525
instagram,454,125,0.0288217661978326,0.547831391631088,0.324497879664386
kurier,741,121,0.027899469679502,0.501570291055798,0.114560441828465
youtube,586,97,0.0223656905695181,0.450110494485443,0.154363644846317
heute,208,76,0.0175236338482822,0.658056078097474,0.337216229915689
derstandard,1754,65,0.014987318422873,0.109651481196811,0.26363140685003
unzensuriert,59,56,0.012912151256629,0.9784408187331,0.947307874638577
welt,98,55,0.0126815771270463,0.74441176010442,0.430962966685375
kleinezeitung,277,31,0.00714779801706249,0.259299937682744,0.385713797565581
spiegel,85,28,0.0064560756283145,0.645350389190129,0.319821546718827
faz,45,24,0.00553377910998386,0.686952835123721,0.532462615131231
erstaunlich,21,21,0.00484205672123588,1,1
meinbezirk,116,20,0.00461148259165322,0.513347377772811,0.172914857275584
nachrichten,228,20,0.00461148259165322,0.304235227324366,0.185133339740175
focus,27,20,0.00461148259165322,0.885058810721014,0.749506977428568
parlament,295,19,0.00438090846207056,0.232121521820061,0.334530596369117
zeit,73,17,0.00391976020290523,0.556832173206826,0.122705989589403
tt,89,16,0.00368918607332257,0.506501509723792,0.255836143549906
sueddeutsche,81,16,0.00368918607332257,0.546951053658282,0.286569431380344
nzz,51,15,0.00345861194373991,0.586167847096181,0.401723805943839
thedailyfranz,15,15,0.00345861194373991,1,1
schnedlitz,15,15,0.00345861194373991,1,1
profil,156,14,0.00322803781415725,0.285509307596494,0.177998401895455
fb,27,14,0.00322803781415725,0.751313833474605,0.4039828850723
sn,89,12,0.00276688955499193,0.400475060229405,0.143701541002446
wienerzeitung,136,11,0.00253631542540927,0.227935051399226,0.214270249504204
pscp,22,10,0.00230574129582661,0.729363457016903,0.468427665579172
bvz,11,9,0.00207516716624395,0.915950915489682,0.865752076246135
handelsblatt,20,9,0.00207516716624395,0.724464661243335,0.539638891569033
rt,8,8,0.00184459303666129,1,1
bmk,9,8,0.00184459303666129,0.956235771832669,0.922629698279015
bit,18,8,0.00184459303666129,0.647021631231179,0.491469977374341
wochenblick,8,8,0.00184459303666129,1,1
bizeps,12,8,0.00184459303666129,0.853517610937032,0.743131068077854
tips,18,7,0.00161401890707863,0.685370677367418,0.502916349875269
add,20,7,0.00161401890707863,0.656642167131592,0.503545083160288
bild,20,7,0.00161401890707863,0.625349274957059,0.196201741090117
nytimes,39,7,0.00161401890707863,0.510502884835853,0.202214667642146
n-tv,15,7,0.00161401890707863,0.704011971586217,0.334101509140132
news,39,7,0.00161401890707863,0.525163172441301,0.262983099609044
noen,33,7,0.00161401890707863,0.560199301062181,0.455492264397836
puls4,27,7,0.00161401890707863,0.563816763086533,0.155648276414189
dietagespresse,70,6,0.00138344477749596,0.303237956396516,0.295116580653843
wikipedia,51,6,0.00138344477749596,0.410226499768876,0.313401213724532
tagesspiegel,16,6,0.00138344477749596,0.67899523007786,0.426063061591447
addendum,29,6,0.00138344477749596,0.549097283085704,0.565364283863529
efganidoenmez,7,6,0.00138344477749596,0.942978627174622,0.902616138731023
suedtiroler-freiheit,6,6,0.00138344477749596,1,1
orf-watch,6,6,0.00138344477749596,1,1
andreas-unterberger,7,6,0.00138344477749596,0.863794532938043,0.814107102886561
epochtimes,6,6,0.00138344477749596,1,1
sputniknews,6,6,0.00138344477749596,1,1
fischundfleisch,9,6,0.00138344477749596,0.843708006956729,0.723125380347053
fob,10,6,0.00138344477749596,0.758848919552801,0.597589708351684
regionews,6,6,0.00138344477749596,1,1
unser-mitteleuropa,6,6,0.00138344477749596,1,1
ortneronline,6,5,0.0011528706479133,0.928896044278894,0.882793603779143
jungefreiheit,5,5,0.0011528706479133,1,1
deutsche-wirtschafts-nachrichten,6,5,0.0011528706479133,0.928896044278894,0.882793603779143
allesroger,5,5,0.0011528706479133,1,1
mdr,5,5,0.0011528706479133,1,1
bazonline,5,5,0.0011528706479133,1,1
vienna,14,5,0.0011528706479133,0.636741923367791,0.286317594982565
bka,10,5,0.0011528706479133,0.719110708972889,0.575237263302436
servustv,6,5,0.0011528706479133,0.843379846304963,0.806683580474532
