url_core,N_url,N,rel_party,insularity_party,insularity_media
facebook,90634,12687,0.443663449433487,0.52431214893422,0.118397067283278
twitter,17723,2152,0.0752552804588054,0.388396670125476,0.170399905243219
instagram,5389,1161,0.0406000839278221,0.585005720057964,0.201105202698317
youtube,9045,896,0.0313330535739264,0.354329100371915,0.122688746373727
ilgiornale,1361,671,0.0234648202545811,0.64991240706682,0.587703732209516
sap-nazionale,514,508,0.0177647223387886,0.989356467341924,0.973387532025045
corriere,2689,481,0.0168205343404672,0.508837720463133,0.160907250738063
ansa,1420,359,0.0125542033850888,0.573095216371594,0.176845645299566
ilpopulista,321,317,0.011085466498811,0.996463297807155,0.989681568006846
repubblica,4182,310,0.0108406770177647,0.226622356388056,0.291356890433718
affaritaliani,747,235,0.00821793257798294,0.564564067644609,0.391892561995012
fb,1796,212,0.00741362428311652,0.466938295263874,0.305831096583263
mediaset,488,207,0.00723877465379773,0.641692425177536,0.346701221107564
forlitoday,198,184,0.00643446635893132,0.939772846813149,0.900338490198791
liberoquotidiano,499,179,0.00625961672961253,0.572808601887862,0.532192829166198
bergamonews,271,171,0.00597985732270248,0.723697348560792,0.722712021860021
ilmessaggero,666,168,0.00587494754511121,0.526458749570077,0.30666902399775
ecodibergamo,226,166,0.00580500769338369,0.810862210713929,0.711043450811272
lastampa,1215,155,0.00542033850888236,0.371972279755692,0.249059973042818
la7,670,135,0.00472093999160722,0.516682124713197,0.222120791103068
gelocal,394,125,0.00437124073296965,0.601451893218247,0.364613971588632
huffingtonpost,1361,114,0.00398657154846832,0.249590876716924,0.321342884771489
agenparl,497,109,0.00381172191914953,0.524096186081065,0.339555556693029
adnkronos,451,105,0.0036718422156945,0.534885956615494,0.275545238286256
ilsole24ore,1352,98,0.0034270527346482,0.255955678845398,0.304442081617744
legaonline,95,95,0.00332214295705693,1,1
giannitonelli,88,88,0.00307735347601063,1,1
ariannalazzarini,84,84,0.0029374737725556,1,1
sky,450,82,0.00286753392082809,0.525505500752058,0.168940579746441
padovaoggi,85,80,0.00279759406910057,0.964457154046201,0.885433938204759
rainews,446,78,0.00272765421737306,0.509748807294156,0.207226980314879
askanews,173,77,0.0026926842915093,0.662845830868683,0.301932859058358
paolotiramani,74,74,0.00258777451391803,1,1
secoloditalia,561,73,0.00255280458805427,0.235961288393564,0.81519744546293
ilfattoquotidiano,2077,71,0.00248286473632676,0.191176489884558,0.295623007044957
intelligonews,195,68,0.00237795495873549,0.637237092679432,0.419001670959336
raiplay,208,67,0.00234298503287173,0.585921508115925,0.266067821065367
fanpage,490,66,0.00230801510700797,0.465878494597006,0.22331734133966
ilgazzettino,128,65,0.00227304518114422,0.687293508378297,0.425837237612534
lapadania,62,62,0.00216813540355294,1,1
twitlonger,73,62,0.00216813540355294,0.851440907364166,0.814469951404335
ilgiorno,110,59,0.00206322562596167,0.714561455449306,0.391395204403856
lavocedeltrentino,62,58,0.00202825570009792,0.975034427159006,0.939571365072669
regione,572,57,0.00199328577423416,0.287869280286018,0.455266315067153
leganord,57,56,0.0019583158483704,0.983242518856059,0.969076073304592
bit,755,55,0.00192334592250664,0.268429114638693,0.164784547010715
renziacasa,55,55,0.00192334592250664,1,1
abruzzoweb,93,55,0.00192334592250664,0.740895687352027,0.53425278185953
agi,229,53,0.00185340607077913,0.538865532918825,0.19122259352666
vimeo,98,53,0.00185340607077913,0.752193653161049,0.473293989779405
canturino,52,52,0.00181843614491537,1,1
genova24,84,51,0.00178346621905162,0.700986846621505,0.551476432264709
cesenatoday,52,51,0.00178346621905162,0.990263988840445,0.981431875040003
livornopress,54,50,0.00174849629318786,0.939932085648941,0.879744369625518
camera,1289,49,0.0017135263673241,0.179195676993634,0.200475210297298
wordpress,561,47,0.00164358651559659,0.395674390435476,0.242905511554977
iltempo,236,45,0.00157364666386907,0.47521701695994,0.396147383224998
dagospia,366,44,0.00153867673800532,0.428399911686737,0.436705938782013
fabriziocecchetti,44,44,0.00153867673800532,1,1
lavocedelnordest,43,43,0.00150370681214156,1,1
formiche,327,42,0.0014687368862778,0.406705911632411,0.203441135678108
ilcapoluogo,48,41,0.00143376696041404,0.902074431834685,0.811065549726218
tgverona,43,40,0.00139879703455029,0.964026698986441,0.924532044834309
laprovinciadicomo,40,39,0.00136382710868653,0.98733334244549,0.976175564707386
ilgiornaleditalia,70,37,0.00129388725695902,0.660959954329252,0.690743408105779
ilsecoloxix,83,37,0.00129388725695902,0.62800670843901,0.508449824190984
espansionetv,39,37,0.00129388725695902,0.962776663795978,0.915691011422903
raiplayradio,101,36,0.00125891733109526,0.601555350310895,0.284575263427952
lanuovabq,35,35,0.0012239474052315,1,1
riminitoday,40,35,0.0012239474052315,0.905430932571047,0.775237407352179
renatapolverini,43,33,0.00115400755350399,0.852970813814365,0.81258535112475
ilrestodelcarlino,64,32,0.00111903762764023,0.674060215205327,0.514770258531832
lorenzofontana,31,31,0.00108406770177647,1,1
radioradicale,402,30,0.00104909777591272,0.20428205004516,0.313838732858935
quotidiano,79,30,0.00104909777591272,0.615900426695088,0.236792320062576
ilmattino,231,29,0.00101412785004896,0.443247982485606,0.271585578586092
agenziastampaitalia,58,29,0.00101412785004896,0.713221800844216,0.650006515304094
lombardiaquotidiano,46,28,0.000979157924185201,0.688682028319306,0.761237922841779
vvox,59,28,0.000979157924185201,0.743154532117748,0.480431541001886
antoniosocci,28,28,0.000979157924185201,1,1
primocanale,60,28,0.000979157924185201,0.62041104335186,0.631997647334404
robertocota,29,27,0.000944187998321444,0.959894163483998,0.933186402966378
blitzquotidiano,64,26,0.000909218072457686,0.630658537162438,0.431646041087243
leggo,78,26,0.000909218072457686,0.57281132815261,0.374681413209959
erbanotizie,27,26,0.000909218072457686,0.958251994674195,0.93092310272502
