url_core,N_url,N,rel_party,insularity_party,insularity_media
facebook,90634,46763,0.510747285873435,0.540588612400293,0.118397067283278
beppegrillo,7347,7123,0.0777976801590249,0.944238615045511,0.893533529974154
ilblogdellestelle,4305,4200,0.0458725616549073,0.937847437121836,0.869239140252412
youtube,9045,3601,0.0393302605998384,0.444765328181429,0.122688746373727
twitter,17723,3265,0.0356604556674458,0.184045586594748,0.170399905243219
instagram,5389,2794,0.0305161755390026,0.543195077605199,0.201105202698317
ilfattoquotidiano,2077,1521,0.01661242054217,0.629854830676811,0.295623007044957
movimento5stelle,968,956,0.010441468795736,0.977533584330402,0.959604840843996
fb,1796,921,0.0100591974486118,0.522261095001229,0.305831096583263
fabianadadone,769,768,0.00838812555975447,0.997586177369024,0.995229925309249
camera,1289,638,0.0069682605561502,0.538120119970039,0.200475210297298
repubblica,4182,611,0.00667336551694008,0.139505477011213,0.291356890433718
startupitalia,586,559,0.00610541951549837,0.895346211374883,0.725717193164191
claudiocominardi,433,432,0.00471832062736189,0.995722526516884,0.991624189568861
corriere,2689,366,0.00399746608707049,0.131428878882105,0.160907250738063
ansa,1420,333,0.00363703881692479,0.271910541784509,0.176845645299566
bit,755,304,0.00332029970073615,0.46339303740128,0.164784547010715
angelotofalo,295,295,0.00322200135433277,1,1
francescabusinarolo,288,288,0.00314554708490793,1,1
ilsole24ore,1352,287,0.00313462504641866,0.23411518403852,0.304442081617744
gianlucavacca,249,249,0.00271958758382665,1,1
wordpress,561,244,0.00266497739138033,0.523593732857236,0.242905511554977
paoloromano,230,230,0.00251206885253064,1,1
riccardofraccaro,203,203,0.00221717381332052,1,1
huffingtonpost,1361,180,0.00196596692806745,0.123085062743038,0.321342884771489
italiaincrisi,180,180,0.00196596692806745,1,1
goo,547,176,0.0019222787741104,0.299865317729567,0.368912586143146
fanpage,490,176,0.0019222787741104,0.388016672316884,0.22331734133966
businessinsider,196,175,0.00191135673562114,0.800465811366136,0.482253540327999
eposweb,171,171,0.00186766858166408,1,1
globalist,476,167,0.00182398042770703,0.330181606344943,0.556720796122592
generosomaraia,163,163,0.00178029227374997,1,1
google,348,162,0.00176937023526071,0.513794174639665,0.189442852691514
mariaederaspadoni,161,161,0.00175844819677145,1,1
shortswitch,159,159,0.00173660411979292,1,1
filippogallinella,143,143,0.0015618515039647,1,1
corrieredellacalabria,301,137,0.00149631927302912,0.547641600314894,0.686428873468395
agricolae,240,133,0.00145263111907206,0.54892540332969,0.487567255415544
lastampa,1215,127,0.00138709888813648,0.0951900577466149,0.249059973042818
federicadaga,121,121,0.0013215666572009,1,1
sky,450,113,0.00123419034928679,0.281066259087931,0.168940579746441
federicodinca,111,111,0.00121234627230826,1,1
change,333,109,0.00119050219532974,0.370893487126501,0.168820489642671
acli,105,102,0.00111404792590489,0.956031762757873,0.927911538421305
la7,670,99,0.0010812818104371,0.13744495258212,0.222120791103068
manliodistefano,97,97,0.00105943773345857,1,1
techcrunch,96,96,0.00104851569496931,1,1
wired,138,91,0.000993905502522991,0.588120094985968,0.440772373099889
certastampa,91,91,0.000993905502522991,1,1
dalilanesci,90,88,0.0009611393870552,0.960553668911437,0.934104096046519
rainews,446,87,0.000950217348565936,0.19455896785424,0.207226980314879
arezzonotizie,91,83,0.000906529194608882,0.831529406826108,0.595342637756358
mise,98,80,0.000873763079141091,0.732862598981591,0.476687382114747
governo,234,77,0.0008409969636733,0.43172970032296,0.449388143801777
emanuelescagliusi,76,76,0.000830074925184036,1,1
pscp,362,74,0.000808230848205509,0.170845002940435,0.295029375727026
orizzontescuola,149,73,0.000797308809716246,0.505573349605724,0.402365920007013
martagrande,73,73,0.000797308809716246,1,1
m5steramo,71,71,0.000775464732737718,1,1
ilmessaggero,666,70,0.000764542694248455,0.0857274733695016,0.30666902399775
federicadieni,70,70,0.000764542694248455,1,1
intelligonews,195,68,0.000742698617269927,0.413340084029427,0.419001670959336
quotidianosanita,160,68,0.000742698617269927,0.515749224572854,0.290406590039447
paper,105,66,0.0007208545402914,0.570915445548202,0.453522419481239
adnkronos,451,65,0.000709932501802136,0.137142684262268,0.275545238286256
mediaset,488,65,0.000709932501802136,0.132414482298381,0.346701221107564
wp,99,63,0.000688088424823609,0.574198111126827,0.546300562135637
europa,408,61,0.000666244347845082,0.191289995494536,0.541264263482927
sicilia5stelle,62,61,0.000666244347845082,0.944476036813022,0.913082182204025
affaritaliani,747,60,0.000655322309355818,0.0707626635557363,0.391892561995012
benecomune,67,59,0.000644400270866555,0.8406580470165,0.864468560082314
publicpolicy,166,58,0.000633478232377291,0.448375290362497,0.352597071938751
veronasera,68,58,0.000633478232377291,0.781280424148936,0.663875450879151
dagospia,366,57,0.000622556193888027,0.173332716284127,0.436705938782013
lantidiplomatico,60,57,0.000622556193888027,0.87198888201818,0.821887403053704
agi,229,53,0.000578868039930973,0.228995747789164,0.19122259352666
altervista,97,53,0.000578868039930973,0.54892555776851,0.288621409986686
mit,84,53,0.000578868039930973,0.621384879056726,0.594462907729561
talentgarden,51,51,0.000557023962952446,1,1
meetup,50,50,0.000546101924463182,1,1
lanotiziagiornale,69,50,0.000546101924463182,0.63837267950345,0.443845474746968
linkiesta,346,49,0.000535179885973918,0.122676743776952,0.326813535690307
paoloparentela,49,49,0.000535179885973918,1,1
formiche,327,48,0.000524257847484655,0.145171519680458,0.203441135678108
spotify,65,45,0.000491491732016864,0.606047186454127,0.472284794916432
movimento5stelletoscana,43,43,0.000469647655038336,1,1
rai,235,42,0.000458725616549073,0.180529290669636,0.228806632271648
vita,270,42,0.000458725616549073,0.150333914803884,0.410169397993276
agcult,120,42,0.000458725616549073,0.363565693622685,0.595660097771626
ilmattino,231,41,0.000447803578059809,0.195722888899327,0.271585578586092
bloomberg,78,41,0.000447803578059809,0.54395406054156,0.337339309087992
galloluigi,41,41,0.000447803578059809,1,1
ilgiornale,1361,40,0.000436881539570545,0.0260562212858365,0.587703732209516
cagliaripad,44,39,0.000425959501081282,0.83365766954047,0.679150533814388
corrierecomunicazioni,58,37,0.000404115424102755,0.621792999149453,0.540733577049345
efdd-m5seuropa,37,37,0.000404115424102755,1,1
mirellaliuzzi,37,37,0.000404115424102755,1,1
dariotamburrano,36,36,0.000393193385613491,1,1
linchiestaquotidiano,36,36,0.000393193385613491,1,1
feedburner,51,36,0.000393193385613491,0.608124086614983,0.660907809408065
