url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,39055,6533,0.437136165941787,0.511945562027118,0.0900679856826536
telegraaf,4413,1640,0.109735697557712,0.587633631293274,0.264035409546425
youtube,2467,776,0.0519237203077952,0.516455645352613,0.299371005189556
dpgmedia,4932,608,0.0406825025092004,0.500686130372134,0.119470036665002
geenstijl,445,393,0.0262964202074272,0.809774277966951,0.692911384287257
pvv,380,380,0.0254265640682503,1,1
nos,5511,365,0.0244228839076614,0.250177212681912,0.163871012142475
rtlnieuws,1845,343,0.0229508196721311,0.52333942823791,0.157183577246615
tpo,521,326,0.0218133154901305,0.649422603064614,0.434792848836164
volkskrant,2405,144,0.00963532954165273,0.210261107474005,0.176796271709197
dagelijksestandaard,206,102,0.00682502509200402,0.517417640666783,0.761161751059436
nu,2085,94,0.00628972900635664,0.179185561888804,0.162153626170449
nrc,2211,88,0.00588825694212111,0.15451896450549,0.21444942950041
trouw,1463,82,0.00548678487788558,0.209339964778216,0.250105735599276
wnl,254,81,0.00541987286717966,0.551996089563124,0.405526392719357
parool,584,71,0.00475075276012044,0.471811095353585,0.203074623794323
voiceofeurope,61,61,0.00408163265306122,1,1
breitbart,57,57,0.00381398461023754,1,1
elsevierweekblad,149,51,0.00341251254600201,0.507306946037373,0.579068266269968
tweedekamer,1945,49,0.00327868852459016,0.128593353194174,0.285215890917231
wordpress,167,48,0.00321177651388424,0.55225047699767,0.402859548099544
facebook,1881,45,0.00301104048176648,0.0837815023865505,0.307734498540421
ongehoordnederland,64,44,0.00294412847106056,0.54915408433286,0.891032949134861
elsevier,154,41,0.00274339243894279,0.570814496102521,0.468996332649429
opiniez,47,41,0.00274339243894279,0.717968365354393,0.840024126343629
briefjevanjan,38,37,0.0024757443961191,0.863547135357224,0.937053544612501
rtvoost,235,36,0.00240883238541318,0.52025251273676,0.462352787013531
parlementairemonitor,126,36,0.00240883238541318,0.562275461009797,0.427097938754173
zoomin,64,36,0.00240883238541318,0.570876555471814,0.745740667266266
hartvannederland,135,35,0.00234192037470726,0.533770611129781,0.286148771991875
dailymail,45,35,0.00234192037470726,0.733328671922532,0.650941939767579
limburger,147,34,0.00227500836400134,0.549088101333207,0.424897611992826
at5,178,32,0.0021411843425895,0.50510339243417,0.326528791953512
gscdn,32,32,0.0021411843425895,1,1
avrotros,454,31,0.00207427233188357,0.246363010772446,0.258392334672844
petities,112,30,0.00200736032117765,0.518626993249258,0.450598147722266
joostniemoller,27,27,0.00180662428905989,1,1
rijksoverheid,1200,26,0.00173971227835396,0.119144608765589,0.338584835016936
omroepbrabant,254,26,0.00173971227835396,0.471566752838725,0.338796088753071
pvv-europa,26,26,0.00173971227835396,1,1
ndcmediagroep,456,25,0.00167280026764804,0.239602658379445,0.262045388027342
reuters,99,25,0.00167280026764804,0.546888823292497,0.332255274283092
metronieuws,107,25,0.00167280026764804,0.521209190665624,0.255694003368507
omroepwest,277,25,0.00167280026764804,0.511596184975104,0.461477366869988
ad,132,23,0.0015389762462362,0.545894514210567,0.505103000445731
express,34,23,0.0015389762462362,0.714795077577077,0.765426858382518
fd,1296,22,0.00147206423553028,0.0682060619006789,0.372868265389746
politie,81,22,0.00147206423553028,0.597143484639221,0.641531862569407
com,98,22,0.00147206423553028,0.583457593331421,0.703185301471219
officielebekendmakingen,264,21,0.00140515222482436,0.359157508876922,0.328337995458396
tpook,25,21,0.00140515222482436,0.736807183418539,0.801834572140041
wsj,45,21,0.00140515222482436,0.645814864757998,0.524652686877155
dumpert,26,20,0.00133824021411843,0.88744884916777,0.84585621872685
wikipedia,91,19,0.00127132820341251,0.533525806736263,0.293966489607004
jpost,25,19,0.00127132820341251,0.737328289831725,0.806423087020763
nporadio1,450,18,0.00120441619270659,0.14263878784635,0.168389892454597
bbc,159,18,0.00120441619270659,0.453762220429744,0.232208131973549
bnr,499,17,0.00113750418200067,0.161701267219101,0.267731365889975
jihadwatch,17,17,0.00113750418200067,1,1
israelnationalnews,22,17,0.00113750418200067,0.720017685065594,0.924208664729937
gatestoneinstitute,17,17,0.00113750418200067,1,1
rd,366,16,0.00107059217129475,0.095366075575249,0.565625385489388
geertwilders,16,16,0.00107059217129475,1,1
kominactievooruwpensioen,29,15,0.00100368016058883,0.554486664848414,0.907484012366455
powned,38,15,0.00100368016058883,0.55040353993866,0.606662918259593
telegraph,33,14,0.000936768149882904,0.607138886509071,0.513685164618717
rijnmond,113,14,0.000936768149882904,0.454012276871328,0.430605130699616
1limburg,181,14,0.000936768149882904,0.279580094295187,0.563563910146023
foxnews,18,13,0.000869856139176982,0.663050078023829,0.799855076686602
mediacourant,16,13,0.000869856139176982,0.769734778225793,0.840172917490548
npostart,124,12,0.000802944128471061,0.454033277514132,0.246641453389994
vimeo,78,12,0.000802944128471061,0.503892255909603,0.250442424790136
bol,39,12,0.000802944128471061,0.520893042192451,0.554689031398595
boerenbusiness,55,12,0.000802944128471061,0.539887852737498,0.563269658407466
rt,12,12,0.000802944128471061,1,1
timesofisrael,19,12,0.000802944128471061,0.637558419450939,0.834555474715644
dierenhulp,12,12,0.000802944128471061,1,1
nytimes,202,11,0.000736032117765139,0.214322721049926,0.345301831735743
curriculum,33,11,0.000736032117765139,0.573842167888059,0.495923172617404
demorgen,26,11,0.000736032117765139,0.58644344635197,0.491280787721786
nieuwsblad,19,11,0.000736032117765139,0.677970159613431,0.671189231291486
referendum,11,11,0.000736032117765139,1,1
wyniasweek,12,11,0.000736032117765139,0.76026847913764,0.926182107115703
omroepzeeland,130,10,0.000669120107059217,0.45792269515812,0.543803214103978
nhnieuws,67,10,0.000669120107059217,0.369492560531664,0.474363577132122
backme,12,10,0.000669120107059217,0.686343048583898,0.87433549112605
independent,68,9,0.000602208096353295,0.421985548657308,0.4089474776361
instagram,244,9,0.000602208096353295,0.149092941492284,0.374639429876943
zorgvisie,130,9,0.000602208096353295,0.342368722510491,0.509978815847552
stopsluitinggevangenissen,9,9,0.000602208096353295,1,1
google,80,8,0.000535296085647374,0.341806512373551,0.278307932810938
bnnvara,420,8,0.000535296085647374,0.0529305404349301,0.368283456532775
eerstekamer,44,8,0.000535296085647374,0.544180137383151,0.541892122024112
theguardian,382,8,0.000535296085647374,0.0695068789939748,0.425133895708799
cnn,54,8,0.000535296085647374,0.513258021136117,0.540023330070456
rtvutrecht,121,8,0.000535296085647374,0.254251772750915,0.368167840131558
scienceguide,121,8,0.000535296085647374,0.335627281159841,0.42802879945341
ekathimerini,8,8,0.000535296085647374,1,1
knack,19,8,0.000535296085647374,0.554379394081127,0.603470643451487
rechtspraak,73,8,0.000535296085647374,0.500437300738998,0.494978888545522
