url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,47454,3318,0.335965978128797,0.470040739436442,0.110810596473132
eldiario,4185,1097,0.111077359254759,0.587278003341286,0.382847359751774
publico,1542,625,0.0632847306601863,0.643891415964082,0.403883452440455
podemos,620,581,0.0588294856217092,0.964323069191702,0.929221284127737
youtube,4977,574,0.0581206966383151,0.52718813873965,0.154273194571946
elpais,6224,423,0.0428311057108141,0.419048106582548,0.355423759233911
lavanguardia,1810,187,0.0189347914135277,0.419851895210242,0.311714399749443
cadenaser,1729,127,0.0128594572701499,0.513148965286101,0.389725556462737
elsaltodiario,177,125,0.0126569461320373,0.768028554001186,0.712382365693753
spreaker,130,125,0.0126569461320373,0.990950285365932,0.977280753098817
europapress,1786,111,0.0112393681652491,0.45544099368777,0.18369837888261
facebook,4999,103,0.0104293236127987,0.185073182096916,0.510960209884571
elconfidencial,1582,91,0.00921425678412313,0.500846542189287,0.360467676449629
laverdad,212,81,0.00820170109356015,0.801301672611702,0.725319236951405
elmundo,3631,74,0.00749291211016606,0.203226047778491,0.480337924864934
ctxt,191,70,0.00708788983394087,0.568213130952063,0.567201265322054
laopiniondemurcia,152,70,0.00708788983394087,0.80591975192207,0.688437886604062
20minutos,603,66,0.00668286755771567,0.556933009991701,0.414784644160518
laultimahora,74,63,0.00637910085054678,0.844596129661085,0.840988839230173
rtve,575,61,0.00617658971243418,0.501174854418113,0.366257875728182
elespanol,1362,50,0.00506277845281491,0.29448930145784,0.452558422119158
cuartopoder,150,48,0.00486026731470231,0.53552581659685,0.602189507673854
elperiodico,1030,46,0.00465775617658971,0.156851471369602,0.50631750452692
infolibre,381,43,0.00435398946942082,0.536510239650838,0.428428716714321
huffingtonpost,528,42,0.00425273390036452,0.517085165557211,0.441190249541228
elcorreo,134,39,0.00394896719319563,0.547789480224992,0.605829665616632
eitb,149,35,0.00354394491697043,0.242010218141042,0.793767532346363
lamarea,67,32,0.00324017820980154,0.619775212762562,0.605848232174986
congreso,434,31,0.00313892264074524,0.50038085573778,0.33616900707831
efeverde,338,30,0.00303766707168894,0.591003214574323,0.845338579601993
lasexta,268,29,0.00293641150263264,0.51794292040033,0.296744920091526
elplural,471,29,0.00293641150263264,0.500068217036812,0.595501309742808
abc,3909,24,0.00243013365735115,0.0885442099744589,0.664454430700616
diarioinformacion,228,23,0.00232887808829486,0.534548237184557,0.731224660978725
mscbs,221,23,0.00232887808829486,0.54276778668741,0.680743299353583
elboletin,166,22,0.00222762251923856,0.55203708922609,0.46270134427108
diariovasco,70,22,0.00222762251923856,0.553517550908715,0.611289926739387
nuevatribuna,131,21,0.00212636695018226,0.587102438586556,0.578305055796618
change,173,21,0.00212636695018226,0.532587892921017,0.37580738826434
atresplayer,142,19,0.00192385581206966,0.524536343323904,0.658672965285987
instituto25m,19,19,0.00192385581206966,1,1
levante-emv,333,19,0.00192385581206966,0.536103391326446,0.654141703879894
pscp,479,17,0.00172134467395707,0.19541002048773,0.430626208370342
diario16,290,17,0.00172134467395707,0.31086399311619,0.539570118003504
juantxo,17,17,0.00172134467395707,1,1
google,133,16,0.00162008910490077,0.533689651969488,0.237839546968295
elcomercio,157,15,0.00151883353584447,0.577419787542412,0.649356575958942
elindependiente,388,15,0.00151883353584447,0.409858309432503,0.476487967783199
lainformacion,151,15,0.00151883353584447,0.537787314375449,0.407913967975013
lne,73,14,0.00141757796678817,0.670667957716488,0.759435001741198
t,69,14,0.00141757796678817,0.511712936480066,0.769441742485236
granadahoy,43,14,0.00141757796678817,0.689410422575698,0.686640637006152
carm,15,14,0.00141757796678817,0.989483023325015,0.981323136325544
lavozdeasturias,67,13,0.00131632239773188,0.628842820383411,0.662065626354546
lavozdelsur,27,13,0.00131632239773188,0.870249525158609,0.867257328763356
alicanteplaza,45,13,0.00131632239773188,0.748126753312109,0.81671387480554
wordpress,273,12,0.00121506682867558,0.358073421551805,0.340042590448819
theguardian,96,12,0.00121506682867558,0.51546227782431,0.45339307247267
maldita,39,12,0.00121506682867558,0.665187522754046,0.605923285480614
marisasaavedra,12,12,0.00121506682867558,1,1
telegra,12,11,0.00111381125961928,0.763924080891141,0.926566907300282
goteo,23,11,0.00111381125961928,0.70211121977028,0.773631357346704
elperiodic,65,11,0.00111381125961928,0.610688328271573,0.70759058245233
spotify,106,10,0.00101255569056298,0.170991504956952,0.832080934922946
vozpopuli,699,10,0.00101255569056298,0.151305414289689,0.683654359287412
instagram,1400,10,0.00101255569056298,0.0797960646420893,0.399114202872101
laprovincia,147,10,0.00101255569056298,0.519619880747545,0.833611947494019
radiocable,15,10,0.00101255569056298,0.905200952377141,0.880250917017291
valenciaplaza,232,10,0.00101255569056298,0.513327669929033,0.701383396966035
deia,40,10,0.00101255569056298,0.195182499652471,0.882090134277927
efe,195,9,0.000911300121506683,0.428750817078138,0.389929006657815
cuatro,66,9,0.000911300121506683,0.530441623358972,0.485945387904828
canarias7,151,9,0.000911300121506683,0.512759604763444,0.767589506804939
contrainformacion,14,9,0.000911300121506683,0.631385680668814,0.803280513970596
lavozdegalicia,670,8,0.000810044552450385,0.0692399131707117,0.793396019299323
telecinco,119,8,0.000810044552450385,0.505140229902302,0.498534693095478
bit,249,8,0.000810044552450385,0.309141861127606,0.438514258512944
elsiglodeuropa,52,8,0.000810044552450385,0.532808542204598,0.548717641908128
cordopolis,458,8,0.000810044552450385,0.417875458708256,0.929832036387779
diariodesevilla,125,8,0.000810044552450385,0.526726202428375,0.632141200026793
defenderpodemos,8,8,0.000810044552450385,1,1
antena3,141,7,0.000708788983394087,0.511380455643904,0.544232310096523
diariosur,197,7,0.000708788983394087,0.505229363549992,0.629488173536643
eleconomista,417,7,0.000708788983394087,0.133397370643871,0.487877135831339
ideal,117,7,0.000708788983394087,0.525700231460478,0.540009761537354
ondacero,180,7,0.000708788983394087,0.322550070978257,0.461412343690919
kaosenlared,9,7,0.000708788983394087,0.693664507591566,0.887838733190742
icariaeditorial,10,7,0.000708788983394087,0.882676453999967,0.939067157101212
diariocordoba,584,7,0.000708788983394087,0.285878100990419,0.85499592713301
ultimahora,47,7,0.000708788983394087,0.608192669756189,0.68424512573501
spanishrevolution,15,7,0.000708788983394087,0.668741947066585,0.742453312407171
naiz,157,7,0.000708788983394087,0.0432756588907736,0.918201571766759
nytimes,90,6,0.000607533414337789,0.414570239455936,0.253674513442225
eldia,123,6,0.000607533414337789,0.510818829615344,0.574042106693964
eldiadecordoba,141,6,0.000607533414337789,0.535364125582591,0.913082291168261
elperiodicomediterraneo,110,6,0.000607533414337789,0.540229030486912,0.714589638669155
noticiasdegipuzkoa,15,6,0.000607533414337789,0.503210087625776,0.901724791497316
ecoticias,17,6,0.000607533414337789,0.814553972002764,0.870060948277235
pikaramagazine,10,6,0.000607533414337789,0.837202977029399,0.934280475314836
diariodemallorca,44,5,0.000506277845281491,0.571280870393467,0.573055129559803
