url_core,insularity_media,N_url,max_party,N_party,rel_party
corneliaecker,1,89,SPÖ,89,0.0131715258250703
lopatka,1,75,ÖVP,75,0.0289128758673863
dieneuevolkspartei,0.998913344001609,193,ÖVP,192,0.0740169622205089
ow,0.997794551504959,136,ÖVP,135,0.0520431765612953
fpoe,0.99274397217207,128,FPÖ,126,0.0290523403274153
neos,0.988594416007588,116,NEOS,114,0.0183782040947928
unzensuriert,0.977559950957025,59,FPÖ,56,0.012912151256629
spoe,0.96298682416144,59,SPÖ,57,0.00843569631493266
kontrast,0.95593240728806,132,SPÖ,126,0.0186473286961669
gruene,0.955563671272681,62,GRÜNE,59,0.00819444444444445
oe24,0.716085408963342,188,FPÖ,131,0.0302052109753286
diesubstanz,0.6388233136012,53,NEOS,28,0.00451394486538772
welt,0.597858178137805,98,FPÖ,55,0.0126815771270463
krone,0.575145425427769,469,FPÖ,252,0.0581046806548305
kleinezeitung,0.561602173920913,277,ÖVP,104,0.0400925212027756
wordpress,0.51594354276333,76,SPÖ,38,0.00562379754328844
nzz,0.491741359785188,51,NEOS,24,0.00386909559890376
heute,0.464449403107312,208,FPÖ,76,0.0175236338482822
falter,0.447565971022272,66,GRÜNE,28,0.00388888888888889
wikipedia,0.443577096338896,51,GRÜNE,27,0.00375
instagram,0.439371944233247,454,ÖVP,110,0.0424055512721665
spiegel,0.438458590202618,85,FPÖ,28,0.0064560756283145
parlament,0.432694636889692,295,NEOS,116,0.0187006287280348
dietagespresse,0.397854111832088,70,NEOS,25,0.00403030791552475
facebook,0.365726797780564,3382,FPÖ,991,0.228498962416417
diepresse,0.365528500107221,853,ÖVP,164,0.0632228218966847
derstandard,0.357559076806392,1754,ÖVP,306,0.117964533538936
tt,0.355140779742048,89,NEOS,40,0.00644849266483959
twitter,0.35180290816642,8863,GRÜNE,3276,0.455
sueddeutsche,0.342333537460889,81,SPÖ,27,0.00399585614917863
wienerzeitung,0.325533984555705,136,ÖVP,28,0.0107941403238242
nachrichten,0.287761406580523,228,GRÜNE,98,0.0136111111111111
youtube,0.271576412120705,586,ÖVP,124,0.0478026214340787
profil,0.251852287079964,156,NEOS,52,0.00838304046429147
meinbezirk,0.247118133061371,116,SPÖ,44,0.00651176557643925
sn,0.21320663807632,89,NEOS,30,0.0048363694986297
zeit,0.190273696551438,73,FPÖ,17,0.00391976020290523
kurier,0.186069748496672,741,NEOS,262,0.0422376269546993
ots,0.16063119376681,1255,SPÖ,412,0.0609738049430221
orf,0.0441833668572289,1406,SPÖ,375,0.0554980020719254
