url_core,insularity_media,N_url,max_party,N_party,rel_party
partietfremad,1,173,UFG,173,0.0494144530134247
iafolketingimi,1,113,Misc.,113,0.0446993670886076
christianjuhl,1,113,EL,113,0.0205604075691412
endomondo,1,100,V,100,0.0121550990640574
ia,1,70,Misc.,70,0.0276898734177215
ditoverblik,0.998990840176444,378,DF,376,0.0688266520226982
venstre,0.994391018675753,63,V,61,0.007414610429075
radikale,0.993679962628545,100,RV,98,0.0207451312447079
danskfolkeparti,0.992642118629519,166,DF,161,0.0294709866373787
knr,0.984012297909556,123,Misc.,109,0.0431170886075949
globalnyt,0.973807662900892,58,EL,55,0.0100072780203785
sermitsiaq,0.972231821385365,275,Misc.,218,0.0862341772151899
socialdemokratiet,0.971956837382813,127,S,118,0.0113276375155995
enhedslisten,0.963847831873256,134,EL,130,0.0236535662299854
um,0.926632039550726,73,V,64,0.00777926340099672
fagbladet3f,0.910752796678897,206,EL,148,0.0269286754002911
theguardian,0.871334354324429,168,UFG,122,0.0348471865181377
sum,0.83905638797267,55,V,41,0.00498359061626352
em,0.832190841483766,54,V,33,0.00401118269113893
trm,0.829994360526077,139,S,120,0.0115196313717961
tv2nord,0.829209737086818,144,DF,98,0.0179388614314479
vafo,0.826932451321968,54,V,23,0.0027956727847332
piopio,0.808802239664043,150,S,116,0.0111356436594029
folkeskolen,0.786975985149724,141,EL,96,0.0174672489082969
dst,0.770234179037729,60,V,43,0.00522669259754467
sn,0.742360301999063,99,KF,37,0.0234177215189873
nytimes,0.732582340027985,67,UFG,27,0.0077120822622108
tvsyd,0.714677643104412,119,S,60,0.00575981568589805
fm,0.707935099192689,120,V,81,0.00984563024188647
regeringen,0.697080055965807,141,V,93,0.0113042421295734
avisen,0.676939204722549,540,SF,178,0.042370864079981
fb,0.666612527305979,120,Misc.,20,0.00791139240506329
tv2fyn,0.6659061338815,115,V,50,0.00607754953202869
mfvm,0.650226636017459,59,V,22,0.00267412179409262
bit,0.637115083115891,66,V,31,0.00376808070985779
jv,0.587095981872471,363,S,235,0.0225592781031007
borsen,0.579252761179315,298,LA,13,0.0307328605200946
a4arbejdsliv,0.574525357941763,113,EL,44,0.00800582241630277
facebook,0.535885437187476,4717,Misc.,1184,0.468354430379747
fyens,0.533196252183073,287,S,154,0.0147835269271383
lokalavisen,0.520284357729798,55,LA,2,0.00472813238770686
tvmidtvest,0.51513227384794,143,RV,41,0.00867908552074513
ing,0.508879458293206,109,EL,51,0.00927947598253275
mm,0.506899740568246,59,UFG,11,0.00314195944015995
stiften,0.497660651608538,105,SF,29,0.00690311830516544
tv2lorry,0.484444872977496,90,LA,4,0.00945626477541371
tv2ostjylland,0.46821347037527,81,SF,24,0.00571292549393002
berlingske,0.459445064063471,2479,LA,103,0.243498817966903
instagram,0.449593932423147,420,S,170,0.0163194777767111
sim,0.431302182111921,60,S,29,0.00278391091485072
kristeligt-dagblad,0.42977182802746,160,LA,4,0.00945626477541371
information,0.415434719913158,811,UFG,143,0.0408454727220794
youtube,0.386077440550924,618,DF,162,0.0296540362438221
ft,0.379669260973681,423,LA,8,0.0189125295508274
bt,0.378170685067977,856,DF,248,0.0453963023979499
ritzau,0.374698783219411,67,UFG,9,0.0025706940874036
tv2,0.374521937440009,1746,KF,210,0.132911392405063
twitter,0.310339788690712,11681,S,3664,0.351732744552174
politiken,0.304595918863036,2362,RV,412,0.0872142252328535
finans,0.280230753212511,201,LA,3,0.00709219858156028
altinget,0.267493126642463,1398,EL,335,0.0609534206695779
ekstrabladet,0.260819325510719,775,S,284,0.0272631275799174
dr,0.235663255930214,3535,EL,670,0.121906841339156
medielogin,0.23220275345143,134,KF,11,0.0069620253164557
jyllands-posten,0.22573419987465,2063,LA,34,0.0803782505910166
