url_core,insularity_media,N_url,max_party,N_party,rel_party
jungefreiheit,1,1354,AfD,1354,0.036560010800594
ulla-jelpke,1,1226,LINKE,1226,0.0220238202166454
andreas-rimkus,1,609,SPD,609,0.0102134938869975
hubertus-zdebel,1,574,LINKE,574,0.0103113155011048
andrej-hunko,1,521,LINKE,521,0.00935922539385992
gabi-weber-spd,1,402,SPD,402,0.00674191222097372
diether-dehm,1,331,LINKE,331,0.00594607217920851
afdbundestag,1,328,AfD,328,0.00885648710679087
daniela-de-ridder,1,322,SPD,322,0.0054002381471481
michael-leutert,1,304,LINKE,304,0.00546104514344226
erwin-rueddel,1,280,CDU,280,0.00557524590816774
michaelgrossmdb,1,274,SPD,274,0.00459523370285273
tabea-roessner,1,270,GRÜNE,270,0.00564511070689331
matthias-heider,1,270,CDU,270,0.00537612998287603
achim-post,1,258,SPD,258,0.00432689888808761
sebastian-muenzenmaier,1,255,AfD,255,0.00688537869582827
edr-pi,1,252,SPD,252,0.00422627333255069
juergenhardt,1,243,CDU,243,0.00483851698458843
katrinwerner,1,232,LINKE,232,0.00416763971473225
pboehringer,1,225,AfD,225,0.00607533414337789
tobias-lindner,1,217,GRÜNE,217,0.00453699638294758
ingo-wellenreuther,1,205,CDU,205,0.00408187646847995
stefan-schwartze,1,199,SPD,199,0.00333741425864122
matthias-gastel,1,192,GRÜNE,192,0.00401430094712413
michael-thews,1,190,SPD,190,0.00318647592533584
journalistenwatch,1,189,AfD,189,0.00510328068043742
philosophia-perennis,1,188,AfD,188,0.00507627919535575
pi-news,1,185,AfD,185,0.00499527474011071
kai-wegner,1,169,CDU,169,0.00336505913742981
lindholz,1,164,CSU,164,0.0223433242506812
jens-koeppen,1,157,CDU,157,0.00312612002707977
filiz-polat,1,147,GRÜNE,147,0.00307344916264191
rene-springer,1,146,AfD,146,0.00394221682192521
spd-duesseldorf,1,139,SPD,139,0.00233115870327201
manfred-behrens,1,139,CDU,139,0.0027677113615547
prometheusinstitut,1,138,FDP,138,0.00366816405730842
achim-kessler,1,137,LINKE,137,0.00246106310740654
thomas-gebhart,1,134,CDU,134,0.00266815339890885
julia-verlinden,1,134,GRÜNE,134,0.00280164753601372
ralph-brinkhaus,1,130,CDU,130,0.00258850702879216
uli-freese,1,130,SPD,130,0.00218022036996663
soenke-rix,1,128,SPD,128,0.00214667851812099
uwe-kekeritz,1,127,GRÜNE,127,0.00265529281398315
diefreiheitsliebe,1,126,LINKE,126,0.00226345950024251
brigitte-freihold,1,125,LINKE,125,0.00224549553595487
markus-tressel,1,121,GRÜNE,121,0.00252984590938552
sylvia-gabelmann,1,121,LINKE,121,0.00217363967880432
gisela-manderla,1,119,CDU,119,0.00236947951097129
rosalux,1,116,LINKE,116,0.00208381985736612
schielke-ziesing,1,115,AfD,115,0.00310517078439314
friesen-im-bundestag,1,113,AfD,113,0.00305116781422978
mueller-gemmeke,1,110,GRÜNE,110,0.0022998599176232
caren-lay,1,109,LINKE,109,0.00195807210735265
tino-sorge,1,109,CDU,109,0.00217036358567958
michaelthews,1,107,SPD,107,0.00179448907374176
matthias-w-birkwald,1,106,LINKE,106,0.00190418021448973
anja-weisgerber,1,106,CSU,106,0.014441416893733
eva-maria-schreiber,1,104,LINKE,104,0.00186825228591446
armin-schuster,1,101,CDU,101,0.00201107084544622
andreas-mattfeldt,1,100,CDU,100,0.00199115925291705
markus-paschke,1,100,SPD,100,0.00167709259228202
markus-kurth,1,99,GRÜNE,99,0.00206987392586088
manuelsarrazin,1,98,GRÜNE,98,0.00204896610842794
katja-kipping,1,98,LINKE,98,0.00176046850018862
schulz-asche,1,97,GRÜNE,97,0.002028058290995
ruedigerkruse,1,92,CDU,92,0.00183186651268368
uwe-schummer,1,92,CDU,92,0.00183186651268368
fabio-de-masi,1,91,LINKE,91,0.00163472075017515
jutta-krellmann,1,90,LINKE,90,0.00161675678588751
brandner-im-bundestag,1,88,AfD,88,0.0023761306871878
gero-storjohann,1,88,CDU,88,0.001752220142567
zaklinnastic,1,87,LINKE,87,0.00156286489302459
soeren-pellmann,1,86,LINKE,86,0.00154490092873695
beate-walter-rosenheimer,1,85,GRÜNE,85,0.00177716448179975
gruen-digital,1,84,GRÜNE,84,0.00175625666436681
simone-barrientos,1,82,LINKE,82,0.0014730450715864
katharina-droege,1,81,GRÜNE,81,0.00169353321206799
nrwspd-landesgruppe,1,81,SPD,81,0.00135844499974844
weltnetz,1,80,LINKE,80,0.00143711714301112
christinebuchholz,1,80,LINKE,80,0.00143711714301112
mechthild-heil,1,80,CDU,80,0.00159292740233364
