url_core,N_url,N,rel_party,insularity_party,insularity_media
fvd,289,280,0.235294117647059,0.990309741433598,0.981676136918896
twitter,39055,279,0.234453781512605,0.351459730835742,0.0900679856826536
youtube,2467,228,0.191596638655462,0.664180871613149,0.299371005189556
dagelijksestandaard,206,59,0.0495798319327731,0.867468150056284,0.761161751059436
telegraaf,4413,32,0.026890756302521,0.401695430306437,0.264035409546425
forumvoordemocratie,26,25,0.0210084033613445,0.985274750528111,0.974972020040411
dpgmedia,4932,22,0.0184873949579832,0.231268944142112,0.119470036665002
nos,5511,21,0.0176470588235294,0.180768659638896,0.163871012142475
elsevierweekblad,149,17,0.0142857142857143,0.65313790154861,0.579068266269968
ongehoordnederland,64,17,0.0142857142857143,0.886673358506737,0.891032949134861
tpo,521,15,0.0126050420168067,0.57010918749254,0.434792848836164
volkskrant,2405,14,0.0117647058823529,0.256728125097957,0.176796271709197
facebook,1881,11,0.0092436974789916,0.257203736411521,0.307734498540421
nrc,2211,11,0.0092436974789916,0.242572050896486,0.21444942950041
geenstijl,445,10,0.00840336134453782,0.572821722738106,0.692911384287257
bol,39,5,0.00420168067226891,0.772131671578335,0.554689031398595
nu,2085,4,0.00336134453781513,0.0957599936502118,0.162153626170449
rtlnieuws,1845,4,0.00336134453781513,0.117666666488985,0.157183577246615
hpdetijd,40,4,0.00336134453781513,0.657024782311958,0.402383635075846
fd,1296,3,0.00252100840336135,0.116807440233649,0.372868265389746
spotify,171,3,0.00252100840336135,0.525904178970856,0.603880993516635
mailchi,12,3,0.00252100840336135,0.874311278988521,0.803091785620247
eventbrite,11,3,0.00252100840336135,0.800796238542114,0.870076159274156
opiniez,47,3,0.00252100840336135,0.697181723222973,0.840024126343629
maurice,12,3,0.00252100840336135,0.810454591890517,0.799384498071103
ndcmediagroep,456,2,0.00168067226890756,0.24073020030123,0.262045388027342
parool,584,2,0.00168067226890756,0.166912458753919,0.203074623794323
trouw,1463,2,0.00168067226890756,0.0641235042756804,0.250105735599276
rd,366,2,0.00168067226890756,0.149710714230262,0.565625385489388
wnl,254,2,0.00168067226890756,0.364655260105228,0.405526392719357
at5,178,2,0.00168067226890756,0.444538476842055,0.326528791953512
instagram,244,2,0.00168067226890756,0.416095987040557,0.374639429876943
saltmines,6,2,0.00168067226890756,0.865274214274607,0.874594997072589
doorbraak,7,2,0.00168067226890756,0.899168329428018,0.877279270700351
forbes,28,2,0.00168067226890756,0.672352697734147,0.699827193093325
verenoflood,11,2,0.00168067226890756,0.853436373164102,0.897133492623429
straitstimes,3,2,0.00168067226890756,0.916041767456862,0.942579295359831
deblauwetijger,3,2,0.00168067226890756,0.981110511444808,0.969202101503662
sceptr,3,2,0.00168067226890756,0.931144505612591,0.944169057270961
postcodeloterij,2,2,0.00168067226890756,1,1
climategate,3,2,0.00168067226890756,0.979383229383229,0.966944444444444
nexitdenktank,2,2,0.00168067226890756,1,1
theepochtimes,2,2,0.00168067226890756,1,1
dvhn,181,1,0.000840336134453782,0.28743482575829,0.430487005043106
tweedekamer,1945,1,0.000840336134453782,0.0329588006085909,0.285215890917231
limburger,147,1,0.000840336134453782,0.420404887976325,0.424897611992826
nporadio1,450,1,0.000840336134453782,0.0995208536117506,0.168389892454597
avrotros,454,1,0.000840336134453782,0.0998074056924424,0.258392334672844
boerderij,184,1,0.000840336134453782,0.347138608958912,0.4090766049908
linkedin,76,1,0.000840336134453782,0.525118937049226,0.439547187324878
reuters,99,1,0.000840336134453782,0.504414466796077,0.332255274283092
vn,96,1,0.000840336134453782,0.501793919696362,0.276952892416729
omroepgelderland,148,1,0.000840336134453782,0.42769759672058,0.364439152713093
bnnvara,420,1,0.000840336134453782,0.0830931645798352,0.368283456532775
wordpress,167,1,0.000840336134453782,0.308543135915481,0.402859548099544
omropfryslan,159,1,0.000840336134453782,0.466396294329085,0.355567942910345
vimeo,78,1,0.000840336134453782,0.505864613980808,0.250442424790136
theguardian,382,1,0.000840336134453782,0.109115578420688,0.425133895708799
bbc,159,1,0.000840336134453782,0.316595536149511,0.232208131973549
nytimes,202,1,0.000840336134453782,0.244694657455397,0.345301831735743
dailymail,45,1,0.000840336134453782,0.55906318408804,0.650941939767579
omroepzeeland,130,1,0.000840336134453782,0.505776694758488,0.543803214103978
telegraph,33,1,0.000840336134453782,0.592150607467979,0.513685164618717
amsterdam,18,1,0.000840336134453782,0.636459151186154,0.572929822668109
dagblad010,35,1,0.000840336134453782,0.546342356719443,0.795745413084859
omroepbrabant,254,1,0.000840336134453782,0.227781678124587,0.338796088753071
tinyurl,35,1,0.000840336134453782,0.551871897437666,0.517551013913268
cbs,246,1,0.000840336134453782,0.281649137562074,0.432670424780136
ft,101,1,0.000840336134453782,0.424486282436747,0.484226920712262
haaretz,15,1,0.000840336134453782,0.607593933886764,0.590109296300026
tpook,25,1,0.000840336134453782,0.626159952074586,0.801834572140041
noties,17,1,0.000840336134453782,0.614160236496688,0.53883641854628
medium,46,1,0.000840336134453782,0.50814396331441,0.506418136141142
spectator,8,1,0.000840336134453782,0.816558955357786,0.871187646387647
npo3,21,1,0.000840336134453782,0.618632149238856,0.592654330893828
briefjevanjan,38,1,0.000840336134453782,0.597991326181237,0.937053544612501
europa,107,1,0.000840336134453782,0.506114916939104,0.430708448501816
thefireonline,7,1,0.000840336134453782,0.825917347311959,0.933092514291947
backme,12,1,0.000840336134453782,0.743866575269054,0.87433549112605
msn,11,1,0.000840336134453782,0.683116591056273,0.712685862414824
tagesschau,5,1,0.000840336134453782,0.78268031112288,0.86624100786609
app,10,1,0.000840336134453782,0.628082011436925,0.669781444672841
revu,3,1,0.000840336134453782,0.72137048900818,0.859260802944682
euractiv,11,1,0.000840336134453782,0.651784401016445,0.740236326427992
sleepwet,7,1,0.000840336134453782,0.59758501509959,0.806875355060743
pigbusiness,28,1,0.000840336134453782,0.526716761086827,0.651356518989505
rivm,23,1,0.000840336134453782,0.60984160937208,0.52208536459749
zerohedge,13,1,0.000840336134453782,0.675636070374081,0.788362414051691
panorama,5,1,0.000840336134453782,0.766359946098588,0.766300155765381
