url_core,N_url,N,rel_party,insularity_party,insularity_media
twitter,47454,11662,0.525907553551297,0.518137135543229,0.110810596473132
youtube,4977,1399,0.0630890642615558,0.532800110886377,0.154273194571946
okdiario,1802,905,0.0408117249154453,0.741006003280387,0.75584701960874
facebook,4999,781,0.0352198421645998,0.509614801970877,0.510960209884571
abc,3909,701,0.0316121758737317,0.550139955339684,0.664454430700616
libertaddigital,1193,670,0.0302142051860203,0.769285184291922,0.845021328085979
elmundo,3631,522,0.0235400225479143,0.510650985652454,0.480337924864934
instagram,1400,480,0.0216459977452086,0.59275748799394,0.399114202872101
elconfidencial,1582,323,0.0145659526493799,0.523676912301468,0.360467676449629
vozpopuli,699,295,0.0133032694475761,0.61445363631944,0.683654359287412
elespanol,1362,243,0.0109582863585118,0.510570493515638,0.452558422119158
libremercado,402,229,0.0103269447576099,0.738657869153855,0.787361537098139
larazon,778,162,0.00730552423900789,0.567341324466496,0.626315979363821
elpais,6224,157,0.00708004509582864,0.0692692715419896,0.355423759233911
rebelionenlagranja,132,129,0.0058173618940248,0.99150599745801,0.984583380571405
actuall,123,120,0.00541149943630214,0.99142650600004,0.978933879651653
europapress,1786,119,0.00536640360766629,0.217457080831465,0.18369837888261
eleconomista,417,83,0.00374295377677565,0.515726249437291,0.487877135831339
lavanguardia,1810,82,0.0036978579481398,0.0819947066665624,0.311714399749443
outono,89,80,0.00360766629086809,0.961255649481114,0.947338651362384
cope,452,72,0.00324689966178129,0.538839639353978,0.633459778193588
elnortedecastilla,152,60,0.00270574971815107,0.679998584103916,0.668152788720675
hispanidad,56,52,0.00234498308906426,0.972891287996075,0.959090592233024
wordpress,273,51,0.00229988726042841,0.513674150456314,0.340042590448819
expansion,507,50,0.00225479143179256,0.262646387727903,0.549635507402481
congreso,434,49,0.00220969560315671,0.355468550047851,0.33616900707831
elindependiente,388,48,0.00216459977452086,0.506470676002627,0.476487967783199
redaccionmedica,109,46,0.00207440811724915,0.639281726690853,0.491133697854114
diariosur,197,43,0.0019391206313416,0.58106900091957,0.629488173536643
periodistadigital,94,43,0.0019391206313416,0.7158967036279,0.816819738186602
bemad,41,41,0.0018489289740699,1,1
20minutos,603,38,0.00171364148816235,0.317997732157391,0.414784644160518
radioset,38,38,0.00171364148816235,1,1
elconfidencialdigital,80,37,0.00166854565952649,0.648751263181141,0.667888504758131
laopiniondemurcia,152,33,0.00148816234498309,0.533844222586193,0.688437886604062
rtve,575,32,0.00144306651634724,0.120385747270441,0.366257875728182
lavozdegalicia,670,31,0.00139797068771139,0.11949388307042,0.793396019299323
eladelantado,67,30,0.00135287485907554,0.762858551654435,0.866383072541953
dolcacatalunya,35,29,0.00130777903043968,0.896514622606823,0.87681709603288
esdiario,157,29,0.00130777903043968,0.555331171694404,0.799256824384725
eldiario,4185,28,0.00126268320180383,0.0185816417308441,0.382847359751774
elperiodico,1030,27,0.00121758737316798,0.0410026553047862,0.50631750452692
diariodecadiz,65,27,0.00121758737316798,0.617108341693149,0.696584437792022
casareal,145,27,0.00121758737316798,0.577231773308024,0.826420112470176
telecinco,119,26,0.00117249154453213,0.524649440531661,0.498534693095478
antena3,141,25,0.00112739571589628,0.540816853193374,0.544232310096523
tribunavalladolid,53,25,0.00112739571589628,0.771602864770513,0.862260523862912
t,69,24,0.00108229988726043,0.497997138770379,0.769441742485236
eldigitalcastillalamancha,197,23,0.00103720405862458,0.543957673152995,0.777880998298949
elnacional,779,21,0.000947012401352875,0.0366584072561412,0.684384527463219
miciudadreal,42,21,0.000947012401352875,0.789031184307191,0.867194386993462
unosapuntesalmargen,21,21,0.000947012401352875,1,1
diariodesevilla,125,19,0.000856820744081173,0.530490482122153,0.632141200026793
elcorreodeespana,24,19,0.000856820744081173,0.902210913751522,0.884219741604845
kioskoymas,92,18,0.000811724915445321,0.512122554252642,0.661081233033739
sevillainfo,19,18,0.000811724915445321,0.980143803760276,0.967929245790281
elperiodicoextremadura,96,17,0.00076662908680947,0.588725591793857,0.764463272739606
laverdad,212,17,0.00076662908680947,0.412858338099355,0.725319236951405
nytimes,90,16,0.000721533258173619,0.492361750904692,0.253674513442225
marca,84,16,0.000721533258173619,0.518636923199289,0.52934896622099
h50,30,16,0.000721533258173619,0.620625822367931,0.866636220680939
vistalegreplusultra,15,15,0.000676437429537768,1,1
lasexta,268,14,0.000631341600901917,0.157653740700549,0.296744920091526
cadenaser,1729,14,0.000631341600901917,0.0329399714057388,0.389725556462737
eldebatedehoy,18,14,0.000631341600901917,0.89164192776909,0.876974928460744
heraldo,194,13,0.000586245772266065,0.476599711669038,0.468694852162957
ondacero,180,13,0.000586245772266065,0.266784078033541,0.461412343690919
change,173,13,0.000586245772266065,0.254651048805422,0.37580738826434
lavozdecordoba,75,13,0.000586245772266065,0.584003307015207,0.867931589249281
elcatalan,26,13,0.000586245772266065,0.583170329615373,0.760691272930079
lasvocesdelpueblo,13,13,0.000586245772266065,1,1
eldiadevalladolid,22,13,0.000586245772266065,0.827271829842389,0.901169680064408
rtvce,13,13,0.000586245772266065,1,1
digitalextremadura,16,13,0.000586245772266065,0.855485402815771,0.853339624685872
