party_short,party_full,country
FPÖ,Freiheitliche Partei Österreichs,Austria
GRÜNE,Die Grünen – Die Grüne Alternative,Austria
NEOS,Das Neue Österreich und Liberales Forum,Austria
SPÖ,Sozialdemokratische Partei Österreichs,Austria
ÖVP,Österreichische Volkspartei,Austria
DF,Dansk Folkeparti,Denmark
EL,Enhedslisten,Denmark
KF,Det Konservative Folkeparti,Denmark
LA,Liberal Alliance,Denmark
NB,Nye Borgerlige,Denmark
RV,Radikale Venstre,Denmark
S,Socialdemokratiet,Denmark
SF,Socialistisk Folkeparti,Denmark
UFG,Uden for folketingsgrupperne,Denmark
V,Venstre,Denmark
Agir,"Agir, la droite constructive",France
DVG,Divers Gauche,France
FI,La France Insoumise,France
LR,Les Républicains,France
LREM,La République En Marche!,France
MoDem,Mouvement démocrate,France
PCF,Parti communiste français,France
PS,Parti socialiste,France
RN,Rassemblement national,France
UDI,Union des démocrates et indépendants,France
AfD,Alternative für Deutschland,Germany
CDU,Christlich Demokratische Union Deutschlands,Germany
CSU,Christlich-Soziale Union in Bayern,Germany
FDP,Freie Demokratische Partei,Germany
GRÜNE,Bündnis 90/Die Grünen,Germany
LINKE,Die Linke,Germany
SPD,Sozialdemokratische Partei Deutschlands,Germany
FI,Forza Italia,Italy
FdI,Fratelli d'Italia,Italy
IV,Italia Viva,Italy
Indipendente,Indipendente,Italy
LN,Lega Nord,Italy
M5S,Movimento 5 Stelle,Italy
PD,Partito Democratico,Italy
50PLUS,The 50PLUS,Netherlands
CDA,The Christian Democratic Appeal,Netherlands
CU,The Christian Union,Netherlands
D66,Democrats 66,Netherlands
DENK,Denk,Netherlands
FvD,Forum for Democracy,Netherlands
GL,GroenLinks,Netherlands
PVV,The Party for Freedom,Netherlands
PvdA,The Labour Party,Netherlands
PvdD,The Party for the Animals,Netherlands
SGP,The Reformed Political Party,Netherlands
SP,The Socialist Party,Netherlands
VVD,The People's Party for Freedom and Democracy,Netherlands
Cs,Ciudadanos,Spain
EAJ-PNV,El Partido Nacionalista Vasco,Spain
ECP-GUAYEM EL CANVI,En Comú Podem,Spain
EH Bildu,Euskal Herria Bildu,Spain
ERC-CATSÍ,Die Esquerra Republicana de Catalunya,Spain
ERC-S,Esquerra Republicana de Catalunya-Sobiranistes,Spain
JxCat-JUNTS,Junts per Catalunya,Spain
PP,El Partido Popular,Spain
PSC-PSOE,El Partido de los Socialistas de Cataluña,Spain
PSOE,El Partido Socialista Obrero Español,Spain
PsdeG-PSOE,El Partido dos Socialistas de Galicia-PSOE,Spain
UP,Unidas Podemos,Spain
VOX,VOX,Spain
BDP,Die Bürgerlich-Demokratische Partei Schweiz,Switzerland
CVP,Christlichdemokratische Volkspartei,Switzerland
EVP,Die Evangelische Volkspartei der Schweiz,Switzerland
FDP,FDP.Die Liberalen,Switzerland
GLP,Die Grünliberale Partei Schweiz,Switzerland
GPS,Die Grüne Partei der Schweiz,Switzerland
SP,Die Sozialdemokratische Partei der Schweiz,Switzerland
SVP,Die Schweizerische Volkspartei,Switzerland
