party_short,party_full,country
50PLUS,The 50PLUS,Netherlands
AfD,Alternative für Deutschland,Germany
Agir,"Agir, la droite constructive",France
BDP,Die Bürgerlich-Demokratische Partei Schweiz,Switzerland
CDA,The Christian Democratic Appeal,Netherlands
CDU,Christlich Demokratische Union Deutschlands,Germany
CSU,Christlich-Soziale Union in Bayern,Germany
CU,The Christian Union,Netherlands
CVP,Christlichdemokratische Volkspartei,Switzerland
Cs,Ciudadanos,Spain
D66,Democrats 66,Netherlands
DENK,Denk,Netherlands
DF,Dansk Folkeparti,Denmark
DVG,Divers Gauche,France
EAJ-PNV,El Partido Nacionalista Vasco,Spain
ECP-GUAYEM EL CANVI,En Comú Podem,Spain
EH Bildu,Euskal Herria Bildu,Spain
EL,Enhedslisten,Denmark
ERC-CATSÍ,Die Esquerra Republicana de Catalunya,Spain
ERC-S,Esquerra Republicana de Catalunya-Sobiranistes,Spain
EVP,Die Evangelische Volkspartei der Schweiz,Switzerland
FDP,Freie Demokratische Partei,Germany
FDP,FDP.Die Liberalen,Switzerland
FI,La France Insoumise,France
FI,Forza Italia,Italy
FPÖ,Freiheitliche Partei Österreichs,Austria
FdI,Fratelli d'Italia,Italy
FvD,Forum for Democracy,Netherlands
GL,GroenLinks,Netherlands
GLP,Die Grünliberale Partei Schweiz,Switzerland
GPS,Die Grüne Partei der Schweiz,Switzerland
GRÜNE,Die Grünen – Die Grüne Alternative,Austria
GRÜNE,Bündnis 90/Die Grünen,Germany
IV,Italia Viva,Italy
Indipendente,Indipendente,Italy
JxCat-JUNTS,Junts per Catalunya,Spain
KF,Det Konservative Folkeparti,Denmark
LA,Liberal Alliance,Denmark
LINKE,Die Linke,Germany
LN,Lega Nord,Italy
LR,Les Républicains,France
LREM,La République En Marche!,France
M5S,Movimento 5 Stelle,Italy
MoDem,Mouvement démocrate,France
NB,Nye Borgerlige,Denmark
NEOS,Das Neue Österreich und Liberales Forum,Austria
PCF,Parti communiste français,France
PD,Partito Democratico,Italy
PP,El Partido Popular,Spain
PS,Parti socialiste,France
PSC-PSOE,El Partido de los Socialistas de Cataluña,Spain
PSOE,El Partido Socialista Obrero Español,Spain
PVV,The Party for Freedom,Netherlands
PsdeG-PSOE,El Partido dos Socialistas de Galicia-PSOE,Spain
PvdA,The Labour Party,Netherlands
PvdD,The Party for the Animals,Netherlands
RN,Rassemblement national,France
RV,Radikale Venstre,Denmark
S,Socialdemokratiet,Denmark
SF,Socialistisk Folkeparti,Denmark
SGP,The Reformed Political Party,Netherlands
SP,The Socialist Party,Netherlands
SP,Die Sozialdemokratische Partei der Schweiz,Switzerland
SPD,Sozialdemokratische Partei Deutschlands,Germany
SPÖ,Sozialdemokratische Partei Österreichs,Austria
SVP,Die Schweizerische Volkspartei,Switzerland
UDI,Union des démocrates et indépendants,France
UFG,Uden for folketingsgrupperne,Denmark
UP,Unidas Podemos,Spain
V,Venstre,Denmark
VOX,VOX,Spain
VVD,The People's Party for Freedom and Democracy,Netherlands
ÖVP,Österreichische Volkspartei,Austria
